nu alpha 
2.270166 0.2764239 
2.68454 0.4392992 
2.229166 0.1535347 
3.20158 0.4253066 
2.632836 0.2368326 
1.780423 0.3868182 
1.845581 0.3952855 
4.125509 0.3134928 
2.523579 0.2974061 
1.693939 0.1224295 
1.946147 0.2909595 
1.170844 0.1941655 
2.371728 0.228616 
5.043767 0.4337465 
5.639788 0.2351765 
17.71823 0.03674763 
56.46148 0.02437106 
36.76477 0.06635292 
4.254294 0.1066631 
20.09463 0.0876785 
12.77922 0.1994593 
7.569238 0.4957401 
2.464992 0.2235947 
3.493847 0.4223472 
4.748232 0.3832023 
1.793704 0.4839997 
2.020204 0.3821102 
3.012991 0.4561689 
2.666858 0.2177716 
3.958532 0.2131343 
2.281256 0.2721637 
2.031778 0.2270095 
3.348393 0.09404604 
3.794797 0.2862394 
4.4901 0.1950973 
3.748622 0.3558828 
14.44677 0.1684785 
5.568231 0.08056395 
3.025678 0.3907541 
3.146353 0.3241505 
3.449523 0.2389693 
3.508862 0.3228942 
2.517949 0.4885209 
2.831239 0.4302236 
2.01376 0.4820903 
2.130111 0.3716639 
1.588381 0.349167 
1.106555 0.4183334 
3.215234 0.4003608 
2.189594 0.132208 
3.647658 0.3181718 
2.820776 0.2064938 
3.484334 0.3783036 
4.459375 0.2985453 
2.904861 0.2597423 
1.456672 0.4827148 
1.210658 0.2719824 
2.046011 0.3482028 
1.992288 0.1608629 
2.633027 0.4667899 
8.48142 0.1344628 
2.844969 0.1355076 
1.46865 0.1596822 
1.897899 0.2676196 
2.442106 0.4198165 
2.462248 0.4849088 
3.695564 0.4124372 
3.108055 0.4621332 
4.18626 0.3656255 
3.822624 0.42242 
2.367203 0.3836274 
2.431836 0.4177626 
3.753196 0.2622299 
1.652085 0.3661533 
1.410307 0.2458539 
2.715841 0.4918983 
1.687541 0.3338269 
3.07173 0.3677541 
1.745639 0.3248041 
2.260704 0.3097936 
1.54672 0.3702795 
1.924527 0.4189099 
2.108122 0.4535647 
2.335859 0.3619775 
2.715911 0.3895596 
1.765551 0.0645941 
1.812496 0.1998158 
3.153217 0.3887388 
2.601272 0.4007424 
2.753221 0.3270181 
2.789006 0.3202667 
2.497638 0.1158485 
2.400175 0.1240238 
2.362686 0.4607623 
1.718751 0.2169934 
2.782634 0.3426624 
2.559659 0.1535945 
2.361149 0.1929351 
1.849269 0.4328788 
1.748922 0.3921616 
1.778052 0.2987607 
1.326841 0.3486054 
1.961176 0.4684021 
1.950792 0.4145774 
2.499096 0.4290856 
2.956101 0.1118814 
4.27053 0.3805288 
3.624237 0.3102667 
3.730716 0.242839 
2.624901 0.4352426 
4.623569 0.4641999 
5.524882 0.1363091 
4.295628 0.3128494 
2.589615 0.1972731 
1.951064 0.4761418 
3.570264 0.2889652 
2.852433 0.2190672 
2.333953 0.1296444 
1.79063 0.4705333 
1.965692 0.43182 
1.70768 0.3959599 
1.945187 0.2114906 
1.196303 0.2254638 
2.462783 0.250189 
4.496606 0.2196574 
7.383711 0.1773078 
5.141156 0.1125102 
4.448675 0.2377541 
3.052728 0.3076392 
1.637556 0.4924331 
1.851533 0.1433293 
7.767314 0.1700655 
3.351606 0.4810457 
7.965144 0.05941225 
4.384027 0.2833373 
9.583024 0.02383424 
52.42474 0.04339563 
9.904924 0.1727975 
9.404116 0.04332061 
21.03456 0.1732996 
3.103682 0.4423641 
3.832147 0.2686765 
4.585547 0.1883909 
2.800825 0.3705794 
3.611216 0.1165865 
2.245437 0.3605754 
3.483865 0.3628095 
2.494752 0.4830256 
2.720256 0.4973361 
2.531718 0.2420243 
4.256774 0.2687695 
2.561472 0.1275247 
4.930821 0.4754413 
4.039544 0.2774568 
3.651141 0.1649487 
4.469004 0.3578358 
3.098622 0.4537747 
3.614065 0.3375331 
2.45582 0.1742407 
3.685943 0.1022442 
4.113602 0.05899491 
3.375908 0.4297526 
4.154715 0.4963964 
2.022745 0.4563581 
2.346965 0.34197 
1.93438 0.1956918 
2.358075 0.3249755 
1.738017 0.3517555 
3.026703 0.3650876 
1.35651 0.3552882 
1.582543 0.3896108 
1.071266 0.3222701 
1.577575 0.3400553 
1.742171 0.1010082 
1.642493 0.1397063 
1.941256 0.2765773 
1.48278 0.3158725 
2.560439 0.4303521 
4.91526 0.2424716 
1.876107 0.1798926 
2.610837 0.1827576 
3.925799 0.1631354 
2.261899 0.3094307 
2.531142 0.2496076 
1.883957 0.03739343 
3.562552 0.2554172 
3.285925 0.06940179 
1.949591 0.1696562 
2.390455 0.04664389 
3.390194 0.2243102 
2.086034 0.1548938 
2.061123 0.4667937 
1.426398 0.1867083 
3.165027 0.268204 
1.882817 0.3058025 
2.038641 0.1701577 
3.430845 0.471893 
2.801771 0.2967089 
3.184446 0.3591272 
6.15193 0.05108378 
5.443248 0.1433373 
3.927436 0.1065241 
5.299544 0.4968222 
2.699821 0.1513887 
1.998153 0.4691151 
4.249239 0.1398412 
2.711047 0.4443031 
7.349572 0.2155029 
3.149605 0.2788574 
2.894502 0.4040104 
4.049189 0.0342426 
2.91185 0.1623569 
2.539474 0.3724405 
2.97996 0.4704045 
3.439376 0.2636874 
4.110198 0.1997156 
2.468756 0.426585 
2.108429 0.4298224 
2.905113 0.3229699 
2.650175 0.2209828 
3.055275 0.1171004 
2.688784 0.473796 
4.369461 0.2538061 
6.579089 0.4607299 
4.991597 0.2015488 
2.022143 0.3761347 
2.259069 0.4089342 
2.434583 0.3914608 
2.280062 0.195405 
1.986589 0.3881576 
1.850752 0.3346947 
3.195387 0.08214235 
2.003341 0.1435741 
2.337158 0.4956529 
4.856727 0.03167102 
3.83208 0.4861992 
3.665809 0.1951614 
2.778636 0.4239849 
2.26398 0.3372808 
2.331286 0.1187961 
2.143137 0.3458055 
2.005798 0.3173003 
2.195626 0.1877253 
2.32131 0.3133711 
1.825845 0.2814832 
2.015284 0.3076048 
1.711075 0.3413176 
4.344858 0.4425951 
2.710948 0.2679095 
4.648647 0.3197872 
2.811331 0.1601887 
2.060154 0.1722744 
2.743506 0.1393696 
1.845569 0.3064397 
1.921176 0.4144093 
2.239685 0.09237636 
2.33069 0.3374265 
2.524033 0.1952362 
3.418163 0.376347 
2.98908 0.03042306 
4.835356 0.1634337 
2.797949 0.1493941 
12.39088 0.4918387 
23.63149 0.04978926 
5.381797 0.4603768 
3.467718 0.2127784 
4.435186 0.2150362 
3.370061 0.08918795 
2.578184 0.2784683 
3.750572 0.4190329 
2.676328 0.4142493 
1.817355 0.3907148 
2.146638 0.4168816 
2.161203 0.3623025 
2.077662 0.4770504 
4.073605 0.4723662 
2.646349 0.4046683 
3.767029 0.02574091 
4.478047 0.4016545 
9.183133 0.06923414 
5.107585 0.3132821 
7.228037 0.3514155 
2.470981 0.487975 
2.298738 0.4521934 
2.468786 0.4078824 
3.55756 0.2732622 
2.424753 0.3313615 
3.770218 0.2753455 
2.811432 0.2459773 
2.340948 0.3292806 
2.598464 0.4485549 
1.650414 0.3084625 
2.541535 0.1226222 
2.305515 0.1556668 
4.341434 0.4842011 
4.06869 0.3096816 
3.079031 0.4492345 
4.017355 0.3079626 
3.060351 0.210132 
2.71613 0.1186072 
4.723624 0.3539431 
3.015146 0.4186843 
3.495766 0.2321912 
3.331444 0.4852998 
5.274548 0.04140477 
5.634935 0.3936662 
5.361421 0.1236854 
5.156568 0.1192074 
4.899655 0.3040142 
8.404753 0.1544747 
5.85497 0.04839398 
4.066061 0.3004474 
2.377513 0.1287945 
2.267538 0.2839865 
3.979441 0.3320547 
1.754472 0.2981454 
1.527979 0.1091403 
1.563319 0.4543085 
1.933203 0.417996 
1.333567 0.2734439 
1.250803 0.4649242 
2.915231 0.493004 
2.956479 0.2458756 
1.515631 0.4239533 
2.94975 0.3990013 
1.671914 0.1080534 
2.084299 0.3188894 
1.117377 0.2647246 
2.00292 0.3400599 
2.323442 0.16533 
1.376107 0.4432845 
1.326156 0.2793068 
1.684494 0.3326605 
1.851968 0.4362199 
1.418597 0.1536585 
1.438814 0.2837534 
1.430179 0.2853376 
1.422472 0.3756489 
2.669427 0.2426393 
1.511572 0.273182 
2.781866 0.09517362 
2.299476 0.2905957 
2.299054 0.1400656 
2.269372 0.1982204 
1.642818 0.3694271 
2.498516 0.4518341 
2.550915 0.3804632 
3.312921 0.2066623 
2.943266 0.07736725 
2.64027 0.1807637 
1.830954 0.4226741 
2.148284 0.1200453 
2.515702 0.4106754 
5.57435 0.3484792 
1.744045 0.195682 
2.20946 0.4725487 
2.548986 0.1192817 
3.933851 0.4878185 
3.079593 0.1094385 
7.388314 0.3051214 
2.916838 0.1292443 
2.015947 0.2810409 
1.405656 0.07616272 
2.352621 0.4487711 
1.457995 0.3925086 
1.794361 0.3149225 
1.323748 0.3752649 
2.04877 0.3760635 
2.400395 0.2102936 
1.729546 0.06240439 
2.084783 0.3203536 
2.568202 0.3367838 
1.449411 0.352026 
1.806119 0.4875596 
2.456897 0.1256339 
2.154936 0.11343 
1.366675 0.3178475 
1.658842 0.3457556 
2.922293 0.4206517 
2.683265 0.08938497 
2.079251 0.1635934 
4.498347 0.2129639 
6.6439 0.3606006 
2.419408 0.2715057 
2.208582 0.2388916 
1.822753 0.1109302 
2.301339 0.4241515 
2.624091 0.4868949 
2.454453 0.2944019 
2.814992 0.2742637 
2.592568 0.3860294 
1.983444 0.2859629 
3.45917 0.2949206 
2.779786 0.371373 
1.997853 0.2047486 
2.67217 0.3786944 
2.920174 0.1088808 
4.822551 0.2484403 
2.786914 0.2278387 
1.661885 0.04921853 
1.60765 0.1836121 
1.997445 0.4842425 
1.705652 0.2130142 
1.538685 0.2671623 
1.503831 0.1261072 
2.123253 0.1201461 
2.511545 0.1771458 
2.367865 0.07778456 
4.410946 0.494354 
5.801089 0.2761688 
1.215197 0.2150896 
1.309806 0.3745052 
1.740467 0.05382508 
1.689938 0.446428 
1.537397 0.2335354 
1.597168 0.3937973 
1.491553 0.1676813 
1.902606 0.3381669 
2.401254 0.2311484 
1.475386 0.4164936 
1.632629 0.4313074 
3.164916 0.2442412 
1.99156 0.2500758 
2.236138 0.0714337 
2.862663 0.4644389 
2.234781 0.1397624 
2.173266 0.2778549 
2.13647 0.1041155 
3.425017 0.1500423 
1.886044 0.3910945 
1.886799 0.3755976 
1.80238 0.1609984 
2.458566 0.126393 
1.864319 0.3531667 
2.498546 0.1985494 
2.760104 0.3024155 
2.51893 0.171192 
2.801113 0.4745326 
2.006888 0.1436294 
1.820128 0.3119852 
1.57534 0.1896898 
3.151978 0.3103149 
2.971759 0.2775121 
3.056321 0.4680474 
3.401208 0.3030134 
2.414104 0.3885788 
2.491824 0.4118837 
2.61418 0.2952801 
2.067977 0.3206089 
2.278915 0.2161477 
2.384489 0.3969948 
2.108248 0.4047798 
2.984861 0.2337737 
2.885978 0.2338135 
2.10789 0.372868 
2.640482 0.3754513 
2.024736 0.2913792 
2.919459 0.3677092 
2.758024 0.07011243 
5.165486 0.1398513 
4.599083 0.1860361 
2.04476 0.1335483 
2.9642 0.2620497 
4.293699 0.2886148 
3.155788 0.3238289 
3.315304 0.2721487 
2.78512 0.3334268 
5.579402 0.2978647 
2.278948 0.3563943 
5.20934 0.3567776 
4.148308 0.09929226 
3.020219 0.224026 
2.237153 0.1664274 
2.344093 0.4241551 
2.743659 0.1956279 
