beta1_1 beta2_1 beta1_2 beta2_2 beta1_3 beta2_3 
0.2061835 4.015232 -9.688776 -4.730565 -21.63132 -6.789413 
0.2307378 3.988925 -11.22716 -3.927318 -23.09615 -5.021164 
0.1136854 4.023425 -9.484582 -6.09669 -24.05367 -4.393493 
-0.003016179 3.949354 -9.48987 -5.927846 -22.18302 -6.106993 
0.04867581 3.996866 -9.922617 -4.288069 -23.84477 -3.542336 
-0.03482524 3.987377 -9.428419 -4.445489 -20.98055 -5.248923 
0.06014534 4.010598 -9.906198 -4.758322 -22.52841 -4.120561 
0.1878503 3.944504 -9.450719 -5.595527 -20.50608 -4.646805 
0.4135401 3.966556 -11.2079 -4.411812 0.6642688 -2.775777 
-0.09581435 3.913449 -10.00027 -3.008137 -15.61839 -9.783193 
0.03631736 3.957356 -9.423604 -5.892399 -23.08378 -5.180309 
-0.1077158 4.02102 -9.783123 -3.663987 -13.11873 -10.92773 
0.05385731 4.012399 -8.6186 -6.458976 -17.48146 -8.66692 
-0.1084014 4.002919 -11.14196 -4.102035 -19.60715 -6.814152 
0.170105 3.915718 -14.03753 -4.212115 -4.87141 -8.215653 
0.03158923 3.967602 -9.182548 -5.017785 -24.32959 -2.316634 
0.06138849 3.941326 -9.33086 -5.416954 -21.09381 -5.941222 
-0.0118733 4.014907 -10.66482 -4.765115 -20.27765 -4.211057 
0.1323788 3.98146 -10.97724 -5.40722 -13.62216 -7.073993 
-0.2039415 3.956913 -5.095476 -4.718066 -17.7595 -4.934924 
0.1756118 3.94261 -9.736955 -6.160211 -20.06578 -5.015608 
0.1327511 3.960701 -11.22009 -4.281623 -26.21269 -3.360466 
0.04251617 4.023518 -10.54089 -4.336416 -24.40831 -4.578954 
-0.009214413 3.937089 -9.512402 -5.575844 -23.60927 -3.365795 
-0.06154284 4.009225 -8.770092 -6.952526 -23.20649 -4.798171 
0.1715744 3.954998 -8.048002 -5.736727 -13.99879 -9.712782 
-0.07257547 3.978944 -8.951439 -4.87024 -12.32872 -5.733691 
-0.02459635 3.939614 -9.377098 -3.457616 -9.783037 -12.68735 
-0.06203785 3.968008 -9.296017 -5.693715 -13.04945 -4.486511 
0.02751913 3.927369 -8.299355 -5.325138 -15.55748 -2.506119 
