Delta_1 Delta_2 Delta_3 Delta_4 
-2.623813 -4.62545 -0.002499169 0.002385458 
-9.924778 0.817531 0.03263308 -0.01444053 
12.85732 -18.68199 -0.0184365 -0.08464487 
-10.97371 6.197196 -0.001951784 -0.003525132 
-13.81714 14.1767 0.03081432 0.005302746 
-23.42714 -14.57915 -0.0069825 0.04885454 
-15.44851 0.8509082 -0.008512262 0.02635484 
9.131184 -25.54779 -0.03371125 0.06781095 
-13.55518 -12.07801 -0.008488189 -0.06623105 
4.243014 -2.849532 -0.01327221 -0.021906 
-31.29885 -1.869781 -0.01289976 -0.0448348 
4.75523 -4.96473 -0.004465442 -0.007613788 
2.945538 -2.635517 -0.01573483 -0.002133172 
-16.86991 8.268298 -0.008085771 0.01897706 
6.373034 6.134331 -0.02647423 -0.04147086 
9.449415 -11.84977 -0.007439863 -0.06556018 
-11.9333 3.86666 -0.04456635 -0.06936445 
-9.473384 -22.26466 0.01063623 -0.00382673 
-12.72278 -7.909965 -0.02588613 -0.02557876 
-0.3270793 9.79478 -0.01714119 0.00992086 
1.309473 10.71567 -0.002551456 0.03755301 
1.108296 1.525095 0.003569012 0.004619835 
-4.610969 16.63217 -0.004706166 0.00722508 
-2.307797 -2.452069 0.0027759 -0.05489089 
9.210306 13.73265 0.001046572 -0.1260685 
-17.95686 10.14747 0.001751804 -0.09450549 
-2.284753 12.39305 0.006658165 0.003528837 
3.774923 4.437818 -0.02384997 -0.07940842 
6.386305 7.93409 0.0001828247 0.004549239 
8.218588 -2.883004 -0.00523472 3.24955e-05 
6.728791 5.563409 -0.005886926 0.00475373 
3.578216 -7.593092 0.01536905 0.01485855 
-26.42598 -2.289077 0.02660869 -0.06716005 
-0.2314072 -14.99676 -0.01579417 -0.02768578 
-22.31342 -21.32297 -0.01567726 -0.01813129 
14.26003 8.472172 -0.01818514 -0.06246492 
5.098803 1.160022 -0.004828407 -0.004264964 
-3.283461 13.81323 0.002930158 -0.006878413 
16.39816 -6.096841 -0.003324589 0.02703053 
-12.32189 8.131201 0.004930207 -0.01177783 
-0.3231434 -11.22435 0.008317808 0.002514526 
13.41141 7.567614 -0.008348903 -0.01275782 
-19.26303 -2.290239 -0.008006791 -0.04093128 
-10.92955 -9.188681 0.006336886 -0.01969362 
-22.47973 2.067231 -0.01326236 -0.03525772 
-0.8876771 8.1995 0.01139424 0.01334641 
-0.4708525 -14.34483 -0.01433756 -0.03315271 
-6.570674 15.05979 0.01560632 -0.01586642 
-3.388169 8.411258 -0.0006027809 -0.0231654 
-3.107796 -13.53501 -0.0008757455 0.07620783 
-13.41068 0.8780807 0.001919358 0.09483866 
4.595795 -6.246533 -0.004276003 -0.04218923 
-5.800051 1.425524 0.004682554 -0.1416986 
9.87017 5.255613 0.001927464 -0.02420122 
-10.37265 3.633168 -0.03463437 -0.0758657 
7.787474 7.627268 -0.02544794 0.004114434 
0.3749317 -7.768254 -0.007912741 0.01388874 
4.185974 7.228162 0.02604729 0.05103314 
1.897105 2.241771 0.005277176 -0.005116166 
11.79841 9.702642 -0.03560146 -0.102951 
-6.488613 -0.9392922 -0.02688982 -0.1930767 
1.458924 8.071128 -0.006490256 -0.01367382 
-9.949116 4.967773 -0.01381368 0.02652732 
0.01643366 6.647517 0.01077208 0.01190577 
10.74056 1.440651 -0.01802703 0.0408801 
-4.154703 1.41907 0.03699952 -0.04341435 
3.111521 -3.132351 0.02412547 -0.0333299 
-1.084035 -18.61464 0.009069574 0.06996207 
-1.566049 4.453256 -0.01344488 -0.04328623 
23.09018 -2.75837 0.01309002 -0.08072866 
11.51894 -2.09447 0.004980196 0.09169376 
0.1891147 2.302915 -0.008855351 0.1139875 
-14.28916 1.830413 0.0009422538 -0.01750471 
-0.6060066 1.431066 0.02332742 0.02696499 
-3.918927 -8.341417 0.001152102 -0.02113987 
-13.43698 6.552029 -0.003812952 -0.09814895 
1.332683 4.161536 -0.00776743 -0.0005100247 
-14.16812 4.479298 0.00906334 -0.004110681 
17.00055 -5.212611 -0.002873318 -0.0306215 
-13.86162 1.776627 -0.01245171 0.01511588 
-9.73072 -2.094723 0.004307446 -0.02769983 
-6.819367 -6.901066 -0.007870385 -9.284519e-05 
-8.876483 -0.7483491 -0.01902462 -0.02746246 
-29.05453 9.433802 -0.02786196 -0.07379353 
2.686017 -8.595969 -0.001494995 -0.02629843 
11.89817 10.1319 -0.005275377 -0.06068932 
-29.58282 2.909924 0.001771981 0.04631844 
2.036734 -9.127785 -0.004955412 -0.08014264 
0.2758255 3.242898 0.0148637 0.02980707 
-9.455394 -8.540703 -0.02053611 0.1444145 
3.58027 -10.83837 0.001063487 0.0344413 
-3.205261 -3.674145 -0.0229069 0.0688811 
2.711849 0.04154858 -0.02018369 -8.155516e-05 
0.1548931 -22.08415 -0.01023524 -0.04640067 
-10.30823 12.98298 -9.389508e-05 -0.1700578 
-7.626468 3.006626 -0.002185788 -0.01370145 
3.995619 -7.009562 -0.01559267 -0.001901834 
-22.56994 8.313069 -0.005699365 -0.03525101 
-2.560921 -1.826363 -0.02298901 -0.03384437 
-10.59675 16.67033 0.007698266 0.0004239774 
3.653404 -23.59636 0.007617015 0.002568882 
-23.4401 -1.751272 0.003697711 -0.04187396 
15.36127 -3.865746 -0.01220843 -0.01951417 
5.626527 2.989422 0.01289556 -0.0309423 
-3.979142 -24.78383 -0.01394627 -0.09053233 
7.57281 -14.26461 -0.00278467 -0.04818956 
-14.1161 0.1946836 0.00153628 -0.120152 
2.468454 -9.991513 -0.008411723 -0.1556109 
-4.218316 21.5358 -0.008921697 0.07834497 
4.550551 12.12813 0.03182809 -0.01978143 
13.24232 14.14362 -0.0180096 0.006459392 
-3.000666 8.388209 0.004883936 -0.0776235 
-13.65528 -3.38001 -0.006646588 -0.005541724 
10.99119 9.65704 0.01351585 0.008502992 
8.842214 -21.81249 0.0005525162 -0.03835933 
2.164644 0.9290737 0.01806379 0.07506961 
19.30857 -5.928734 0.002919982 0.01188068 
-3.831765 -2.888565 -0.01159506 -0.01570786 
-4.964412 -4.10547 -0.01419883 -0.04405313 
-17.8604 0.4267642 -0.0228847 -0.1227037 
3.000342 -3.496883 -0.01749598 0.002569453 
-6.281512 6.617833 -1.433537e-05 -0.1250093 
-6.143814 1.385065 0.01824309 -0.01500844 
0.2319152 4.504171 0.01508658 0.03728373 
10.37375 -14.78855 0.02000206 -0.02688622 
-13.88225 5.166211 0.02170929 -0.03081729 
10.11424 -6.223246 0.0002838816 -0.0326609 
5.366377 -6.590257 0.01608775 -0.01688715 
-18.9075 12.95966 -0.02529289 -0.04372983 
28.72657 -4.105173 -0.00374808 0.01593617 
-22.80135 2.394925 -0.009373464 -0.09761378 
-1.245844 -19.16943 0.002464076 -0.1229397 
-4.938204 -16.67886 -0.05120933 -0.0366242 
10.89902 27.66025 -0.01955801 -0.01841391 
16.13479 6.66553 -0.008247777 -0.02480549 
8.110653 13.83003 -0.02706005 -0.1653616 
3.410161 -2.24529 -0.01872169 -0.1312548 
3.456772 7.522153 -0.01858148 -0.06092651 
8.730001 17.49011 -0.00335057 -0.03952958 
-2.656376 -16.923 0.02680769 -0.000291565 
2.930656 -8.331062 -0.00106284 -0.02203918 
9.623331 -2.567797 0.002850966 0.01802345 
0.6202442 -5.25887 -0.03346597 -0.03859404 
-0.9118473 -16.79438 -0.004173809 -0.01303197 
6.722541 7.169298 -0.0122705 -0.03644841 
7.875289 9.863449 0.008546651 -0.132416 
4.057711 -1.958291 -0.004402996 -0.01062606 
5.31998 -4.981922 0.000492322 -0.03936299 
-12.45963 -17.98271 0.01603883 0.02709873 
2.411365 -8.23206 -0.0100319 0.03993548 
6.081038 -3.370355 -0.007618836 -0.09917442 
0.665621 18.12514 0.01970448 -0.03070706 
11.82064 -8.470859 -0.0148986 -0.03736842 
11.60472 13.58485 -0.01094545 -0.03619414 
16.08646 16.24475 -0.007497173 0.03618916 
-1.697377 -12.25492 -0.006957775 0.04784899 
-15.2272 -10.436 -0.01097333 -0.08634248 
5.475898 15.35714 0.0007079835 -0.07538556 
-0.3680224 18.95716 -0.01706165 0.08323444 
10.41438 -1.123318 0.0266019 0.005641375 
-8.766962 3.57714 0.007975853 0.004132833 
7.009003 2.560725 -0.06583369 0.0762111 
2.916825 12.52415 0.0141788 -0.0152406 
-16.24383 -17.93919 0.00749735 0.07542813 
2.393579 -0.4576956 0.02538687 0.1265976 
1.091323 5.311415 -0.0215985 -0.02375627 
-4.704954 3.502701 0.009838739 -0.1811241 
-2.123452 12.48684 -0.006914242 0.02417485 
10.37015 -5.056147 0.008820693 -0.04401212 
21.61595 2.943209 -0.0009332286 -0.001050611 
8.572646 2.969935 -0.02226074 -0.04986027 
-4.399906 8.806514 -0.01849422 -0.00773666 
2.946054 2.07258 -0.01511335 -0.03766847 
5.290606 -1.702142 0.01580654 0.09025288 
0.9617639 -6.613756 -0.009572351 0.06762649 
0.07469031 5.42175 0.001394169 0.0440898 
-6.502311 -1.336572 -0.005455044 -0.1243451 
-17.35137 0.2193566 -0.01139878 -0.0597559 
2.528791 -10.73723 0.003176818 -0.02719641 
4.119732 12.83318 0.01555151 -0.02845549 
-2.372534 4.992527 0.01079639 -0.03499501 
-7.36539 3.09679 -0.05585923 -0.02263229 
2.89589 -6.225323 0.005750952 -0.0878826 
8.275418 7.478317 -0.008103814 -0.008684934 
21.67443 18.9665 0.003431435 -0.01668618 
-10.0309 1.667607 0.001637503 -0.02462031 
-5.684257 -4.127903 0.005200381 -0.05463208 
-5.599895 -3.764471 -0.01266194 -0.05252493 
17.46344 -4.23557 0.01740699 -0.159446 
13.45105 -6.398829 -0.01853101 -0.0122078 
0.5309534 7.390554 -0.01518054 -0.005691849 
8.883001 29.60815 0.01491199 -0.1056873 
-21.93665 8.086166 0.003776243 0.05449614 
-4.493148 -1.074109 -0.00471181 -0.03796181 
0.497805 -0.09891635 0.01128702 -0.01747976 
-16.04186 -20.29124 -0.02352552 -0.05564808 
-15.39543 14.65865 -0.00751076 0.02642723 
-9.22065 -3.008073 0.0001113348 0.09421438 
12.27728 1.320776 -0.00163437 -0.05722464 
2.803336 -2.744739 -0.001081752 0.03604554 
7.766471 -14.40234 0.007187042 0.00922567 
-11.66005 9.294552 0.02977996 -0.08003068 
-23.34833 12.36379 -0.003138269 0.007560845 
4.212993 -10.35025 -0.01847097 -0.09551163 
-9.087933 3.657501 0.01812604 -0.0868691 
2.539166 -12.24962 0.004581657 0.01630598 
-14.49431 -14.43724 -0.01962619 0.0194325 
-8.995119 -0.4079085 -0.01174847 -0.05616461 
-0.8457079 11.34431 -0.005241302 0.05321075 
28.07699 7.23817 -0.02819405 -0.07351314 
9.768913 -0.09765001 -0.01281706 -0.002265116 
-10.70318 12.34926 0.005562724 0.06767177 
0.2386297 12.37034 0.01978439 -0.01992469 
-4.622165 3.211946 0.03907897 0.06681698 
22.81254 12.16982 -0.004620625 -0.07394616 
-0.2765935 -12.47715 -0.0009082141 0.03042626 
-4.674183 1.744018 0.03456345 0.01905318 
-3.291423 14.70633 0.01167443 -0.153884 
6.482319 14.59655 0.01057943 -0.02962927 
-2.120628 -11.98873 -0.01545844 0.08530089 
12.14115 -5.966556 0.001245875 -0.05384666 
-21.78231 -2.085553 0.005779791 -0.04225883 
4.348492 1.491607 0.005182137 -0.09433272 
14.7674 -11.78228 -0.00318914 0.01234684 
1.513021 -10.94702 0.0159559 0.02419861 
24.21157 -12.73711 -0.01715914 0.02836933 
-3.027687 -2.938296 -0.04405052 -0.03925846 
-8.253551 -5.580411 0.001996391 -0.1208329 
16.40248 10.02435 -0.006507925 -0.02705106 
1.628185 -1.180118 -0.02790198 -0.01836896 
-19.4164 18.99827 0.01046469 -0.06069804 
4.615783 -8.635537 -0.01014613 -0.01469234 
-3.172513 2.365733 0.04044612 0.1295571 
-17.39598 -26.19645 0.02030284 -0.1085576 
-8.940405 -4.346388 0.0253199 0.02387592 
13.35057 16.76406 -0.01522266 0.1067263 
-15.6129 24.51815 -0.03497666 -0.02662897 
-18.15137 5.801539 -0.006972327 0.07009673 
3.868351 20.26758 -0.004198752 -0.09921904 
12.88498 19.92411 0.007776223 0.06627856 
2.631968 -1.792637 -0.03450106 0.05222557 
8.350156 12.30738 -0.004447555 -0.06453898 
-13.16675 -4.422715 0.009313799 -0.06574414 
-4.876149 -2.58921 -0.01658011 -0.1430579 
-9.167429 7.298877 -0.01311929 0.03166494 
-3.431154 -15.54224 0.01442129 -0.1245139 
-24.72177 -13.52917 -0.01362914 -0.03642305 
11.77414 11.72656 0.01712822 -0.2081 
-3.622149 18.73207 -0.0311773 -0.166709 
4.018667 3.695674 0.01778922 -0.115241 
-9.139829 10.00658 -0.009983673 -0.09622293 
7.02232 -3.512746 0.01823023 -0.04694476 
0.1294954 13.83046 -0.0161864 0.04378571 
-0.5395267 2.614425 -0.00710868 -0.09436512 
6.682339 -2.179907 0.01006184 0.03819991 
13.56485 -13.98444 -0.01577267 0.1235956 
7.873683 1.547007 -0.0007859058 -0.02231299 
0.6699356 0.9888426 0.01225334 -0.03173683 
0.535708 -15.07098 0.01135351 -0.0007439742 
-13.96205 -4.218391 -0.01699188 -0.05154664 
4.44593 2.960563 -0.01315261 -0.08927012 
2.656496 0.3704628 -0.01263501 0.0617188 
-0.1140402 -9.238162 0.00233159 0.0331274 
1.687886 -5.457477 0.003168326 -0.09271289 
16.92478 -7.683293 -5.390532e-05 0.03210598 
1.119442 4.486651 -0.01134235 -0.08762838 
8.334228 10.35679 -0.01753556 -0.01278117 
-10.97948 -7.992934 -0.03797833 -0.07134215 
18.44327 3.493956 -0.004071387 -0.004013538 
-2.790585 -24.07142 -0.02641109 -0.07923984 
-17.13843 10.18732 -0.01437249 0.006898264 
12.0196 8.71527 0.002572277 0.1376677 
3.458117 12.59199 -0.01331689 0.07658717 
-2.718699 -9.887558 0.01690304 -0.1009476 
-5.506997 16.15506 0.007009638 -0.09184141 
-4.482778 -1.97554 0.001113468 -0.03038646 
-16.0392 -2.18858 -0.005805214 0.008384275 
5.071067 5.708466 -0.01229787 0.002137511 
8.835402 -10.09502 -0.03155677 0.05672699 
-8.272263 0.8379888 -0.005154228 -0.04017581 
0.7627818 4.373125 0.01200617 -0.02698061 
18.54994 -1.24492 -0.01960665 -0.0422867 
-6.506842 0.4883518 -0.02372692 -0.05254497 
10.3104 6.52036 -0.001796045 0.04220614 
12.58286 10.86978 -0.02122671 -0.035233 
-0.8709327 -7.69502 0.004750827 -0.004529904 
-18.88174 -9.107554 0.01106824 -0.02267749 
-6.614152 -0.7088833 -0.008831561 0.02150619 
-4.049557 -11.36027 0.01023658 0.0003763387 
5.746376 2.365647 0.004824635 -0.02222982 
2.775517 -1.871114 -0.009217401 -0.008151452 
-4.286488 8.65643 -0.01838365 0.04002681 
-15.57352 15.78977 -0.02363817 0.01361016 
-16.43135 -3.172867 0.002827075 -0.02192922 
-4.169501 0.329865 0.009413022 -0.001520597 
0.74719 -12.11394 0.01054664 -0.08585182 
14.64837 8.672981 -0.01609226 -0.03636022 
6.920019 -2.908459 -0.007465955 -0.04339256 
-3.062219 21.39601 0.01372411 -0.1020823 
3.998953 10.39801 -0.004203775 -0.1395442 
-9.418171 -16.60164 0.008964979 -0.03507637 
6.52776 8.472845 -0.001360563 -0.03277407 
-0.1741564 -2.836382 -0.01685846 0.02249482 
-0.7782757 -13.57591 0.01265296 -0.005742851 
11.8438 6.938454 -0.004661382 -0.01161957 
21.40957 3.943239 0.006386916 -0.06779024 
3.370057 3.735906 0.02363003 -0.07083168 
-3.499924 8.465459 0.007683051 -0.04175609 
16.35985 -10.95328 -0.02594915 0.007650437 
-5.53514 -0.935456 0.01886179 -0.05687085 
-12.85551 11.27239 0.01089019 -0.03451204 
-17.3934 9.394362 -0.01589159 -0.04038892 
-9.21752 4.71569 0.003533905 -0.0517471 
1.237931 16.04267 -0.01843439 -0.05184881 
-14.45929 -0.2393322 -0.02472696 -0.01268171 
-21.25106 -10.59162 0.02226125 0.1016501 
11.33046 -10.23623 -0.03220583 -0.007967664 
-17.5057 -3.230576 0.01426909 -0.04197572 
8.838977 0.6979752 -0.009872921 -0.07334389 
4.207177 -0.7236195 0.009629342 -0.07026123 
0.9039617 -14.50677 -0.01038263 0.01511523 
0.8176377 -12.96169 -0.009835924 0.06753633 
-14.27679 14.41718 -0.004307764 -0.2019286 
-7.308936 -5.443726 0.01881025 -0.1497951 
-2.350242 -11.01877 -0.03121854 0.04800643 
1.798967 -22.19339 -0.01409357 -0.1004468 
-10.71454 22.75141 -0.007575552 -0.1789705 
5.056282 0.9611139 -0.00587611 -0.05326435 
0.6312312 -0.731555 0.01209289 0.1055384 
-6.194477 -6.75952 -0.02471246 0.02977414 
-4.024188 -2.378116 -0.01023609 0.0301504 
5.222888 7.588801 -0.03422092 0.02196771 
