"beta1_1" "beta2_1" "beta1_2" "beta2_2"
-30.00436 -3.875576 21.74416 3.545965
-30.1279 -3.786722 21.4678 3.871456
-30.17724 -3.664286 22.45182 3.690012
-29.90253 -3.941596 21.68266 3.651827
-29.90102 -3.994977 21.69792 3.386825
-30.01365 -3.692616 22.08633 3.595761
-29.57263 -3.721954 23.03425 3.99154
-29.66165 -3.843917 22.05998 3.992635
-29.89217 -3.686214 21.94817 3.647698
-29.61252 -3.703388 21.94179 3.975531
-29.75988 -3.952257 22.13775 3.797563
-29.7581 -3.776617 22.21005 3.515064
-29.94589 -3.663443 22.34012 3.849661
-29.98689 -3.839287 23.00067 3.728657
-29.74885 -3.845479 22.49732 3.55364
-30.04647 -3.775646 22.33772 3.855051
-29.69089 -3.785567 22.31757 3.615642
-29.74195 -3.821307 21.78543 4.122642
-30.08124 -3.965342 22.17218 3.417425
-30.07335 -3.893335 22.61003 3.739484
-29.9327 -3.911088 22.09795 3.881053
-29.76442 -3.794669 21.80986 3.404918
-29.85767 -3.789668 22.20396 3.996943
-29.80635 -3.777584 22.22397 3.70389
-29.77914 -3.711871 22.07312 3.680465
-29.87251 -3.691334 21.81501 3.477292
-29.81241 -3.798276 21.72951 3.715352
-29.95266 -3.877603 22.32027 4.060827
-29.71812 -3.860722 21.89586 4.13351
-29.89852 -3.807268 22.2795 4.096144
-29.86897 -3.824302 22.40335 3.526978
-30.09703 -3.761535 22.01251 3.497215
-30.15268 -3.601955 21.72387 3.518526
-29.84897 -3.810692 22.20118 3.765155
-29.80695 -3.827992 22.52523 3.880315
-30.00853 -3.906514 22.79884 3.608934
-30.1335 -3.769468 22.4961 3.886568
-30.08832 -3.854857 22.21537 3.961157
-29.9154 -3.80614 22.26434 3.966539
-29.85098 -3.864439 21.37308 3.477667
-29.88829 -3.915265 22.24509 3.683812
-29.79619 -3.579903 22.53072 3.679255
-29.94686 -3.90454 22.4963 3.496097
-30.15484 -3.74177 22.04299 3.659871
-30.05671 -3.701858 21.93274 3.74453
-29.77757 -3.636218 21.93903 3.412073
-30.0043 -3.655602 22.09048 3.837227
-29.62584 -3.935167 22.09641 3.526056
-29.75562 -3.735191 21.86653 4.081848
-30.05052 -3.804148 22.02823 3.733096
