Delta_1 Delta_2 Delta_3 
0.01434454 12.1209 -0.00830702 
0.02787448 9.324162 0.003778792 
-0.02399075 -10.3894 -0.0001309217 
0.06058838 19.43918 0.02236333 
0.006975871 -12.085 0.009671523 
0.03727329 -4.529831 -0.006369941 
0.0254515 -5.703697 0.01739778 
0.004625561 -14.22578 0.0136349 
0.1346306 -19.69337 -0.004833774 
-0.0563925 4.344149 -0.01988699 
-0.01862564 -2.502385 -0.01403735 
-0.04891882 1.535247 -0.01110962 
-0.1884524 0.5668904 -0.001487935 
-0.0781715 21.22117 0.0001052209 
-0.2218294 6.558704 -0.009110927 
-0.1421093 8.98132 8.914526e-05 
-0.007737895 14.79495 0.0007876505 
-0.02932716 -8.909472 0.008096077 
0.0155237 12.73762 0.007216447 
0.02213119 -24.42123 -0.004341111 
0.003733273 -0.9980964 0.001997661 
0.1177969 -1.394224 0.006554281 
-0.1188647 -1.196755 -0.01306628 
-0.02001011 -4.756671 -0.001659871 
-0.01058965 1.993046 -0.009353482 
0.007571565 -8.505767 -0.003427467 
-0.02006268 -3.670148 0.002135634 
-0.09006751 2.190909 -0.01757865 
-0.02100647 -12.63997 -0.01124922 
-0.05181757 -9.112169 0.001877871 
-0.0836217 9.212843 0.009865279 
0.05814822 14.92222 -0.01727105 
0.04452827 -11.1036 -0.006239444 
0.01657567 -8.928326 -0.02544782 
0.2070237 -4.486013 0.006035519 
0.00124695 -7.899009 -0.01184014 
-0.009755251 10.21846 0.01411223 
0.001090515 -1.966687 0.003869793 
-0.02084433 0.9097854 -0.02757472 
-0.009634313 -0.4764058 -0.007870688 
-0.066995 -12.06124 -0.001653153 
-0.1554644 -7.715217 -0.02853339 
-0.05899631 -14.61157 -0.0001183234 
-0.04635554 -11.60722 0.01495769 
-0.08990843 1.464433 -0.005938128 
-0.04815955 9.259323 -0.01437164 
-0.00901095 -9.367473 -0.01250458 
0.0008478032 11.96572 0.004801833 
-0.05754843 9.724137 -0.02823055 
-0.004927019 -10.69342 0.002059467 
-0.04331354 -4.937162 -0.008712896 
-0.03943464 -5.285151 0.0314666 
-0.02100546 -2.060256 -0.002789504 
-0.01960445 13.32647 -0.005860939 
-0.03491099 9.066972 0.01825209 
0.06024152 0.7658208 0.0128102 
0.005092205 -12.57911 -0.01980798 
-0.1097008 -7.678222 -0.00278247 
0.06059091 25.31968 0.005848821 
0.01564131 -15.4435 -0.01571121 
-0.0590972 -17.19987 -0.006668977 
0.07029553 -15.64116 0.03122582 
0.02193158 -4.391299 -0.0007142122 
