"beta1_1" "beta2_1" "beta1_2" "beta2_2" "beta1_3" "beta2_3"
-19.06327 -5.236985 -8.653693 -4.179379 -0.3502402 3.947485
-21.68222 -3.932055 -8.843535 -5.316554 -0.08200386 4.005132
-23.8606 -3.79088 -8.523206 -5.595915 0.1125371 3.992862
-20.77728 -5.157277 -8.4633 -5.693769 0.3784788 4.088822
-23.12531 -2.703766 -10.5585 -4.440494 0.3781456 3.958633
-19.87952 -4.430394 -10.08889 -3.23486 -0.06423259 3.920044
-22.78627 -4.59917 -8.615249 -6.035492 0.04375421 3.932753
-22.90833 -4.262047 -9.02305 -5.098127 -0.0071594 4.009031
-27.72675 -4.420097 -8.713751 -5.552247 0.06542014 4.004546
-23.21416 -8.56175 -10.22554 -4.886517 -0.1324074 4.012711
-23.67311 -4.15554 -9.871416 -5.104391 -0.1582395 4.066998
-19.8188 -4.870586 -9.095025 -6.257765 -0.1730531 3.934618
-16.71338 -9.078655 -9.091299 -6.244918 -0.1226706 3.927616
-10.16697 -7.493546 -13.25852 -5.419466 -0.2083038 3.985306
-0.4931241 -7.601657 -15.62908 -5.582637 0.09054525 3.970613
-15.88867 -3.585043 -14.03377 -5.103424 0.2134344 3.920647
-22.59043 -3.803297 -10.40162 -3.974631 -0.3064881 3.957436
-22.08025 -4.338655 -7.706216 -6.173865 0.1911858 3.974518
-23.19138 -4.600684 -10.07836 -5.225782 -0.102452 3.938657
-22.40958 -3.122626 -9.374811 -5.98446 0.0553658 3.951329
-22.80939 -3.757726 -9.471324 -5.905375 0.1978902 4.005736
-22.18827 -5.070087 -9.317669 -6.070268 -0.009686392 3.916056
-23.44139 -3.702687 -8.548651 -5.122863 -0.1511893 3.994778
-21.78263 -6.141033 -9.18467 -6.83638 -0.08892262 3.969354
-27.36646 -2.453687 -11.21235 -4.882325 0.2222538 3.945977
-23.62163 -3.862987 -10.18083 -3.56874 -0.127111 4.04418
-22.68125 -5.280361 -8.9789 -6.208318 0.3372282 3.946172
-20.15849 -4.924978 -13.17376 -4.741509 0.4812283 3.967495
-11.69412 -7.633054 -8.211559 -6.835248 0.1828613 3.943699
-7.553623 -5.387964 -9.221636 -5.891142 0.6962208 3.89263
-18.69955 -5.191391 -6.475385 -5.013081 -0.03150036 3.88943
-19.06087 -5.491529 -9.302342 -3.841898 -0.1771774 3.987216
-11.98458 -14.76255 -9.518443 -5.498374 -0.2678668 3.982874
-22.05834 -4.692519 -9.458841 -4.510131 0.2828859 3.883391
-19.93563 -5.18204 -8.544254 -4.31123 -0.1666244 3.965847
-12.49013 -6.41347 -7.788505 -5.326926 0.4601277 3.949103
-19.10179 -4.00569 -8.73611 -5.660639 -0.1185039 3.975564
-22.05779 -8.044572 -10.78575 -4.990946 -0.1669107 3.972339
-24.3752 -3.832961 -9.340653 -5.478551 0.2186723 3.988392
-21.34387 -4.464203 -8.133542 -5.951682 0.4285565 3.945809
-15.77105 -10.52216 -8.77334 -6.30061 -0.2437038 3.930155
-22.82066 -3.179893 -9.156987 -5.063553 0.005063962 3.97043
-18.54906 -5.962816 -8.962279 -5.736777 0.0411977 3.935798
-22.29663 -4.772411 -10.06789 -3.385163 -0.06938836 3.919731
-22.50173 -2.920098 -9.118727 -5.94821 0.2618032 3.918757
-20.65991 -3.427075 -9.434214 -5.314073 -0.1602125 3.970242
-23.78896 -3.003455 -10.3114 -5.63272 -0.1331921 3.894197
-21.52101 -4.497827 -10.37542 -5.781676 -0.1067163 4.030547
-19.14496 -4.599034 -9.286798 -5.562869 -0.2772132 3.900955
-14.71246 -7.836686 -8.940837 -5.314542 0.3231401 3.930968
-16.36814 -2.004237 -8.11113 -6.164408 0.3149664 3.992369
-22.6313 -3.942658 -9.571218 -5.252526 -0.01600802 3.994399
-10.13741 -11.45975 -9.043687 -6.60186 -0.2547968 3.949379
-23.89789 -4.043816 -10.18314 -3.241408 -0.02131408 3.948744
-23.38538 -3.458276 -9.352218 -5.245086 0.1608558 3.934543
-23.62796 -4.166394 -9.383894 -5.327935 0.1001716 3.905631
-24.39814 -2.590861 -11.59549 -4.768697 -0.2193787 3.96325
-19.92643 -3.046464 -9.812159 -4.532279 0.173947 3.996561
-23.43466 -4.386671 -7.842097 -5.566747 0.1105598 3.979814
-23.46371 -4.622057 -8.177416 -4.11243 0.02715898 3.92636
-23.47019 -6.528232 -8.776558 -5.662659 0.1058869 4.006434
-22.63857 -4.518142 -9.263999 -4.041451 -0.01464569 3.926236
-22.3644 -4.468817 -8.794914 -5.10832 -0.1614485 4.007437
-23.31531 -3.882185 -9.263051 -5.35086 -0.153335 3.92713
-24.01986 -3.203576 -9.80881 -4.72754 0.1631936 3.99626
-23.3328 -3.726617 -7.645185 -3.814781 0.06419112 3.999318
0.6446142 -8.767158 -9.9294 -6.554752 0.6037936 3.989031
-24.26379 -0.8374001 -10.33649 -5.50072 -0.005191226 4.00927
-18.88138 -2.812796 -8.510659 -4.64445 0.4168171 3.975351
-15.41731 -3.913229 -9.150206 -5.788232 0.06123675 3.991595
-6.739528 -8.337475 -8.113807 -5.131311 0.05597195 3.946635
-9.763983 -7.994508 -9.319349 -5.441055 -0.2485087 4.036623
-17.83354 -2.04614 -9.347588 -5.49119 -0.1705187 4.018006
-19.61116 -4.358368 -10.11636 -4.940715 -0.05172477 3.93401
-22.14424 -5.441717 -9.581071 -5.555727 0.1875975 3.995084
