tau2_1 tau2_2 tau2_3 
0.002605841 0.01197681 1.514313 
0.003377632 0.00581733 19.58805 
0.003031567 0.01424483 0.6611029 
0.003297648 0.01553612 2526744 
0.003523422 0.009031088 38.49475 
0.002153142 0.005939446 22.38492 
0.003067346 0.02082245 3.26488e+14 
0.002943262 0.0144373 4.422506 
0.00264724 0.01707297 12595203 
0.003454491 0.02627507 9174570 
0.002061424 0.005425246 9.92865 
0.003124848 0.007964289 195.5171 
0.002138389 0.01613574 15.48962 
0.003761603 0.01871009 2849.374 
0.002901355 0.01022165 530.4221 
0.00319809 0.01966264 12.1371 
0.003560834 0.01629802 0.06533571 
0.002452749 0.01479385 0.8275668 
0.003533823 0.01784187 1.55155 
0.003402012 0.007514031 1023.975 
0.003025277 0.01879701 45.76653 
0.003748499 0.01471959 279081438 
0.003277748 0.01747895 5.097474e+15 
0.002945409 0.01527061 1.210862 
0.003724329 0.01596442 0.03516186 
0.00462749 0.01435519 669.863 
0.004159418 0.01793322 1819.507 
0.003598268 0.01930329 1.179968 
0.002668715 0.01341495 24710.77 
0.003242724 0.01074581 136741249 
0.002423058 0.01103856 7840332 
0.004375532 0.00448098 12111870 
0.003130399 0.01132395 12871440190 
0.003568251 0.005848021 15.1922 
0.002513821 0.01235444 11.00794 
0.003165817 0.009944041 441.6606 
0.003712486 0.01458733 2.038606 
0.003398517 0.01076251 0.09214506 
0.003480081 0.006120922 0.01275106 
0.002531159 0.00639133 5687240857 
0.00296545 0.01251961 4419996 
0.003232293 0.009008979 662.1346 
0.003135941 0.005863773 263233.5 
0.003446075 0.005232277 7479.451 
0.002766592 0.01708629 7885438 
0.003537257 0.007401896 118.1398 
0.001969629 0.01018663 274.0531 
0.003884661 0.01086687 0.03500875 
0.003100733 0.01746652 95.19716 
0.002913838 0.0157361 37393392 
0.0020611 0.0181031 58519902 
0.002897678 0.01970932 10.46308 
0.003405456 0.009516565 3.569468e+13 
0.003062991 0.004619563 1.483009e+15 
0.002659078 0.009052316 3.37063 
0.002744976 0.01356304 0.4563524 
0.00302172 0.009651428 834.1294 
0.002314305 0.007311218 1765.632 
0.002607421 0.008020671 2.838875 
0.002771802 0.005487971 20.31081 
0.003750884 0.01936652 0.5377757 
0.003323795 0.0148178 294434229 
0.003468428 0.01381429 1636.189 
0.003275326 0.01517588 168411339 
0.003205753 0.02176519 11.73173 
0.003050009 0.01021959 0.1348131 
0.002692807 0.009741806 0.1003209 
0.00349513 0.007032877 49275931 
0.003019673 0.008104798 0.03061498 
0.002399168 0.01968218 1.056296e+14 
0.002366058 0.01386612 13293.17 
0.003240498 0.01345996 9.55216e+14 
0.003251249 0.005068003 11.97114 
0.003301555 0.01260137 715498.8 
0.003994625 0.01065011 0.4678249 
0.003400044 0.004795885 41.93897 
0.003205456 0.02445745 555294549 
0.003454202 0.0228234 18977.2 
0.003071394 0.03467361 0.4254793 
0.003205509 0.01283432 65672.41 
0.00390068 0.01305535 0.1362939 
0.003715522 0.009284489 0.3670534 
0.004067829 0.004820275 7.494525 
0.002878263 0.008392353 0.7473957 
0.003135734 0.01443208 19.33216 
0.003879957 0.007747245 317568.4 
0.003150384 0.009933076 22005.27 
0.00284044 0.007874032 16.53591 
0.002434691 0.0286799 0.02142653 
0.003211206 0.00816931 2.055998 
0.003337241 0.009386049 96.09234 
0.002537208 0.01146423 45.82147 
0.003343706 0.006783302 0.1072176 
0.003056515 0.006146066 502874.3 
0.003852726 0.005208798 10142.49 
0.003723806 0.01687354 1455.688 
0.002519453 0.01165 3.396489 
0.003069344 0.004774761 8.244569 
0.003532984 0.02245521 607.0373 
0.00327621 0.01958116 274598.2 
0.003910931 0.01269003 3645451 
0.002625128 0.0111558 1.775875e+16 
0.003095452 0.01099992 0.4650027 
0.002664666 0.01063669 8576879 
0.003452498 0.01131987 5188.442 
0.003769341 0.01048149 3.229354 
0.002375204 0.007576878 0.2729704 
0.003076013 0.008696059 0.5973662 
0.004196655 0.007872182 0.3913056 
0.002635232 0.0057538 1.867099 
0.00319138 0.006156999 275512661 
0.003251264 0.00606033 0.04557689 
0.003270987 0.003789493 0.5293981 
0.002432286 0.01871431 993536.7 
0.00342959 0.01575898 34034983824 
0.003157312 0.007160442 0.3575805 
0.003506345 0.01568242 52.70467 
0.002859095 0.01018003 6.248678 
0.003023166 0.005219222 3.056552 
0.002712009 0.01156514 0.5965033 
0.003069908 0.0200286 2.354998 
0.002653683 0.02126797 0.3647956 
0.002417102 0.007667398 0.7076933 
0.003934485 0.00434182 8.943885 
0.002241937 0.008045745 0.1764726 
0.002713436 0.007124884 3531510 
0.003384179 0.021558 3478884 
0.00281205 0.01100481 0.3051396 
0.002849438 0.01087733 0.3239543 
0.003261625 0.005181011 48.515 
0.002680652 0.01082377 1257836618 
0.003851236 0.01496133 2009988 
0.002757987 0.01124598 6.430901e+16 
0.002511404 0.01319679 1.427861e+16 
0.003028402 0.007143541 0.02542426 
0.003197273 0.007907081 19.60262 
0.002875779 0.0150876 4679.509 
0.002459154 0.006992157 55492116 
0.002736347 0.005372239 562341.3 
0.003264093 0.01633547 75.3102 
0.002111014 0.007131427 527677.8 
0.002606839 0.01374584 3080503 
0.002611299 0.01454361 0.06013074 
0.002853738 0.01667085 0.2241881 
0.003936523 0.01339278 62439.75 
0.002770129 0.02205701 156.0221 
0.00330037 0.02700477 0.02896898 
0.003153285 0.01460555 413.4977 
0.003117086 0.01593689 76924488 
0.005258247 0.01490378 83.73051 
0.003156497 0.006163202 0.03936438 
0.00348417 0.004343291 7.709881 
0.00316358 0.01079077 36053.27 
0.002994961 0.02719326 48289884 
0.002926536 0.01737963 0.288811 
0.003287475 0.009328243 32.23543 
0.002402453 0.007533577 54.38197 
0.00286688 0.01243962 5038502 
0.003047408 0.01960367 147243.5 
0.003729336 0.02104443 0.4374902 
0.002822188 0.02730676 985.2383 
0.004078769 0.003287185 9101.026 
0.003025824 0.004846752 16.59952 
0.003036606 0.01787895 741.3627 
0.002572513 0.01726597 16027237 
0.002884888 0.006634605 3770398 
0.002769297 0.03164145 608.1719 
0.004302316 0.009573269 0.09437354 
0.00324134 0.0142549 105.0818 
0.00314658 0.04226964 102.5053 
0.003115329 0.01461159 2.810437 
0.003007321 0.009221762 0.3627423 
0.002855449 0.01023755 757.6437 
0.003927822 0.008869233 20.77469 
0.003205457 0.02032599 0.7679131 
0.003338164 0.007670837 201367289141 
0.002369833 0.01461669 1.39085 
0.003300295 0.0132801 0.3739025 
0.003065651 0.03056577 1.716105 
0.002743 0.004964874 5.823566 
0.003018694 0.006291099 0.128533 
0.002858017 0.01767312 3655372618 
0.002990565 0.01580356 0.2247098 
0.00278155 0.01486883 0.07255766 
0.003517189 0.0122458 2282.816 
