"Delta_1" "Delta_2"
-2.725694 4.385742
-2.707411 5.294759
-2.749206 4.403538
-2.778456 4.848311
-2.766994 3.619248
-2.803295 4.140298
-2.727446 4.58816
-2.768007 4.2521
-2.984233 4.610841
-2.818803 4.356192
-2.788748 5.354257
-2.854542 3.946864
-2.947372 5.068873
-2.864832 4.804887
-2.877684 5.264956
-2.649658 3.82559
-2.631143 3.682934
-2.614539 3.925265
-2.474991 4.795192
-2.62628 4.571582
-2.73986 5.2418
-2.835864 4.656865
-3.027866 4.03455
-2.929703 4.347483
-2.87413 4.999507
-2.894914 4.005239
-2.952118 4.778925
-2.872891 4.725921
-2.799574 5.166677
-2.806431 5.049008
-2.885262 5.132002
-2.864813 4.162721
-2.815823 3.774095
-2.72055 4.435479
-2.736205 4.865337
-2.847831 5.194545
-2.988025 5.124435
-2.933479 5.525757
-3.053564 5.190352
-3.011897 5.885383
-3.015407 5.286776
-3.018415 5.158232
-3.024558 4.186775
-3.066089 5.885753
-3.293998 5.054193
-3.372919 5.488373
-3.317063 4.660392
-3.193504 4.766699
-3.08658 5.422903
-2.968272 3.783772
-2.774694 5.066972
-2.929329 5.53706
-2.975001 5.37413
-2.940253 5.707497
-2.797921 4.15432
-2.851052 3.929471
-2.9237 3.709123
-2.798297 4.511825
-2.908432 4.272504
-2.853655 5.018856
-2.813569 5.519066
-2.892851 6.609985
-3.140628 4.935138
-2.996852 4.415048
-2.920681 5.301537
-2.896215 5.013113
-2.663661 4.123495
-2.969502 4.830988
-2.824774 5.566092
-2.771356 4.909678
-2.942703 4.38998
-2.915445 5.102399
-2.817655 4.970952
-2.883529 5.057957
-2.979484 5.919012
-2.895665 4.696478
-3.09315 5.222717
-3.035301 4.084865
-2.930126 4.705677
-2.943773 4.57479
-2.844197 3.858197
-3.17652 5.07882
-3.003534 4.679269
-2.917983 4.902024
-2.880609 5.473482
-2.753148 5.330772
-2.724567 5.528417
-2.727002 4.009513
-2.74082 4.829945
-2.842281 5.077733
-2.926763 5.289956
-2.909011 4.639776
-2.874956 4.906035
-2.828675 4.409044
-2.93165 4.448023
-2.862161 5.227252
-2.911614 5.222102
-2.900826 3.978896
-2.793804 5.258206
-2.89071 5.351054
-2.780772 4.535894
-2.842833 4.454344
-3.008577 4.697298
-2.851422 3.911257
-2.972438 4.143188
-2.947948 3.862283
-2.975547 4.558243
-3.104838 5.176865
-3.137042 4.152371
-2.811393 4.563589
-2.634852 4.424997
-2.823039 4.915772
-2.968251 4.286921
-2.887735 4.682424
-2.820873 5.485653
-2.679987 6.731327
-2.82588 4.84002
-3.036807 5.418653
-3.020567 6.071531
-2.925851 5.951148
-3.008534 5.115384
-2.960457 5.029275
-3.053894 4.175235
-2.93614 4.664283
-2.825124 4.640354
-2.806151 5.644389
-2.655596 4.936343
-2.66781 5.084724
-2.71569 6.034276
-2.784725 5.220117
-2.885979 4.44195
-2.884189 3.760886
-2.916738 5.104608
-3.265202 5.139474
-3.184885 5.42807
-3.329957 5.327252
-3.392522 6.317545
-3.294881 6.425332
-3.215122 5.277972
-3.289101 4.882929
-3.193567 4.470634
-3.141823 5.057847
-3.185241 5.595345
