tau2_1 tau2_2 
0.003317335 0.01184444 
0.002888647 0.01080328 
0.002494999 0.007180356 
0.003008996 0.005744969 
0.002916818 0.01298905 
0.004229603 0.006949339 
0.003688489 0.005813713 
0.003102773 0.01242238 
0.002456935 0.008279742 
0.002702268 0.01361908 
0.002570883 0.006125174 
0.003249738 0.007648001 
0.002414024 0.005190243 
0.003152734 0.007396979 
0.002506083 0.01055443 
0.003159263 0.02064108 
0.003515971 0.017109 
0.002481647 0.02188934 
0.003470175 0.02003148 
0.003029244 0.01259377 
0.002594413 0.0123141 
0.002646037 0.01392834 
0.003205105 0.011243 
0.003217278 0.02307281 
0.003020646 0.02029642 
0.003340795 0.02893303 
0.002883552 0.01125737 
0.003041143 0.004081539 
0.003553971 0.04223409 
0.00311279 0.01450548 
0.003324095 0.01878554 
0.003764922 0.01164691 
0.0042444 0.004753713 
0.003078478 0.004419389 
0.003390031 0.01260151 
0.003100407 0.009078062 
0.002584908 0.01020998 
0.002859576 0.01375672 
0.003214821 0.01539022 
0.003167229 0.02099775 
0.003271639 0.01488275 
0.003424759 0.01880456 
0.003275575 0.009780377 
0.002929328 0.01022147 
0.003287017 0.005223406 
0.00355055 0.01034933 
0.003573156 0.01237242 
0.002249053 0.01164027 
0.003055113 0.01140564 
0.002701058 0.01029676 
0.003892311 0.005419376 
0.002744473 0.004750204 
0.00301028 0.009086617 
0.00335903 0.01465868 
0.00381569 0.0176096 
0.0029338 0.018439 
0.003308981 0.02797733 
0.003882606 0.01320261 
0.003007842 0.005615436 
0.003101604 0.01837503 
0.002537459 0.006968886 
0.00329527 0.02715367 
0.003203157 0.008899032 
0.002429976 0.01419226 
0.003611086 0.007552659 
0.003030778 0.02084395 
0.003414783 0.007670602 
0.003663345 0.02160581 
0.002510443 0.01210748 
0.002577517 0.007695193 
0.00354883 0.007831195 
0.003823042 0.006997819 
0.00365609 0.005305844 
0.004439163 0.004994225 
0.003451584 0.009428364 
0.003943106 0.01193204 
0.002042859 0.00842548 
0.002108302 0.01669256 
0.003734053 0.01932752 
0.003168133 0.01356221 
0.004171395 0.01767464 
0.003722437 0.01786947 
0.003936117 0.01358556 
0.002860594 0.01880994 
0.003056902 0.01867105 
0.003416574 0.01411798 
0.003487543 0.01177642 
0.003640969 0.01936314 
0.004598217 0.01115369 
0.003404654 0.02665329 
0.003454529 0.01218652 
0.003616521 0.01127569 
0.0032578 0.01387814 
0.00332323 0.01889435 
0.003054108 0.01907882 
0.003515022 0.01409594 
0.003066952 0.01476469 
0.003352887 0.006638175 
0.002714481 0.0165521 
0.003475359 0.02237454 
0.004015007 0.03234041 
0.002560203 0.01038926 
0.003355714 0.01762573 
0.003253379 0.01043624 
0.004069646 0.01268394 
0.002620841 0.00653705 
0.002655452 0.008189853 
0.002816549 0.006047228 
0.002635732 0.00612219 
0.00355694 0.01222117 
0.003846894 0.002876859 
0.002767872 0.00547728 
0.002154469 0.005145062 
0.003104565 0.005401541 
0.002807622 0.007437344 
0.003181514 0.01797907 
0.003753601 0.02008195 
0.002345739 0.01870151 
0.002828679 0.01096892 
0.00286076 0.01833856 
0.002583541 0.008598741 
0.003634614 0.006260293 
0.003050492 0.01335705 
0.003253281 0.008178346 
0.003139803 0.01031514 
0.002676697 0.01476896 
0.004001677 0.01290705 
0.00224185 0.006540618 
0.002402668 0.009367686 
0.002878223 0.004391983 
0.003681545 0.007139277 
0.002572635 0.01521082 
0.003754758 0.01937654 
0.002432319 0.01284654 
0.003535697 0.02204142 
0.002376936 0.003796385 
0.003330548 0.01545546 
0.002696166 0.01751808 
0.003191555 0.01560276 
0.003611281 0.01429376 
0.003774113 0.01560967 
0.002538143 0.01295717 
0.004347104 0.009053182 
0.002938106 0.01028199 
0.004364816 0.01249947 
0.002370927 0.01291505 
0.003364724 0.01855934 
0.003338143 0.02255641 
0.002916962 0.008448396 
0.002441309 0.01331928 
0.003141914 0.0207217 
0.004340927 0.01596033 
0.002934716 0.008439978 
0.003246957 0.005609333 
0.002740195 0.01120603 
0.002189016 0.0125924 
0.00289258 0.007555037 
0.00351561 0.02242751 
0.002495885 0.01317026 
0.00311478 0.006270998 
0.00343065 0.01815923 
0.002470026 0.01001936 
0.003326423 0.02290703 
0.002330338 0.01558007 
0.003412446 0.01343592 
0.003533588 0.00933383 
0.002946154 0.01836803 
0.002815192 0.00494152 
0.003147254 0.01507048 
0.004082482 0.01749107 
0.002348132 0.01807287 
0.002728543 0.01628952 
0.002875477 0.006409097 
0.003649111 0.005550972 
0.002815123 0.008343332 
0.002496681 0.01586999 
0.003974892 0.01446128 
0.002526922 0.02497141 
0.00302695 0.01772165 
0.004354684 0.004076128 
0.003102549 0.01154252 
0.00331706 0.01086114 
0.003539168 0.01074336 
0.00224657 0.01099677 
0.003398369 0.0139294 
0.003817922 0.01729945 
0.003210524 0.02328566 
0.003421229 0.0281063 
0.002484882 0.01761538 
0.002666148 0.01445311 
0.003372697 0.01978668 
0.003566627 0.01493489 
0.002259658 0.01124896 
0.002626341 0.01723868 
0.003178088 0.004880333 
0.003240285 0.01822751 
0.003220904 0.01248034 
0.002979479 0.005344814 
0.002407771 0.004417153 
0.003116652 0.01450625 
0.002507859 0.0161455 
0.00249658 0.02269991 
0.003282957 0.01883403 
0.002715029 0.00901169 
0.002434462 0.01322599 
0.004036617 0.0121541 
0.002445442 0.005112511 
0.003895598 0.01016259 
0.004026967 0.01259516 
0.003237439 0.01233428 
0.003841919 0.006082182 
0.003315939 0.00828833 
0.003081369 0.01227049 
0.003128079 0.008094552 
0.002606487 0.007194247 
0.00283287 0.012712 
0.00282224 0.005778246 
0.003153771 0.01017954 
0.002935927 0.0144532 
0.003288419 0.008513405 
0.003051351 0.02051054 
0.002865333 0.008786202 
0.002700476 0.01674088 
0.003554224 0.0188037 
0.003937121 0.01544823 
0.003313463 0.01813039 
0.003328675 0.01204195 
0.003065388 0.01387068 
0.002336812 0.0063896 
0.003257539 0.009595592 
0.002960378 0.02116335 
0.003699678 0.0189003 
0.004005841 0.004936955 
0.002996702 0.01537563 
0.003093463 0.0257276 
0.002452401 0.0143858 
0.003306116 0.01027047 
0.002320654 0.01306837 
0.002639021 0.006299021 
0.002428612 0.007086154 
0.003027083 0.006010449 
0.003446775 0.0229906 
0.00390059 0.01213009 
0.003186029 0.02252719 
0.002541923 0.008458977 
0.003303487 0.02303622 
0.003477976 0.02702397 
0.002985228 0.009243687 
0.002747153 0.01469575 
0.002528836 0.008655197 
0.00407112 0.007087733 
0.002848089 0.02459426 
0.002985814 0.02637674 
0.003545527 0.01048037 
0.003436832 0.01365262 
0.003702977 0.02417058 
0.003042063 0.009495017 
0.00231987 0.009995336 
0.002841873 0.01044182 
0.002930194 0.00475669 
0.002529046 0.01685885 
0.002889233 0.006958922 
0.003030195 0.01579338 
0.003408806 0.00459921 
0.002459329 0.009777846 
0.003572931 0.02779198 
0.004166926 0.006038322 
0.003729436 0.004528509 
0.002785143 0.006282074 
0.002839858 0.01493441 
0.00337267 0.01041912 
0.002946377 0.009766033 
0.002487669 0.009814648 
0.002688447 0.006400554 
0.002978853 0.01333375 
0.003023044 0.02495258 
0.002979883 0.03018527 
0.002992342 0.01247365 
0.00233 0.01363772 
0.003057131 0.006563016 
0.003969067 0.006103018 
0.003164877 0.01179125 
0.004642624 0.01678203 
0.002952095 0.01682066 
0.003221845 0.01657841 
0.002710331 0.02002118 
0.003797297 0.005088843 
0.00275534 0.003249934 
0.003554301 0.008094215 
0.003383289 0.01543349 
0.003044244 0.00727342 
0.002725932 0.00654999 
0.003688878 0.0155726 
0.002711091 0.01138251 
0.002306475 0.009820629 
0.003140376 0.01126459 
0.002613324 0.01191385 
0.003565907 0.01676433 
0.002235966 0.004076567 
0.003380275 0.0071949 
0.002873053 0.006803981 
0.00281447 0.01813463 
0.003224155 0.01720654 
0.003178548 0.01177746 
0.002757198 0.006329707 
0.002968207 0.008693561 
0.002794703 0.00709659 
0.002311422 0.003383334 
0.003863724 0.009509107 
0.003564635 0.006354745 
