p_1 p_2 
0.7799307 0.2200693 
0.7264019 0.2735981 
0.7420943 0.2579057 
0.7008011 0.2991989 
0.6917896 0.3082104 
0.7106796 0.2893204 
0.6268044 0.3731956 
0.6574459 0.3425541 
0.6816163 0.3183837 
0.7374099 0.2625901 
0.7606057 0.2393943 
0.7005408 0.2994592 
0.812381 0.187619 
0.7223584 0.2776416 
0.6548552 0.3451448 
0.7443288 0.2556712 
0.6533805 0.3466195 
0.7085191 0.2914809 
0.7156552 0.2843448 
0.6405501 0.3594499 
0.6923455 0.3076545 
0.6551278 0.3448722 
0.7127028 0.2872972 
0.6970583 0.3029417 
0.7258287 0.2741713 
0.7312082 0.2687918 
0.7548716 0.2451284 
0.7520617 0.2479383 
0.6884713 0.3115287 
0.6707626 0.3292374 
0.6605615 0.3394385 
0.7400334 0.2599666 
0.7186209 0.2813791 
0.6683898 0.3316102 
0.6951782 0.3048218 
0.7206414 0.2793586 
0.689773 0.310227 
0.6552248 0.3447752 
0.7110287 0.2889713 
0.6720232 0.3279768 
0.7555253 0.2444747 
0.72901 0.27099 
0.6450692 0.3549308 
0.7197459 0.2802541 
0.5731588 0.4268412 
0.7361887 0.2638113 
0.7463692 0.2536308 
0.7368722 0.2631278 
0.756817 0.243183 
0.6920745 0.3079255 
0.7841763 0.2158237 
0.7565236 0.2434764 
0.7224484 0.2775516 
0.7688673 0.2311327 
0.7391131 0.2608869 
0.7232289 0.2767711 
0.6713392 0.3286608 
0.6495166 0.3504834 
0.7489642 0.2510358 
0.7245958 0.2754042 
0.7036624 0.2963376 
0.6670211 0.3329789 
0.5545381 0.4454619 
0.6986589 0.3013411 
0.5718356 0.4281644 
0.7333385 0.2666615 
0.7216676 0.2783324 
0.7477495 0.2522505 
0.6702193 0.3297807 
0.7514555 0.2485445 
0.7753886 0.2246114 
0.6163697 0.3836303 
0.7025407 0.2974593 
0.7194808 0.2805192 
0.6962561 0.3037439 
0.7396371 0.2603629 
0.7553964 0.2446036 
0.6378729 0.3621271 
0.7120121 0.2879879 
0.6897848 0.3102152 
0.7195989 0.2804011 
0.5892743 0.4107257 
0.6257343 0.3742657 
0.649716 0.350284 
0.7061521 0.2938479 
0.6674068 0.3325932 
0.6884238 0.3115762 
0.6233074 0.3766926 
0.7394742 0.2605258 
0.7383001 0.2616999 
0.727489 0.272511 
0.5803568 0.4196432 
0.760705 0.239295 
0.7637669 0.2362331 
0.6393288 0.3606712 
0.7629813 0.2370187 
0.7599145 0.2400855 
0.6750918 0.3249082 
0.7050271 0.2949729 
0.7169555 0.2830445 
0.7517759 0.2482241 
0.7810047 0.2189953 
0.7013123 0.2986877 
0.708873 0.291127 
0.6635404 0.3364596 
0.6436709 0.3563291 
0.6891936 0.3108064 
0.7322645 0.2677355 
0.7800237 0.2199763 
0.7582126 0.2417874 
0.7701142 0.2298858 
0.5581037 0.4418963 
0.5736944 0.4263056 
0.6639791 0.3360209 
0.8417272 0.1582728 
0.7834965 0.2165035 
0.7251479 0.2748521 
0.6470055 0.3529945 
0.7260887 0.2739113 
0.6233431 0.3766569 
0.6997097 0.3002903 
0.596175 0.403825 
0.6047565 0.3952435 
0.6913613 0.3086387 
0.7100105 0.2899895 
0.7335011 0.2664989 
0.6401287 0.3598713 
0.6088293 0.3911707 
0.6308969 0.3691031 
0.737625 0.262375 
0.6298203 0.3701797 
0.6093188 0.3906812 
0.7402745 0.2597255 
0.7044683 0.2955317 
