"nu" "alpha"
2.567394 0.1162333
2.274982 0.4754338
3.334281 0.3201272
3.24471 0.3832534
3.133703 0.1346149
3.191505 0.3245839
2.604838 0.3822747
2.591589 0.3435973
2.363549 0.2293628
2.674476 0.4354025
2.500632 0.143168
2.531085 0.2217346
2.352309 0.4371428
2.388093 0.1701775
2.170846 0.4029863
2.503798 0.2504452
2.401425 0.1199216
1.949977 0.3726469
2.475343 0.1817299
2.628154 0.2247407
2.249059 0.1456425
2.092907 0.3033843
2.254097 0.1782571
2.351142 0.3691325
2.238002 0.3386687
2.104791 0.4157991
2.182016 0.2410152
2.427799 0.2657628
2.41053 0.3083285
1.968277 0.268417
2.323441 0.4319521
2.403368 0.05531308
2.259345 0.3356855
2.515621 0.365394
2.208274 0.4025113
2.310343 0.322061
2.066844 0.1656758
2.208542 0.1797251
2.298664 0.3745242
2.300103 0.3054877
2.380373 0.2884241
2.725239 0.1539996
2.518957 0.3871666
2.653363 0.3038882
2.509566 0.4268867
2.182161 0.3185843
2.110233 0.4894739
2.428002 0.07655131
2.231343 0.281615
2.228076 0.4335903
2.285647 0.4464094
2.127724 0.379886
2.144527 0.3761783
2.283556 0.441029
2.274133 0.4792091
1.957087 0.4834785
2.247888 0.2791621
2.241091 0.4134816
2.246454 0.3814853
2.286182 0.4585912
2.698395 0.1532131
2.527682 0.2594296
2.25166 0.4131403
2.123789 0.1743102
2.31228 0.3859652
2.526791 0.456356
2.531999 0.4286637
2.421012 0.22482
2.406005 0.4340416
2.439323 0.4975426
2.326661 0.2060966
2.348974 0.125352
2.715665 0.1867777
2.518128 0.3029085
2.21872 0.1932878
2.264745 0.4842128
2.463985 0.3417852
2.514464 0.1541299
2.704988 0.2539362
2.374504 0.1857109
2.323731 0.4196085
2.465149 0.4371918
2.352716 0.4871624
2.430443 0.2354178
2.104685 0.09093379
2.386182 0.06555786
2.265538 0.4650522
2.248168 0.2829104
2.039288 0.2250561
2.224166 0.4894272
2.333341 0.4386972
2.894397 0.3014344
2.304297 0.4042247
2.372774 0.2229563
2.557669 0.115574
2.423213 0.3932657
2.365124 0.3700756
2.319073 0.273502
2.389984 0.09538868
2.037409 0.4866307
2.347597 0.2707694
2.256904 0.4405184
1.843854 0.3734309
2.173114 0.4545162
2.167126 0.189224
2.533293 0.3092489
2.365812 0.3998485
2.247192 0.3796448
2.394269 0.2805989
2.328616 0.2253059
2.212335 0.3477663
2.190147 0.2608159
2.782785 0.4813617
2.661868 0.2438245
2.768461 0.1366055
2.428921 0.4541044
2.429712 0.4423067
2.346388 0.3864059
2.52087 0.4414049
3.081673 0.4324023
3.055099 0.2539136
2.966767 0.1466708
2.544275 0.479555
3.114153 0.2619071
2.473383 0.292941
2.419662 0.1876962
2.525934 0.148621
2.13989 0.4673499
2.184304 0.4894866
2.107431 0.1790701
1.928047 0.3744075
2.41547 0.4438847
2.281279 0.3903178
2.492702 0.1477677
2.393703 0.2312369
2.609591 0.05853814
2.395664 0.2727235
2.575736 0.2872497
2.208233 0.480357
