tau2_1 tau2_2 tau2_3 tau2_4 
71.77541 0.01552431 0.08950215 1.155117 
12.27713 0.02307763 0.297772 0.2805397 
39.20718 0.0339078 1159.348 0.1684596 
86.43836 0.03582329 0.3291485 0.6910137 
6.924296 0.01092409 0.4810615 1.359427 
0.1064287 0.01707365 0.7011416 3.68589 
32439734947 0.02625371 0.5020934 1.294452 
14.97614 0.02276665 0.1964319 0.3416456 
0.4585001 0.01742818 0.1067673 18.06586 
0.7557729 0.009072086 1.228921 5.919367 
0.2581649 0.03990299 0.06407389 0.2083832 
1.79248 0.01287046 1.180833 6.929382 
0.1325072 0.01225828 0.1758067 1.006036 
0.2596936 0.02836249 0.2040764 77.50037 
0.2821419 0.01344606 0.3873343 326.5396 
0.1152632 0.01668745 0.1260712 13104033 
0.03846932 0.03204193 0.1182846 0.03346359 
0.9874584 0.007790199 0.06455246 0.1061757 
1.262279 0.01414062 0.9285616 1.161535 
0.3132508 0.02655672 0.2467232 1818.98 
0.1462809 0.01659773 0.1264235 3.023393 
0.1839683 0.0293726 0.05060484 3.823263 
0.2974212 0.01261453 2.364106 0.07023014 
1.292306 0.01780431 0.2701653 0.8101427 
1.196375 0.04285106 1.126601 0.3765918 
0.7228921 0.03032882 0.1678177 26.176 
0.1479653 0.01590453 0.1605895 0.242159 
0.6129975 0.03456066 0.06654874 2.897237 
0.3826752 0.01297466 0.04185289 1300.057 
0.9916304 0.03395022 0.09052362 0.1315498 
3.529803 0.01572214 0.2221665 2.789975 
0.4432554 0.02727082 0.08931489 61.54869 
34.41044 0.05313843 0.1670419 0.2093623 
4.122226 0.02442451 1.181726 2.325339 
729.2604 0.02019508 0.0785441 0.2599889 
61.07768 0.03446463 0.2221884 1.374529 
0.3623051 0.008762002 0.491178 0.6184145 
0.4247806 0.02639652 2.135084 0.6335043 
0.4073571 0.0190832 1697085 0.1225146 
0.2018074 0.01890686 22.2404 1.615051 
2.294745 0.08826665 5722.884 0.1542674 
1893.031 0.03613523 1.408294 0.1587404 
1.00103 0.02216767 2.417858 0.8070672 
35.03342 0.0499771 1.097979 0.2427653 
0.1249323 0.01744971 1.298473 0.05869265 
0.03567879 0.02651652 1.214292 0.4078956 
0.2147512 0.04266899 0.1072394 0.07587264 
106.7782 0.01796685 3.712308 1.204876 
12.3668 0.02085128 520.3341 0.07846525 
1.004721 0.02014118 2.338008 0.4503932 
11.74589 0.04172715 37.43602 0.9856302 
0.6427337 0.02490077 1164.192 0.5616255 
0.04680026 0.0909439 8.637637 0.6545858 
0.1730423 0.02271692 2.987368 0.1536768 
0.048825 0.01234978 0.3728653 1.138052 
0.2728533 0.04459536 19.77245 0.9186307 
0.7664106 0.02128258 0.1658677 0.7181761 
0.1285656 0.008143303 881.7431 1.27644 
0.5789488 0.02015407 0.1653828 0.1669329 
45.13139 0.007316959 0.9495486 0.420364 
3.699294 0.01807625 98.51329 0.6000617 
0.04040993 0.05501058 22.51809 0.7425103 
96.43562 0.03015369 37.34142 0.1500121 
356.9477 0.02927595 299.5775 0.2774389 
1.808462 0.03834442 1.103567 0.9402965 
0.033214 0.04278467 17.31596 1.567477 
0.02408063 0.02235194 0.1918184 0.148144 
0.3741054 0.04955913 16.16979 0.6456386 
11.91022 0.01653244 9590.417 1.375082 
0.5929523 0.03590413 10.06239 0.9207575 
1.456357 0.01609586 0.9195255 4.237213 
0.1794679 0.01630342 150.8624 0.2861121 
0.1525429 0.04503784 465356.5 0.7034 
90.39986 0.03278406 0.2127096 0.2861017 
0.7000839 0.02589744 0.09075373 1.833165 
28.52395 0.01225975 0.2640566 1.236639 
9.84338 0.1028699 0.1720201 2.675542 
0.1495724 0.03522644 0.2855469 0.9592425 
0.1946399 0.01288118 2.235689 0.09744756 
0.1917089 0.01637068 15.86244 0.3822648 
3.651818 0.02389553 127.6472 0.03148824 
0.7666694 0.01792961 0.3355682 1.215879 
0.1944492 0.02418273 83415833 1.629422 
0.05159904 0.02115788 0.08902349 0.1636754 
0.4233621 0.01700481 546100 0.7709155 
0.09874703 0.04876115 0.05739438 0.8953782 
3.283754 0.03424019 1.476748 1.195629 
0.315068 0.02293483 169247928211 0.4171415 
19.97898 0.01073774 5.803203 0.4446494 
0.4216644 0.01095326 3.300051 1.39891 
0.8642939 0.02101743 0.143053 0.2127487 
0.566 0.02054397 0.4090853 0.08136933 
0.1887298 0.02342063 0.1855897 1.714992 
0.2869089 0.0202011 0.120841 0.44452 
14.17218 0.02931158 1.727345 0.4301059 
7397.403 0.04346957 0.4039182 0.2422059 
37.89226 0.0232211 0.2467593 0.5750865 
10117786 0.05107874 0.6794155 0.4276653 
0.6354139 0.1207713 1.95364 0.01658075 
0.1333919 0.06335926 0.5582573 545535628147 
0.3440225 0.03062439 0.2077492 0.1181499 
0.6024691 0.01061329 1.19322 29628346 
0.5681994 0.02306179 0.2914744 5.673644e+13 
1.381856 0.017083 0.6061381 8.222406 
1.34714 0.0237245 0.7421739 4.74338 
0.7260153 0.01540151 0.130452 0.1641476 
0.1562306 0.01404853 0.2138377 205742.4 
0.5443921 0.01165924 0.1229453 0.3836733 
1.771298 0.02278756 0.2046019 391.9318 
0.06843637 0.01354681 0.4343088 5.016406 
0.05250693 0.01824379 0.0738393 0.02848824 
0.1391421 0.02256937 0.1469859 4.488962 
0.7637551 0.01964349 940.1147 5.023205 
0.07282063 0.03693359 1380.278 32.32645 
0.1346447 0.01016931 24.40513 0.6989548 
0.3282602 0.02613813 0.5827082 1.331798 
0.7481411 0.02194589 0.03792336 267.2003 
0.1161634 0.01503023 1.996157 4.437416 
1.028417 0.01336525 6.716275 3.519896 
0.9033026 0.03083425 25.81011 0.03322838 
1.23328 0.01506253 0.1184459 1.825409 
1.071302 0.04222884 11.05652 0.3947627 
0.02770345 0.01724814 0.9929341 0.9703758 
1.025483 0.01411399 0.2187606 0.7225678 
0.08916689 0.020395 0.3330601 0.2470677 
10.64694 0.01939653 0.09093524 0.2240268 
6.438064 0.0194293 1.280075 2.761914 
17.44264 0.03808858 0.546286 0.4669788 
0.2876645 0.08464922 0.1903819 1.116533 
0.6410643 0.08522349 0.3224205 1.082803 
191.3127 0.02734879 0.7806945 0.1263579 
2.876295e+13 0.01483715 0.4389751 0.4302446 
0.02521971 0.04060143 0.3661903 0.09822716 
0.1549716 0.01253366 0.228467 2.660786 
4.412373 0.06236118 0.1860131 0.3106905 
0.5831797 0.03227337 0.1706931 0.1778253 
0.3876653 0.01914715 0.1042745 0.04427341 
0.1533056 0.01698896 0.3050089 3.081354 
0.226453 0.02353571 2.803196 0.1247732 
3.148498 0.03318247 0.1111852 0.1262246 
0.2216867 0.02168347 0.4765596 5.202158 
0.6540427 0.01465874 0.2939052 0.3627616 
0.07415479 0.02432681 2.057336 3.615961 
0.1600753 0.03358343 1.107099 2.117391 
1.169879 0.01140818 0.3326209 970.8382 
0.3612213 0.01102189 0.1026669 2465519 
0.1815597 0.01709223 0.9276862 0.1731579 
0.0239114 0.01997755 41.85576 2.487839 
0.1368301 0.01487503 0.1625986 1.282157 
0.4040197 0.03566743 18.3729 1.100914 
3100.236 0.02774931 0.04552698 0.4368463 
0.4293004 0.0213684 3.836782 0.05659748 
516.9372 0.0458151 0.1001209 0.1313013 
60.64758 0.02927558 0.1183426 0.453366 
0.05278052 0.0167305 3.482181 0.4347712 
4.745405 0.02457588 0.6863169 0.253543 
4.102237 0.01359217 0.8277245 1.125994 
7.818543 0.02302831 0.1428593 0.6145246 
2.451429 0.01795166 0.2950299 0.03144247 
0.3073913 0.04601819 0.04077873 0.3450887 
0.2499112 0.04952255 0.1093071 10.29487 
0.7446666 0.01226795 0.2618152 0.6349663 
0.03413975 0.01015593 0.6202296 0.1337033 
0.3158136 0.01579818 0.2553495 2.117566 
1.599558 0.02002855 0.4774249 8.430584 
0.4857762 0.03390105 0.2965274 17.95284 
0.544612 0.03130733 43.80966 0.0600804 
0.07215528 0.008441991 3.274007 2.868188 
0.4255177 0.03787489 6.486919 0.5565029 
0.1036265 0.01104538 9.929962e+17 4.389351 
0.2787016 0.01783466 4.122891 36.94128 
0.3157875 0.019367 69.87568 0.7169163 
2.338297 0.03558233 4.25329 7.414228 
0.3871553 0.02000385 16.56379 0.6358608 
1.290872 0.02611425 1.03487 0.1530909 
0.2704731 0.0156232 397867727105 0.2109475 
0.4818089 0.03464428 0.09210762 0.122011 
1.056766 0.0142007 986.2566 0.1766703 
0.8273947 0.02523032 0.08917192 0.3951295 
0.4110859 0.01306853 0.0297441 1.004805 
0.7077369 0.05295707 3.907199 771110860044 
1.697686 0.01909703 0.859924 0.5528499 
0.8492419 0.01287664 0.06010916 4.543072 
0.6165362 0.01903824 0.1139663 0.3939278 
0.6606589 0.01113329 0.1285796 0.1511853 
2.214633 0.02285868 26.23508 0.6086751 
0.6026789 0.02077248 149.9812 0.2913302 
0.3854609 0.01567648 14.2012 0.1533838 
0.1291079 0.0141456 10.62804 1.013722 
0.1887903 0.02044857 148.4341 0.1996419 
0.4739583 0.01882761 0.1921236 0.09095312 
0.555182 0.03144589 38.69312 0.03289382 
0.2160558 0.01923289 7314.278 0.1303884 
0.734339 0.01587241 1.062371 0.126859 
0.1922355 0.02240829 0.5220456 0.8447515 
