p_1 p_2 
0.7997917 0.2002083 
0.7984571 0.2015429 
0.8504039 0.1495961 
0.8451106 0.1548894 
0.8552059 0.1447941 
0.8223657 0.1776343 
0.8453569 0.1546431 
0.8628857 0.1371143 
0.8686335 0.1313665 
0.7542691 0.2457309 
0.8477094 0.1522906 
0.8528908 0.1471092 
0.8427996 0.1572004 
0.8002303 0.1997697 
0.8175448 0.1824552 
0.8294622 0.1705378 
0.7938423 0.2061577 
0.8393052 0.1606948 
0.8305172 0.1694828 
0.8176956 0.1823044 
0.7870877 0.2129123 
0.8036474 0.1963526 
0.7685853 0.2314147 
0.7966506 0.2033494 
0.8073362 0.1926638 
0.8697099 0.1302901 
0.8677905 0.1322095 
0.8263414 0.1736586 
0.8196825 0.1803175 
0.7717369 0.2282631 
0.8504817 0.1495183 
0.8698228 0.1301772 
0.8437941 0.1562059 
0.8414223 0.1585777 
0.794786 0.205214 
0.8331091 0.1668909 
0.8270174 0.1729826 
0.8045861 0.1954139 
0.8127707 0.1872293 
0.8434856 0.1565144 
0.8698059 0.1301941 
0.7915586 0.2084414 
0.8272111 0.1727889 
0.8628456 0.1371544 
0.7540749 0.2459251 
0.8253327 0.1746673 
0.8612231 0.1387769 
0.8420481 0.1579519 
0.7665842 0.2334158 
0.769916 0.230084 
0.7275151 0.2724849 
0.8897296 0.1102704 
0.7856831 0.2143169 
0.8212366 0.1787634 
0.7735358 0.2264642 
0.8464677 0.1535323 
0.8086033 0.1913967 
0.8498171 0.1501829 
0.845079 0.154921 
0.8200348 0.1799652 
0.8407933 0.1592067 
0.8205671 0.1794329 
0.7834675 0.2165325 
0.7997524 0.2002476 
0.7642264 0.2357736 
0.8329734 0.1670266 
0.8582548 0.1417452 
0.8224349 0.1775651 
0.8972969 0.1027031 
0.8342088 0.1657912 
0.808285 0.191715 
0.8160262 0.1839738 
0.6910667 0.3089333 
0.7817996 0.2182004 
0.8291622 0.1708378 
0.7688652 0.2311348 
0.8025478 0.1974522 
0.7918849 0.2081151 
0.7971158 0.2028842 
0.7853048 0.2146952 
0.85579 0.14421 
0.8352613 0.1647387 
0.777576 0.222424 
0.8016472 0.1983528 
