"tau2_1" "tau2_2" "tau2_3"
0.1112202 0.01812911 0.07175791
0.2517487 0.0187402 0.04436549
0.1648778 0.04350598 0.06332478
0.2815798 0.01018786 0.0363517
0.3720753 0.0143456 0.04711146
0.1670348 0.01199002 0.04104641
0.1125493 0.01220488 0.04709376
0.2388694 0.02105208 0.05259826
0.1706818 0.01416426 0.0767704
0.1105 0.00755064 0.02929112
0.287411 0.01246071 0.0225939
0.1921145 0.01386033 0.01704257
0.1469767 0.02327628 0.05535763
0.3085769 0.02632181 0.06140262
0.1234723 0.0131231 0.05942068
0.1039368 0.03363926 0.1069776
0.2730243 0.02916107 0.09433219
0.287703 0.02580324 0.02961185
0.1160505 0.0159446 0.02686396
0.2960697 0.02635142 0.03444211
0.2513595 0.01191237 0.03918918
0.2517905 0.01346556 0.02391548
0.3255179 0.0179059 0.02331234
0.2025088 0.01372476 0.01429856
0.4329288 0.01361585 0.02628676
0.2845979 0.0181829 0.03215287
0.2163026 0.02046772 0.04304218
0.1952712 0.01419177 0.0202014
0.1430284 0.01556743 0.03094278
0.2924808 0.02382021 0.03908513
0.1470703 0.02628571 0.03288369
0.240316 0.009757284 0.02749952
0.06025226 0.02539328 0.04403109
0.09767973 0.008885019 0.03961196
0.178886 0.01608142 0.02476034
0.3535617 0.018374 0.03352459
0.1105822 0.01684566 0.03411157
0.3041477 0.01518057 0.07076605
0.08329341 0.03811557 0.03605011
0.1734015 0.01392777 0.02389308
0.1310043 0.01266415 0.02477585
0.215307 0.03051723 0.06034462
0.3280818 0.01370209 0.02660013
0.2996955 0.05590068 0.03167554
0.1414237 0.01523879 0.04927864
0.223097 0.007390136 0.03136233
0.5318865 0.008370181 0.04509512
0.1117854 0.008843588 0.06453429
0.09272 0.01940316 0.03100331
0.1847527 0.01561981 0.04059294
0.1778767 0.02451523 0.03284155
0.1945068 0.02427716 0.04747292
0.3719339 0.0219712 0.0631888
0.2817282 0.01784203 0.02774816
0.5378357 0.02219698 0.04979724
0.1225651 0.02608104 0.06318057
0.158649 0.01692836 0.02999033
0.07603563 0.01887939 0.1115858
0.1692252 0.01882835 0.05339627
0.1633391 0.02521599 0.03131659
0.1652922 0.01388813 0.02777256
0.215344 0.01296398 0.02657755
0.2651057 0.01921504 0.03246711
0.2832789 0.01403803 0.05259353
0.3019374 0.04706837 0.04287889
0.2355348 0.01976805 0.05676639
0.2458261 0.02282521 0.02505742
0.06717659 0.01339958 0.03306912
0.2588446 0.01747311 0.04091297
0.4654746 0.02143861 0.05601941
0.2978562 0.01701969 0.06162084
