"Delta_1" "Delta_2" "Delta_3" "Delta_4"
-2.776398 -2.072666 1.161403 -0.6934322
-2.942165 -2.114444 1.12654 20.63488
-2.984227 -2.015096 1.131062 -25.92
-2.801971 -1.970543 1.088511 -16.68123
-2.711837 -2.078317 1.123877 -2.172341
-2.998327 -2.064135 1.163722 0.608745
-2.804224 -2.040917 1.214575 -2.839553
-3.074504 -1.978542 1.141114 -0.2840633
-3.178332 -1.954755 1.115996 5.203655
-2.759616 -2.026155 1.072771 -2.914617
-3.063855 -1.909794 1.143237 2.011834
-2.942332 -2.083426 1.048564 1.409633
-2.905615 -2.117765 1.149059 -14.6133
-2.913377 -1.954967 1.115432 2.488231
-2.987655 -1.943752 1.157573 0.2220647
-2.989484 -2.106816 1.200952 13.32573
-2.775356 -2.173482 1.228808 20.13761
-3.055393 -2.146754 1.199014 5.754438
-2.951708 -2.203483 1.297013 2.58311
-3.125764 -2.127208 1.215783 -1.77423
-3.062095 -2.102055 1.083004 -1.397318
-2.916615 -2.187277 1.211693 0.532104
-2.988665 -2.179682 1.081409 15.76832
-3.278059 -2.240058 1.118864 -5.529963
-3.157929 -2.161127 1.165911 -7.955064
-3.042827 -1.978876 1.231757 -0.4691444
-2.758881 -2.055176 1.252667 -20.14493
-2.865114 -2.075503 1.181253 -13.62521
-2.78145 -2.121328 0.9964643 16.32799
-2.616229 -2.038042 1.039044 9.365923
-2.749245 -1.947121 0.9934683 -4.292062
-2.902032 -2.144456 1.075778 0.1393788
-2.711494 -2.128427 1.059262 -8.035925
-2.903997 -1.981972 1.014587 -1.772576
-2.809479 -1.992577 1.10798 8.068561
-2.913254 -2.122042 1.183942 2.94916
-2.885577 -2.095627 1.169468 9.881704
-3.150272 -2.170957 1.212687 -6.907281
-3.114024 -2.113894 1.226023 -15.53882
-3.158441 -1.88039 1.164107 5.326387
-3.016021 -1.972726 1.135869 -0.402912
-2.883011 -1.977086 1.200757 4.151262
-3.010606 -1.979302 1.218495 -0.9347352
-2.874179 -2.046202 1.23092 8.620007
-2.76308 -2.135827 1.28275 1.022141
-2.796901 -1.921141 1.309335 6.367253
-2.976864 -2.067614 1.334121 -15.49107
-2.710909 -2.078414 1.247615 0.6160626
-2.834642 -2.150848 1.308719 -4.834707
-3.203927 -2.179501 1.313876 1.290336
-3.288027 -2.15277 1.26663 -5.734623
-3.309055 -2.149268 1.212099 0.6687257
-3.584576 -2.182615 1.145648 1.424146
-3.335028 -2.140231 1.164199 1.766381
-3.029198 -2.080073 1.243817 0.29468
-3.257858 -2.037654 1.206497 -10.21908
-3.35946 -1.861881 1.150342 -15.14775
-3.019058 -2.004307 1.152011 -4.178203
-3.15696 -2.013378 1.226275 -0.4746116
-3.289958 -1.990975 1.19413 8.48974
-2.966333 -1.970452 1.181177 -6.214401
-2.887746 -1.986956 1.147157 -9.799882
-2.592315 -2.131006 1.146019 -9.529129
-2.597334 -2.197934 1.122206 2.484644
-2.632414 -2.172382 1.14178 7.172338
-2.952144 -2.215128 1.126503 1.31163
-2.728572 -2.158682 1.150083 5.448003
-2.912017 -2.13303 0.9997693 -10.12422
-2.723052 -2.188257 1.090955 -1.566389
-2.7748 -2.191538 1.124878 2.302274
-3.022646 -2.166491 1.141668 -7.735108
-3.171374 -2.049526 1.169632 1.84504
-2.838556 -2.088573 1.179188 14.3574
-2.722539 -2.087973 1.176482 -3.061232
-2.872234 -2.066782 1.084855 0.9094801
-2.823671 -2.112672 1.143443 -14.50424
-2.762032 -2.106158 1.054226 18.14458
-2.779111 -2.062691 1.038873 -0.6449846
-2.904901 -2.062302 1.024286 0.1795284
-3.019567 -2.048507 1.10153 4.682147
-2.866276 -2.143738 1.247038 -11.85274
-2.791281 -2.307417 1.214734 7.839131
-2.823982 -2.171384 1.213614 -6.223192
-2.924395 -2.342744 1.148907 1.236115
-2.88837 -2.272558 1.087768 -2.06292
-3.128828 -2.183501 1.181732 -8.927579
-2.860419 -2.094004 1.230563 7.155844
-2.861847 -2.087611 1.149192 -1.730599
-2.935635 -2.403268 1.141244 11.72713
-2.89068 -2.505131 1.166712 3.770777
-2.787161 -2.42325 1.219211 -0.2051671
-2.774523 -2.39379 1.191362 6.57103
-2.407089 -2.330816 1.24769 -9.061363
-2.6574 -2.155769 1.178173 2.006431
-2.658427 -2.160977 1.166465 -4.964942
-2.906489 -2.0477 1.106915 3.857912
-3.113482 -2.098389 1.171892 -5.635787
-3.032349 -2.13503 1.141499 8.094916
-3.176526 -2.117603 1.148202 -5.013304
-3.113659 -2.155351 1.194309 -9.698847
-2.987755 -2.282207 1.234063 -5.501309
-3.182441 -2.293743 1.202321 -15.20882
-3.158784 -2.210167 1.307935 -7.562802
-3.089024 -2.199618 1.394562 3.291918
-3.12387 -2.214355 1.354427 -15.34836
-2.799076 -2.217277 1.429402 10.65231
-3.081427 -2.205017 1.487072 -21.05724
-2.933793 -2.269339 1.422981 6.560093
-3.114541 -2.102216 1.335557 -16.87495
