beta1_1 beta2_1 beta1_2 beta2_2 beta1_3 beta2_3 beta1_4 beta2_4 
10.34408 -18.11949 -8.871776 -3.853765 -0.09002156 3.907584 -22.3515 -5.499268 
-6.773501 -8.445607 -10.98437 -7.058461 -0.04674106 4.022342 -15.36216 -3.475269 
-15.41348 -12.14723 -10.99742 -5.104343 0.09645025 3.989592 -4.730351 6.082039 
-12.64223 -11.98811 -10.72912 -4.536183 -0.06199063 3.95044 -5.590702 -13.31237 
-13.62048 -11.33106 -9.682242 -4.002235 0.001170976 4.021842 2.139013 -10.72546 
-26.15165 -2.987856 -9.128181 -5.747991 -0.06784007 3.928496 3.296044 -20.69609 
11.98956 3.25739 -9.678549 -4.287134 0.04528271 3.910695 -23.6115 -3.620468 
-13.42857 -18.23842 -8.778722 -6.211095 0.02893637 3.911253 -7.433563 -6.630919 
-12.32874 -11.31245 -10.19668 -4.784339 0.1223465 3.922607 -12.57972 -1.010881 
-24.22612 -4.095298 -9.703526 -4.59756 -0.06811942 3.966981 1.820491 1.948802 
-24.5744 -3.735338 -9.628907 -4.045039 -0.2087751 3.982195 5.718518 -1.272922 
-21.92896 -3.689913 -10.34899 -6.35659 -0.1068635 3.980974 -18.37435 -15.12152 
-22.76878 -4.783917 -8.74818 -5.261175 -0.1936931 3.954315 4.901441 -10.23623 
-23.22619 -3.767261 -7.951777 -4.974832 -0.07214119 3.940624 5.088137 -3.343825 
-23.0649 -4.354427 -8.975206 -4.944659 0.09778517 3.941493 15.66138 1.321879 
-19.40326 -2.868462 -9.115513 -5.809849 0.06971454 4.005768 -11.85809 -16.42986 
-16.55489 7.436755 -9.762627 -4.057297 -0.1178298 3.986767 -19.53439 -8.148479 
-26.93116 -2.730616 -9.394657 -5.42191 -0.1826463 3.967783 -15.48207 -10.52416 
8.839302 27.03564 -9.886769 -4.41682 -0.1233523 3.975035 -23.2381 -5.927117 
-6.306534 -17.75249 -9.424585 -3.750948 -0.1068404 3.949061 -19.73077 -8.618511 
-7.78962 3.054492 -8.669331 -5.606148 -0.04535444 3.932417 -23.4436 -3.913484 
0.2066215 5.46654 -9.944808 -3.669958 -0.1318957 3.95329 -23.36233 -3.902857 
-2.822742 -10.4108 -10.64805 -5.002237 -0.09523373 3.973128 -23.36237 -4.10388 
-2.607848 -17.37999 -9.095098 -6.172194 -0.2465314 3.9339 -22.66745 -5.03485 
-1.572743 1.915343 -10.09788 -5.10402 0.1511747 3.889408 -21.99335 -5.324819 
7.34712 -1.560539 -9.698571 -5.619008 -0.06603792 3.923185 -23.37349 -4.594902 
0.7792448 -1.638524 -9.849634 -4.031237 -0.02529308 4.009936 -23.94339 -3.801508 
-17.28802 2.247348 -9.545279 -5.274059 0.004840328 3.982554 -18.41741 -9.4045 
-0.7175474 3.506982 -8.237064 -6.508406 0.1080804 3.966322 -13.72364 -8.660683 
-17.9799 -3.12983 -9.166252 -7.88128 -0.02898204 3.966682 6.903003 0.5416933 
-19.12028 -8.214708 -6.084042 -10.85222 -0.1380549 3.941849 -10.76486 -4.007338 
-22.42679 -4.532557 -0.8493373 4.910083 -0.073931 3.998366 -10.58802 -5.33236 
-20.49563 -4.747059 -0.00676249 -8.169041 0.02900675 3.94418 -9.290169 -5.896923 
-22.13764 -5.189718 -3.759337 -4.339775 -0.1561301 4.034416 -8.772858 -5.06082 
-23.55125 -4.949222 7.230598 -17.87016 -0.01591042 3.983759 -9.527227 -5.394393 
-22.95545 -2.451866 9.364841 -4.663639 -0.00224667 3.945865 -9.852931 -5.918646 
-20.97895 -7.732543 4.422185 -16.29408 -0.1792587 3.970004 -9.277048 -4.703579 
-24.17674 -3.759383 -4.099868 -5.817748 -0.01751856 3.888698 -11.10996 -5.130009 
-24.60291 -2.904705 -20.8139 -2.071154 0.002668896 4.065565 -8.211371 -6.743881 
-24.66044 -1.214634 -11.35621 -5.606951 0.1146323 3.979052 -9.436975 -5.811275 
-20.17441 -7.986996 3.222157 -2.284665 -0.1553769 3.989671 -9.623088 -5.636829 
-23.1716 -4.581913 -10.60349 -4.311637 -0.03706035 3.939394 16.08118 -3.507629 
-0.07812698 7.258331 -9.56674 -4.002682 -0.09153738 3.940281 -20.25521 -10.96894 
-9.386788 -5.512375 6.440307 -10.24121 -0.1047036 4.026566 -24.70711 -3.089984 
-9.269765 -4.520235 3.982354 0.5164416 -0.02488012 3.995817 -22.56979 -3.883309 
-9.590088 -4.002996 8.721261 4.59742 -0.1063023 3.996525 -22.83766 -4.708017 
-10.03708 -4.216493 -0.3945652 -9.043027 0.1637692 3.956406 -24.63094 -2.860079 
-7.476825 -5.695108 1.245574 1.918818 0.03462966 3.974772 -21.91607 -4.944477 
-6.071325 -6.091203 -3.713633 -2.580495 -0.2697875 3.945002 -22.31878 -5.210197 
-9.968003 -3.902726 -0.03835857 9.454396 -0.2440195 3.989619 -23.49608 -3.262481 
-7.165345 -6.536481 8.353628 1.189123 0.07380906 3.934438 -22.76543 -4.033918 
-7.412005 -6.360541 -8.63517 0.8471797 0.09625976 3.920739 -19.92543 -4.304012 
-9.804153 -5.109459 7.154626 -7.442782 -0.1346644 3.983143 -23.61977 -4.454513 
-0.2954579 -2.151461 -8.32807 -5.886797 0.02281148 4.008836 -23.24742 -4.424626 
-3.04938 6.748425 -10.08541 -3.450804 -0.05916729 3.969109 -23.25883 -4.832265 
-2.696701 -6.249259 -8.375571 -5.300798 -0.2239498 3.989081 -21.89277 -5.217135 
-4.145018 -0.8482188 -9.736901 -4.438505 -0.0005171091 3.997202 -22.65961 -4.904574 
8.631858 -10.08558 -10.16436 -5.063058 -0.09780461 3.987598 -10.79519 -10.29072 
-24.16243 -2.323165 -9.684758 -2.961854 -0.0974385 3.928494 -10.63618 16.76311 
-23.91158 -2.779068 -8.37893 -5.56364 -0.1771179 3.921188 -10.46046 0.212087 
-22.78542 -4.600363 -7.360711 -6.434128 -0.02823145 3.926059 -0.679237 -19.10497 
-22.16637 -6.102639 -8.875436 -5.503967 0.1610811 3.98652 -4.464866 4.145974 
-22.42139 -5.848409 -9.257122 -5.288938 0.07475541 3.953619 -6.467397 -7.011383 
-18.87307 -5.585252 -10.1766 -4.809454 -0.1441651 3.961282 -9.338046 -4.258509 
-16.37914 -5.443755 -9.654879 -3.567539 -0.1582695 3.847082 5.452226 -1.656309 
-0.7816493 -8.969017 -9.493241 -4.814809 -0.02816139 3.976236 -24.27325 -2.174431 
13.97043 -5.494291 -10.05502 -4.737558 -0.175627 3.976801 -20.6348 -5.198221 
-23.92792 -16.45109 -8.710867 -5.849605 0.1174723 3.901399 -23.291 -3.040666 
-15.5008 -13.48967 -8.836163 -5.433999 -0.228119 3.98363 -16.06155 -9.543501 
-3.58466 1.710522 -9.214765 -5.610194 0.02245125 3.975427 -17.09417 -10.78998 
-1.23625 19.9374 -9.43335 -5.189176 0.03685498 3.963168 -16.47329 -5.512917 
6.225336 11.33555 -9.713158 -4.316681 -0.04908478 3.965214 -17.63927 1.143271 
0.2803736 2.572169 -9.446312 -4.574978 -0.1310576 3.991072 -14.74066 -8.619522 
7.308224 5.101541 -10.21793 -4.632698 -0.1335831 3.893154 -22.18364 -5.950151 
-2.794654 2.843197 -8.57485 -4.274914 -0.2817239 3.912521 -3.793864 -18.93046 
-20.49211 -4.433778 -9.338645 -4.972642 -0.1350217 3.938038 -14.2398 -10.7838 
-20.08414 -8.907969 -10.03809 -4.549203 0.0530675 3.983547 8.556092 0.963253 
-15.05588 -15.05719 -10.60901 -3.981825 -0.1628361 4.026801 -3.73998 -3.16123 
-23.9752 -4.232466 -8.433511 -3.469756 0.07009311 3.983642 -0.6517396 7.041892 
-24.11062 -3.193334 -8.899725 -5.887508 0.03962807 3.965564 4.95891 0.5719812 
-20.71113 -2.347007 -9.608701 -4.183754 0.28503 3.98188 -15.70358 -0.6661449 
-23.85031 -3.552345 -14.95539 -3.174901 -0.02254376 4.008816 1.138527 12.24167 
-19.37508 -4.449588 -10.27549 -3.083008 -0.2847335 3.956542 11.0908 -8.539249 
-22.74309 -4.231531 -9.764874 -3.48909 -0.06696661 4.004112 -16.47298 -14.42321 
-23.23386 -4.175925 -8.862903 -5.466466 0.06597034 3.967334 -9.906696 28.61954 
-23.82132 -3.716263 -10.23791 -5.574315 0.09634505 3.963963 1.918143 0.4551706 
-23.01531 -4.249312 -9.22494 -4.873579 -0.1478286 3.998838 13.49048 0.7095637 
-23.11556 -4.617355 -9.862684 -4.288424 -0.005199657 3.892838 7.074628 3.39163 
-24.78536 -4.71349 -9.30365 -5.958676 -0.006086062 3.974313 11.56258 -4.651595 
-21.94104 -9.361519 -9.441865 -6.875765 -0.06082783 3.98964 5.339685 15.10731 
-23.843 -4.291164 -8.43306 -6.109454 -0.03004463 3.99104 5.702437 -5.010748 
-23.80689 -3.436228 -8.853514 -6.791482 0.4000086 3.976764 9.60425 6.445633 
-22.69531 -3.876824 -8.441628 -6.318963 -0.047042 3.90789 9.447348 7.398838 
-23.41868 -3.369454 -9.376095 -5.87196 -0.2875636 3.986791 -13.47634 -1.497925 
-15.74386 -6.063328 -9.415053 -5.525556 -0.2043212 4.010997 2.682486 5.605297 
-3.318098 -9.414927 -12.23905 -4.373301 0.08561047 4.018266 -23.97361 7.250962 
-23.24751 -3.579302 -9.757312 -5.792923 0.1137509 3.997641 -6.855487 -4.622682 
-23.22146 -4.115186 -7.713636 -3.160595 0.2601094 3.993724 2.980338 -10.46301 
-21.80766 -5.628437 -7.547324 -5.047344 -0.2262573 3.899514 -5.349526 5.806554 
-12.79067 -0.767907 -10.56174 -3.331584 0.04980529 3.990792 11.24444 9.786359 
0.0589517 -19.24499 -8.545547 -3.662755 -0.1735348 4.02642 -24.62999 -3.803704 
-2.154998 9.614052 -8.390992 -5.09043 -0.1022102 3.964797 -21.5609 -3.673209 
-5.506151 -20.4843 -9.621473 -5.441038 0.2757297 3.970883 -24.33006 -4.854055 
-7.211853 -20.42991 -7.981099 -5.130249 -0.06348659 3.943189 -15.55743 -4.289948 
-3.466555 -10.33948 -9.693176 -5.682709 -0.09519508 3.956574 -11.7181 -10.63178 
-11.37702 7.988317 -8.838875 -7.295443 -0.01454231 3.94897 -23.72447 -3.571227 
15.29586 -20.30767 -9.0487 -4.928899 -0.1833856 4.029214 -22.71678 -5.636497 
-1.653742 -4.996393 -9.521443 -4.930961 -0.1721093 3.970929 -22.68827 -4.896865 
2.450905 -6.557711 -9.596122 -5.047156 0.0267696 3.96756 -25.72158 -3.382309 
1.261927 -8.7156 -9.613695 -4.924133 -0.1156532 3.980436 -22.73144 -4.880761 
15.06055 16.19774 -9.411117 -4.967259 0.1164957 3.940174 -22.42416 -6.770829 
7.616267 -1.862032 -9.064027 -4.261253 -0.01888637 4.006252 -18.81813 -10.29028 
4.318044 -3.799334 -9.212914 -5.775298 -0.06519414 4.042787 -24.49224 -2.797556 
7.699064 -2.3125 -9.434982 -5.858891 -0.1737389 3.950501 -23.2064 -4.776213 
-5.955928 -6.189216 -11.94006 -4.223431 0.04067122 4.030957 -17.99139 0.04589785 
-7.999488 -5.977673 4.392376 0.739123 -0.1499043 3.909652 -22.9415 -4.61953 
-8.966416 -5.401843 -5.98191 3.049047 -0.1508904 3.967329 -20.83529 -2.593466 
-9.103154 -4.994346 0.746845 -19.70917 -0.2326166 4.016155 -23.52492 -3.780242 
-9.651327 -2.543045 -6.401213 -7.888111 -0.1973293 3.919048 -23.83831 -4.171692 
-8.710003 -5.334234 -18.56824 -4.318148 -0.01874027 4.010934 6.097008 -1.82147 
-8.687834 -5.326292 -12.45343 -18.05412 -0.07370366 3.940197 -24.58126 -3.53554 
-9.384344 -4.974195 9.965863 -8.69422 -0.05047144 4.006004 -12.56028 -2.134363 
-9.524631 -4.523607 -14.77581 -20.75914 -0.1308761 3.945249 -17.04182 7.871673 
-9.030848 -5.157597 -13.26784 -6.722948 -0.03485639 3.854165 -19.19335 -7.879453 
-9.308171 -4.484337 -5.362098 4.216058 -0.07897635 4.005346 -23.91662 -3.129837 
-10.46549 -3.956564 6.062429 -6.45621 -0.3121258 4.032705 -21.83187 -5.746363 
-9.198707 -6.064131 -5.872595 -6.524702 0.101679 3.935422 -13.67102 -9.135599 
-8.586363 -4.546188 -0.1238907 -14.9975 -0.07894195 3.962951 -5.712667 -9.627707 
-8.726116 -6.322296 -0.8725015 8.430872 -0.00679641 3.82076 -14.34279 -5.72078 
-8.99531 -5.468501 9.38118 2.818055 -0.1963872 3.989562 -7.918563 -6.471018 
-8.934315 -4.944216 3.744368 -7.04687 0.1475737 3.954845 -8.966287 0.8685574 
-8.511438 -5.815977 19.98937 6.520514 -0.2755056 4.000473 -15.03498 -6.824493 
-9.924196 -3.369316 -7.341562 -6.775165 -0.1617419 3.9867 -17.52067 1.948396 
-8.522804 -7.59359 2.675983 -10.05191 -0.2194433 4.010547 -23.13754 -7.03256 
0.3459654 -5.200197 -1.772517 -1.043487 1.985172 3.982991 -26.72455 -4.518843 
-8.463603 -5.488763 -11.89882 -3.319237 -0.2737556 3.992182 -23.38295 -5.300051 
-10.21723 -4.427318 6.726231 -20.00114 -0.2969815 3.944739 -22.72352 -3.78402 
-8.846023 -6.080278 4.532222 2.030739 -0.2515536 3.964785 -21.21988 -4.33192 
-9.295345 -6.401205 10.14908 -0.206796 -0.2205628 3.974562 -19.68459 -4.067924 
-9.88473 -3.056807 -22.27346 1.459741 -0.1524263 3.946895 -23.31223 -2.767782 
-9.166515 -5.306493 2.148035 11.24291 -0.03141975 3.97872 -23.37532 -4.252853 
-9.928729 -5.768051 5.110803 -13.6674 -0.0244265 3.866067 -23.21061 -3.8702 
-10.3864 -2.793294 8.549514 5.449253 -0.1359915 4.003834 -19.78285 -8.443158 
-9.963346 -6.024837 -8.826868 4.170075 -0.03082102 4.002648 -20.81114 -4.496544 
-9.526583 -3.882893 1.250454 3.374123 -0.3954865 3.953483 -23.73406 -3.704634 
-11.57794 -4.890305 -3.304035 -5.125892 0.324949 3.989954 -5.337757 -10.04172 
-8.850596 -4.767435 -20.12939 -5.202111 -0.2593491 3.936836 0.4260286 11.13975 
-9.685722 -5.224367 -24.14086 -4.310104 0.2058742 3.993513 -2.299917 0.4388235 
-9.645834 -5.637295 -16.09927 -5.674934 0.4568289 3.876261 -6.809257 -8.847848 
-11.7316 -3.463616 -23.20227 -4.6124 0.1060842 3.986695 -7.199565 -3.117213 
-9.635888 -3.715246 -20.31053 -7.66999 -0.2136851 3.991973 -8.736143 -3.884052 
-8.575135 -3.434943 -23.36571 -4.560565 -0.2952227 4.08461 7.575036 -11.15105 
-7.259768 -5.755065 -20.32858 -8.947145 -0.2014953 3.855127 -8.611454 3.874932 
-10.8676 -6.535262 -23.13139 -4.342783 0.188992 3.89906 -3.144071 -11.68361 
-9.947508 -4.847139 -23.77391 -3.835096 -0.140734 3.907396 6.904153 -1.290834 
-7.803296 -4.8935 -25.13107 -2.314747 -0.0578198 3.984664 -6.800476 4.53104 
-8.862979 -5.438692 -23.75088 -4.524036 -0.05363206 3.967611 -0.3366329 10.56925 
-7.55032 -5.590125 -22.83392 -5.040208 -0.1466677 3.984473 -22.7363 -1.106106 
-9.916649 -4.909304 -25.93674 -3.633597 -0.07577878 3.964134 -26.52684 -7.308105 
