Delta_1 Delta_2 
-0.0943564 -0.02524893 
-0.01017229 0.007818708 
-0.07237001 0.001001463 
-0.02669963 0.004508599 
0.04368702 0.001724742 
-0.09706898 0.03133935 
-0.01495295 -0.0138677 
-0.01022536 0.003649335 
0.04785525 0.01846267 
-0.03964722 0.01604244 
-0.02548784 -0.01523323 
-0.05265967 -0.0006020868 
0.06624644 0.004552884 
0.1679798 -0.03116439 
-0.002096712 -0.03416527 
0.07318851 0.009617158 
-0.05034239 -0.02959672 
0.03827854 0.01128162 
-0.03746158 -0.007061656 
-0.0188551 -0.02273252 
-0.1030379 -0.01718381 
-0.08426619 -0.01758779 
-0.0721565 -0.01439504 
-0.009645949 -0.01351625 
-0.01855852 -0.02058336 
0.06607374 0.03193996 
-0.02214589 0.01178254 
0.07637026 -0.02095729 
-0.0695595 0.004137551 
-0.1245588 0.002210667 
-0.09048275 0.02960744 
-0.07335123 0.01239018 
0.08915317 0.003867911 
0.04550175 -0.00230164 
-0.05617529 -0.0181374 
-0.05248311 -0.009981496 
0.0329479 -0.008391262 
-0.04638123 -0.009191599 
0.02262092 0.003650608 
-0.05300925 -0.005870028 
0.1870598 -0.008240311 
0.0231143 -0.006984043 
-0.01882608 -0.02808201 
-0.001121773 -0.01179748 
-0.05308668 0.02283745 
-0.07049855 -0.02972895 
0.09959811 -0.01649341 
-0.0217545 0.02753019 
-0.04197344 0.00821307 
-0.1370184 -0.007142744 
-0.002007293 0.01122576 
0.007637656 -0.003250631 
-0.02199289 -0.00721899 
-0.05537783 -0.01849275 
0.0146836 -0.006396608 
-0.09033473 -0.0146325 
-0.001698803 0.01378509 
-0.01395752 -0.0150191 
-0.08075627 -0.0212659 
0.0471886 -0.01483491 
-0.04657102 0.007476414 
-0.02761337 0.01650571 
-0.0297775 -0.01729861 
-0.05305223 0.004431052 
0.01873265 0.01006962 
0.08066281 -0.005532625 
-0.01619528 -0.005558664 
-0.01679114 0.01054544 
-0.006829516 -0.006161791 
0.02761158 -0.02513116 
0.02960157 -0.03825253 
0.03553603 0.0002940218 
-0.1458337 0.008517883 
-0.02102732 -0.02085719 
-0.03824972 -0.002387319 
-0.01862844 -0.01363825 
0.02951232 -0.01942191 
-0.1286852 0.004444362 
-0.003420587 -0.01007371 
-0.1521027 0.004005222 
0.04651998 0.009201961 
-0.06124631 0.00786066 
-0.195596 0.02095781 
-0.1200792 -0.0003967145 
0.01645786 0.003518427 
-0.01017075 -0.003424912 
-0.008833219 0.02553993 
-0.01433337 -0.004659496 
-0.006863366 0.02288169 
-0.04466222 0.002403298 
0.2474442 0.01369052 
-0.1301331 0.003263549 
-0.1408047 -0.02115338 
-0.04978291 0.01173431 
0.01592185 -0.0148544 
-0.009109216 -0.02167516 
0.0479446 -0.02649439 
0.001412224 -0.01980679 
0.03895429 0.004955002 
