tau2_1 tau2_2 tau2_3 
4.691295 1.030516 0.1629477 
0.07555646 0.1106575 0.1637001 
15.2812 0.9997698 0.05469389 
94.41928 0.1147668 0.1860821 
42.68392 0.5105799 0.1806603 
12.58825 0.4044274 0.2975406 
0.1165279 1.379671 0.2462389 
0.0279076 0.1753851 0.1480315 
0.1011943 1.201592 0.2053187 
0.03318096 0.7898104 0.09335602 
0.497152 1.901523 0.2403807 
0.05086507 0.2543526 0.1443923 
0.0360386 0.3449282 0.09230844 
0.7655351 0.7566931 0.1419298 
0.05233455 0.4103934 0.2159477 
0.02496194 0.8638538 0.5672148 
0.3503162 0.4018602 0.1853144 
0.08329103 0.7403742 0.08081744 
0.8210172 0.7152722 0.06368061 
1.315677 0.4715049 0.1713203 
0.15891 0.3731153 0.1426138 
0.06587475 1.481404 0.2306888 
0.05211842 0.01192034 0.1264217 
0.04346644 0.1500297 0.4753287 
0.06313147 0.2143628 0.2348284 
0.1627337 1.563141 0.2204273 
0.1348453 1.570385 0.03632421 
0.02939155 1.599239 0.1155196 
0.1094172 0.5481183 0.1496473 
0.1633442 0.6872763 0.1284621 
0.7389061 0.3512798 0.232647 
1.670972 0.4654329 0.2439699 
0.1764258 3.995128 0.1036021 
0.03522508 0.06226 0.2982287 
2.431863 0.1275583 0.1579094 
0.03624824 0.09578975 0.08183266 
0.04634352 0.04697405 0.6533938 
0.06827272 0.3258152 0.1175426 
0.6212243 0.9484412 0.2316667 
0.03490019 0.3965688 0.3377998 
0.3337618 0.3406209 0.1038397 
1.943132 0.6691942 0.2088056 
58.12489 0.5354502 0.2232623 
0.6061355 0.07977616 0.228243 
0.9924929 0.8002488 0.6385359 
0.258589 0.2121551 0.2513501 
0.06700992 0.2628746 0.1138368 
0.2113231 1.112568 0.2053779 
0.02481263 0.05007525 0.163922 
0.3751519 0.781675 0.1756343 
0.3223227 0.9204225 0.04548435 
0.07277783 0.7348648 0.07440315 
0.05897316 0.4613136 0.4448522 
0.01343184 0.5300811 0.2113041 
0.08209048 0.6283812 0.1912531 
0.08919537 0.05751526 0.143561 
0.01944744 0.1027513 0.09361571 
0.06976934 0.08823385 0.1348842 
0.03595655 3.322758 0.6834516 
0.1065666 0.6150082 0.2466067 
0.09304006 0.9735264 0.1308593 
0.05414804 0.1190988 0.1236011 
0.08405392 0.231619 0.1828023 
20.72499 0.6593402 0.2182961 
3.057025 0.3317274 0.3722256 
18.66539 0.009697581 0.09639736 
269.565 0.6610777 0.1394459 
0.2036599 0.5370664 0.06243636 
0.132776 1.717495 0.2245686 
0.1063444 0.4194077 0.1161585 
0.1962168 0.2938854 0.2164046 
0.04091905 0.8057853 0.2302581 
0.06085098 0.5638763 0.2950311 
0.06715736 0.8900044 0.4887165 
0.06105301 0.6354873 1.027332 
0.09574949 0.177012 0.2994736 
0.1157459 0.8382645 0.2535485 
0.06294534 0.1993891 0.3855683 
0.2855231 0.2911464 0.4932106 
0.04274996 0.5559998 0.2351053 
0.08018709 0.08770294 0.2049098 
0.2048177 0.1124083 0.1680638 
0.2701338 0.5710821 0.2975972 
0.0966989 0.6293661 0.7285531 
2.652768 0.4572387 0.4444366 
0.2931458 0.2035237 0.2660634 
0.7337764 0.269716 0.4644232 
0.103414 0.7236076 0.2669517 
0.07776646 0.8948499 0.2802571 
0.4452129 1.038774 0.5028002 
0.1017512 0.08711011 0.2734546 
0.08120427 0.4690063 0.1310868 
0.3351541 0.2440229 0.2976871 
0.05001619 0.1927832 0.3795598 
0.05425722 0.4941441 0.1298569 
0.4937132 1.17522 0.1339751 
0.6067399 1.671676 0.1714089 
0.02475126 0.8142826 0.1759237 
0.5448096 0.7169383 0.05121307 
0.1379045 0.6777071 0.2146037 
0.3560489 0.9006333 0.1237034 
0.8731145 1.380664 0.1513922 
0.6223984 0.05881668 0.5148304 
0.03262382 0.3863989 0.4641305 
1.973739 0.5803583 0.4283228 
0.1582339 2.031617 0.1771436 
0.4756134 1.309353 0.1914426 
0.04074785 1.430089 0.3079522 
13.95831 0.03100556 0.1451196 
0.1365021 0.173779 0.1984572 
0.06063391 0.8899053 0.277771 
1.143071 0.7006586 0.2959195 
15.74612 0.2584146 0.6257607 
39.67186 0.6649166 0.3142901 
0.07695834 0.2592312 0.30398 
1.362871 0.5988647 0.187562 
1684.896 0.5675505 0.6867314 
0.1110938 0.09940518 0.1367424 
2738.755 0.06642614 0.1899438 
1.250344 320.7614 0.1662808 
0.4152563 1.256614 0.6937029 
0.1696628 0.4770323 0.4374408 
0.03704722 3.324369 0.1755471 
0.05282154 62.39962 0.5977699 
0.4224921 0.2796172 0.4456701 
1.219507 0.05890714 0.3485724 
1.940206 0.07963867 0.06714145 
0.1505245 0.2792898 0.1292574 
0.9744345 0.05487824 0.298671 
1.175916 0.349938 0.2598849 
0.3106027 0.05558033 0.1523046 
1.019285 0.04191532 0.3140482 
0.1082043 0.09608425 0.02223815 
0.1354209 0.02940612 0.2682156 
0.4599411 3.265825 0.3731864 
0.5519107 0.08423857 0.1060901 
0.4099487 0.08092127 0.1182325 
0.4774804 0.0772662 0.06147977 
0.2014925 0.09254545 0.2783526 
0.7934517 0.02159674 0.1771019 
0.5375554 0.2553722 0.1827593 
0.08455652 0.04663719 0.3427119 
0.5032417 0.04980962 0.5525263 
0.3656778 0.2301169 0.08374637 
1.242569 0.1472629 0.1996498 
0.3488794 0.3043008 0.6075197 
1.188753 0.3270381 0.1773515 
1.290914 0.09757984 0.1666106 
1.07054 0.1626187 0.0946721 
0.6105637 0.1052232 0.2851366 
0.3894472 0.03665711 0.06279124 
0.5722173 0.2579946 0.2308822 
0.352845 0.06389968 0.1424109 
0.1600125 0.1070465 0.2464759 
0.6463977 0.08253217 0.6592205 
0.0291723 0.05457988 0.05181004 
0.152116 40.06851 0.1180884 
0.4867437 322332632 0.2944433 
0.06909638 0.1650547 0.146916 
0.5554038 0.149386 0.4490568 
0.8377415 0.02777979 0.4404359 
0.838482 0.06163596 0.05962572 
1.473756 0.1428688 0.3377246 
1.453253 0.1022268 0.4722205 
0.5805465 0.3006759 0.3068331 
0.2511537 4.043912 0.2601709 
0.1505924 4.937155 0.3334028 
0.184949 0.05873526 0.214242 
0.5735857 1.708713 0.08437152 
1.138141 70.36934 0.1781802 
0.2073561 10.20173 0.1215228 
1.355637 0.3652785 0.08538496 
0.3958257 0.1821218 0.164355 
2.552789 0.3046176 0.3070475 
0.2927621 7.14556 0.1512754 
1.437345 0.1279378 0.183176 
0.3372305 0.04478176 0.0436579 
0.1500501 0.0399286 0.1159487 
1.076097 0.04314176 0.05980878 
0.1111111 0.02427397 0.3302623 
0.6857815 0.07726104 0.2147859 
0.7687082 0.04149303 0.0348301 
0.6726455 0.04493446 0.1181239 
1.131642 0.5273344 0.3790215 
0.2661482 0.1169411 0.1756718 
0.1880178 0.1341938 0.1542237 
1.377628 0.2024679 0.548729 
1.008612 0.6629437 0.238625 
0.2900489 0.03200306 0.1223811 
