"comp1" "comp2" "comp3"
0.1445736 0.01536212 0.09911893
2.080364 0.01841115 0.7913305
0.5841297 0.03935285 0.214351
4.329558 0.01596812 0.6332526
24.09487 0.01772918 0.1107792
0.5525387 0.03706621 0.2964194
33.98007 0.02090818 1.020797
6.492395 0.06140406 0.1414472
93.95392 0.0103075 0.4702882
0.0956378 0.02345972 0.2876782
0.5961328 0.01288469 0.5853185
0.07682949 0.02948822 0.2515892
0.3831651 0.01735378 0.6842667
59.88487 0.0261185 0.2063057
7.107689 0.04950756 0.06966301
0.1298383 0.02007877 0.4499216
0.3847732 0.02081745 0.01335454
0.08415007 0.02219495 0.0558976
0.2337566 0.01822796 0.7952754
2.093963 0.0553641 1.197924
29.69604 0.01625095 1.26562
11.30712 0.02376983 0.1504526
0.8535331 0.03224783 0.925106
0.2410939 0.02232717 0.05936217
0.1497 0.00986857 0.1928803
0.1160043 0.0216175 1.447311
0.5781995 0.01519177 0.5221043
35.46117 0.03850996 0.04245814
66.22907 0.0251644 4.638775
158.1029 0.0187707 3.528575
5.699388 0.05512102 0.9652757
5.292596 0.02559856 0.6549171
0.4044025 0.04551764 0.808472
24.58513 0.02690772 1.10778
28.44968 0.04566131 0.03996946
36.44044 0.008908957 5.730689
2.785794 0.009570622 0.2197139
1.564493 0.01478712 0.6110398
0.9050573 0.02188027 0.3158033
86.01434 0.03415702 0.652218
21.70523 0.01304561 0.1908584
4.084066 0.02530589 0.06719408
374.0402 0.0279304 0.7139368
0.2973663 0.02285126 1.426865
0.4827127 0.01125922 2.303506
1.975194 0.03710671 0.2796752
1.657195 0.01704389 0.07700826
7.549861 0.0144158 0.08828416
2.844298 0.03442831 0.5448574
0.8120895 0.02587969 0.5788838
0.03261219 0.03760645 2.296837
1.166432 0.009686655 0.2087851
0.08981231 0.01783634 0.82424
0.2266286 0.0128022 0.05846414
13.933 0.0158309 4.431458
0.3693469 0.03474262 0.2226072
0.03068996 0.02955227 0.09846387
0.8267182 0.02667246 0.3110583
2.302499 0.01301956 0.07841044
0.9116162 0.02267032 0.1441998
8.359518 0.01922366 0.2804494
0.129517 0.01397419 1.342206
0.0380052 0.01664448 0.6640458
0.1525812 0.03623788 2.09551
66.38115 0.03228933 0.05455727
0.5397352 0.009030709 0.4887246
4.879883 0.02533198 0.3203667
448.0668 0.02200852 0.04102625
11.18189 0.01554833 0.8172842
28.15273 0.03667432 0.08366652
0.3816211 0.008642947 0.3451901
0.0255762 0.02626146 0.7002378
12.74617 0.01243503 0.3210291
8.747737 0.03739952 0.2071861
1.508504 0.02285877 0.02138824
0.4788599 0.02402455 1.232878
45.99839 0.02369183 0.4191619
0.3297628 0.01183752 0.08344071
1.395517 0.03145336 1.497553
2.797778 0.01011061 1.152986
2.780213 0.01820951 0.2189683
0.2881386 0.01393721 1.917222
0.3289547 0.007346441 0.5028293
16.85598 0.02138497 0.4443481
1.363477 0.01466362 0.02265865
2.484521 0.03769886 0.5337528
0.6546359 0.01186189 0.3170724
0.2015776 0.0201389 0.8820316
5.823606 0.01649583 4.200621
0.1138021 0.06538117 1.046324
29.71953 0.01932942 0.2825043
0.2073158 0.02503297 0.6458025
5.622697 0.01946386 0.1998533
0.7177714 0.02994088 0.4071827
0.6466743 0.02391344 0.4082913
0.04408103 0.05535016 0.3954748
0.2091022 0.01486802 0.2256246
2.674989 0.01213137 0.4244858
0.2712279 0.02180356 2.028176
2.055683 0.01113472 0.06839804
2.471678 0.01050866 0.11499
0.09567824 0.03729061 1.409975
4.214858 0.03342529 0.03705131
1.019162 0.03354419 0.08874577
5.566848 0.02351514 0.1043887
1.093022 0.042375 0.8334375
0.2243599 0.03559563 0.9685774
25.38203 0.01593623 0.9961988
0.3932216 0.03569571 0.8164511
1.530778 0.01255234 3.887133
0.08052554 0.01410824 0.443076
0.0483398 0.01497946 0.1048866
1.978949 0.03560693 0.4999834
4.782508 0.03207798 5.118216
13.66051 0.02050636 0.8144249
4.369066 0.02469513 0.631353
2.01851 0.02497413 0.09856387
1.230628 0.01702046 0.1839445
4.876286 0.01708244 0.08454138
0.7516649 0.02415453 1.022678
0.03604125 0.01086449 0.6135152
0.08327941 0.02597505 0.2038089
0.3214447 0.04352415 1.12536
4.620621 0.01334603 0.4498474
0.8684997 0.01604565 0.1567382
0.4113778 0.01812733 0.9248202
0.2269797 0.06473873 0.4260706
3.097883 0.01775381 0.09173589
0.9389974 0.01834914 0.1330718
0.1159541 0.02268734 0.2413158
115.5771 0.01506504 1.926186
1.103628 0.006919829 0.2365442
0.9058242 0.01151955 0.8246793
0.2617235 0.02050261 0.2052588
7.710792 0.009230769 0.5189712
0.6842936 0.0232532 1.388751
43.54329 0.02968299 0.5122004
1.343591 0.01041556 3.443026
0.5641288 0.02331173 1.145559
11.98827 0.06134238 1.371702
0.1493937 0.04276618 1.030763
0.1595052 0.0625485 0.7367616
0.03392552 0.04259043 1.521716
0.06821261 0.027943 0.155459
0.3465992 0.03632177 0.8971265
0.8113319 0.04743068 2.292142
0.05838311 0.01246314 0.1929605
1.481075 0.02011096 2.370075
15.29247 0.01893986 0.185404
0.4809003 0.02133671 3.207029
11.35603 0.1083897 0.1498626
23.6304 0.01656046 0.3670397
0.4694013 0.03821197 0.4069701
59.08089 0.03414022 0.6489615
1.37916 0.01495829 0.06722439
22.47402 0.0297669 0.204586
1.005923 0.03067604 0.1451546
0.1106499 0.010778 0.04019721
0.8390052 0.01355341 1.299327
0.03226312 0.0161662 0.2009178
0.1107109 0.01369883 0.09481672
4.991971 0.0128084 0.06152485
1.548211 0.02223451 0.1328206
0.08107484 0.02929635 0.2406688
0.1104662 0.01201657 0.662307
1.050719 0.01337102 2.765297
0.1523903 0.01287467 0.1733055
24.99831 0.02377001 0.6548214
5.82973 0.04953605 0.5315564
0.4684188 0.04135229 1.506584
2.067125 0.01504132 2.385934
0.5833756 0.05187396 0.1074306
0.3267662 0.01156157 0.2983558
4.086607 0.01743335 0.2688006
0.1314335 0.02999466 0.5311703
1.618918 0.009182992 0.4031333
0.2224206 0.02278399 3.341312
6.902725 0.0184341 0.07991757
1.663224 0.0169436 0.1079207
0.2676079 0.009884251 0.1402533
1.289143 0.09616636 0.5987727
0.1017993 0.008979409 2.575919
26.33644 0.06573169 2.520265
1.793042 0.02970498 0.1249051
12.474 0.0184004 1.484413
2.060773 0.01797106 0.6321751
1.777817 0.02311133 0.06627281
7.133991 0.02329299 0.5993105
43.42014 0.01633154 0.8667982
82.47442 0.0316065 0.02068219
0.2654265 0.0181847 0.08718202
36.53928 0.03751342 0.7323185
0.8100716 0.01736102 0.4978117
3.772407 0.01680501 0.03741785
5.512677 0.01482991 0.339337
3.145793 0.03771153 0.9255807
6.479375 0.02706329 3.243202
0.7559969 0.01729699 0.118143
0.4355931 0.04791346 0.4250348
0.08583151 0.007078259 0.04561008
0.08570157 0.02175293 0.2085943
27.29456 0.01698133 0.5661796
0.4277463 0.05190033 0.4902848
7.971645 0.01551974 0.6257593
2.882155 0.02050053 0.141402
0.2787583 0.01382597 0.2519265
14.23771 0.06455779 1.156338
0.3196816 0.02164305 0.6177018
2.340642 0.05122803 0.382951
0.04728801 0.02939512 0.04683582
0.09123925 0.03908254 2.305581
1.503953 0.02948766 0.6962547
1.683935 0.02101665 0.2184383
3.333481 0.02550028 2.067399
2.309012 0.01244261 0.4686052
14.78218 0.01028933 0.08855703
2.719779 0.02192107 1.228925
1.794795 0.02279271 0.2267815
6.279844 0.01363758 0.01783432
0.3867199 0.02070882 1.696001
0.1479822 0.02507499 0.397549
2.257623 0.02761878 0.05098557
2.669287 0.01673984 0.1810874
6.334051 0.01857765 1.214792
1.218491 0.01880217 0.7529008
49.37798 0.00942607 0.2138123
0.5320732 0.02938661 1.010611
4.281443 0.01660205 0.1852012
7.14964 0.01984901 0.366919
8.466684 0.01442117 0.7354521
53.28572 0.04815255 0.5739949
