"comp1" "comp2"
-4.427368 -14.32667
-3.68282 -14.9156
-4.596849 -14.06575
-4.549118 -13.78317
-4.737994 -12.90646
-4.55264 -12.24224
-5.002777 -13.58109
-5.838646 -13.61384
-6.110562 -14.51857
-6.096892 -12.89653
-6.526016 -13.99513
-5.307399 -14.16971
-4.910408 -14.2014
-4.918918 -13.34291
-3.984997 -13.03044
-3.869888 -12.20069
-3.603288 -12.06359
-3.230867 -12.15234
-3.550219 -12.01468
-4.247403 -12.402
-4.15036 -12.38496
-4.897541 -11.61395
-4.416936 -11.40644
-5.725873 -12.60718
-6.219337 -12.64642
-6.700743 -13.04668
-6.21653 -12.33767
-4.682911 -12.94241
-4.898772 -13.41789
-2.937247 -13.73688
-5.710947 -14.21353
-5.617551 -13.16342
-3.958536 -12.58485
-4.130103 -12.73641
-3.898377 -12.96355
-4.887529 -12.72476
-4.417116 -12.10314
-4.660615 -12.5253
-3.887723 -12.8087
-3.514001 -12.38491
-3.968417 -12.33236
-4.628613 -11.3103
-3.791645 -10.88901
-3.575978 -11.3174
-2.235078 -11.03231
-2.995981 -10.77639
-2.951912 -10.81402
-2.466338 -9.902086
-3.635668 -10.33839
-4.257128 -10.3096
-3.289856 -11.36626
-3.095113 -12.53529
-3.245871 -13.22751
-4.197986 -13.08636
-3.14179 -13.65798
-4.563829 -13.15581
-3.793901 -12.92178
-4.259778 -13.58732
-4.647164 -14.02968
-1.963096 -14.16348
-3.38941 -13.49075
-3.533144 -13.3412
-2.742392 -13.92685
-3.486319 -13.76296
-3.563893 -13.65649
-4.237065 -14.12248
-4.823391 -12.77138
-5.388596 -12.77843
-5.680808 -12.65097
-4.458803 -13.19294
-3.92281 -12.91295
-4.307677 -12.37155
-5.589676 -12.02817
-5.70356 -12.14463
-5.695268 -12.34466
-6.588715 -13.20272
-5.037008 -13.46403
-4.982725 -12.62168
-5.601863 -11.68542
-6.284687 -12.49164
-5.949298 -13.314
-5.128375 -12.11652
-4.657559 -12.85408
-4.197049 -14.02136
-4.063127 -13.96539
-4.41761 -12.72618
-4.79347 -11.98585
-4.564859 -13.6486
-4.372496 -12.63972
-4.332428 -11.70325
-3.708059 -13.12057
-3.291894 -13.25657
-2.893745 -12.68775
-4.828553 -11.17593
-3.618772 -10.79658
-3.032664 -10.8894
-4.756451 -10.53166
-4.295577 -10.78181
-4.76564 -10.64715
-4.156597 -10.84705
-4.841778 -11.412
-3.95729 -10.92725
-2.625667 -12.00557
-2.280056 -11.79836
-2.515464 -12.12395
-3.922117 -11.5803
-5.970256 -10.99261
-6.818461 -11.68239
-5.882403 -10.30545
-5.787703 -11.44727
-4.884287 -10.77069
-5.942598 -11.341
-5.724054 -10.98822
-5.685624 -10.51181
-6.702652 -11.33425
-6.10634 -11.83065
-5.619564 -11.60197
-5.535382 -11.655
-5.057433 -12.41958
-4.519732 -13.17391
-4.559411 -13.24045
-5.399831 -14.41767
-5.711249 -12.56478
-4.847845 -12.2486
-5.985004 -12.30594
-4.564749 -13.08185
-4.160279 -12.03126
-3.880912 -11.48327
-4.008625 -11.22796
-3.354472 -11.23293
-4.023146 -12.33984
-4.893149 -11.52417
-3.357966 -11.80026
-5.414053 -11.49734
-5.32708 -11.10168
-4.164731 -10.85913
-3.130205 -10.71201
-3.985457 -10.60927
-3.308933 -10.83965
-4.083203 -9.268812
-3.67352 -9.229039
-4.571323 -9.947279
-2.772912 -12.25733
-3.189221 -12.01667
-3.293843 -12.50957
-3.607363 -11.94978
-4.10648 -11.16035
-3.469099 -11.42584
-4.041804 -11.44384
-3.75343 -10.81325
-2.744084 -10.3883
-2.78188 -10.32646
-2.877915 -9.83419
-3.30034 -10.48475
-3.936273 -10.67298
-2.430792 -10.68946
-4.60214 -10.11746
-3.31702 -11.23218
-3.248027 -11.52585
-3.037867 -11.48683
-3.45115 -11.17707
-5.06003 -13.10482
-5.504285 -12.57915
-4.615447 -13.50342
-4.111069 -13.27304
-3.794272 -13.09091
-4.220094 -11.08609
-3.309867 -12.06259
-3.967349 -12.15159
-4.922222 -11.8899
-4.777899 -12.42281
-4.297531 -13.65007
-3.113454 -13.90492
-2.68999 -13.30378
-3.786698 -14.16615
-3.222311 -13.93196
-3.553782 -12.51302
-4.84304 -12.02523
-4.818787 -12.58573
-4.264019 -12.33754
-3.925694 -11.89473
-4.955259 -12.25431
-4.109416 -12.51476
-3.751636 -12.94757
-3.398864 -12.95454
-4.494036 -12.9904
-4.630593 -12.3192
-6.019119 -12.75119
-2.55996 -12.72563
-2.973845 -12.18668
-3.095381 -11.80441
-3.872442 -11.59325
-4.402106 -11.85688
-4.020067 -11.04684
-6.097061 -11.43764
-4.632984 -11.16468
-4.805882 -10.92909
-5.56462 -10.45643
-5.183814 -11.34321
-4.407531 -11.35178
-5.774526 -11.32182
-6.853021 -12.24207
-5.572772 -13.83083
-5.139832 -13.31231
-4.557005 -11.10237
-5.61393 -11.27324
-5.005192 -9.344256
-5.146404 -10.49039
-5.022958 -8.945245
-3.560487 -9.491685
-4.904788 -9.806025
-4.820596 -9.76706
-5.188253 -9.523212
-4.225702 -10.05521
-5.354478 -11.46792
-7.55667 -11.30425
-8.544748 -11.35141
-4.637383 -12.72964
-3.016223 -13.69485
-4.496664 -13.68604
-5.197784 -12.89272
-3.403839 -12.81736
-4.558068 -13.56856
-2.903316 -13.01786
-3.225339 -13.35453
-3.385402 -13.22034
-2.429931 -14.04361
-3.057629 -13.66202
-3.497369 -13.77155
-3.871147 -13.11252
-3.207675 -12.26967
-4.039138 -12.84565
-3.934103 -13.07025
-4.28832 -12.48964
-7.27761 -13.69783
-6.55432 -16.20645
-5.330799 -15.81475
-4.23016 -15.02239
-5.433466 -13.79962
-4.176146 -14.26033
-3.94349 -13.91013
-3.545122 -14.6058
-3.548532 -14.55493
-3.645787 -13.19488
-4.075815 -13.23603
-4.108273 -13.12431
-4.555593 -12.2562
-4.415922 -13.24787
-4.874646 -12.93742
-3.666377 -12.9679
-3.18068 -13.29268
-3.20089 -13.48469
-3.342998 -13.53141
-3.243556 -13.42586
-3.094051 -12.94844
-3.170881 -12.57002
-4.697779 -12.75911
-5.103967 -12.97563
-4.776087 -12.98562
-4.465348 -13.57023
-0.1009856 -12.88676
-4.231639 -12.64344
-4.082464 -13.26992
-4.083949 -13.57082
-5.091096 -12.24788
-4.404236 -11.58918
-3.965613 -11.59461
-3.800225 -11.48945
-4.816287 -11.9343
-4.529961 -12.11347
-4.743427 -11.09216
-4.944919 -10.90287
-5.354982 -10.87094
-5.811681 -11.41703
-5.443683 -10.45822
-4.45147 -10.87843
-4.539011 -10.73933
-4.311279 -11.13186
-4.376743 -12.10325
-4.683716 -12.3985
-5.971235 -12.62298
-5.613131 -11.63905
-4.603395 -12.73169
-4.263339 -13.20032
-5.33081 -12.44115
-4.783801 -12.66246
-4.693446 -13.1467
