"nu" "alpha"
2.958762 0.365055
2.72924 0.4079285
4.059908 0.2409905
3.504716 0.4413228
3.6699 0.2775683
3.394725 0.4681951
2.848969 0.3406738
3.285894 0.1001499
3.78777 0.4848157
3.208541 0.4053439
2.764873 0.07284301
2.680599 0.2021109
3.104731 0.2814269
2.907212 0.2082219
3.307814 0.3607453
3.736172 0.3276269
3.454948 0.2156775
3.156977 0.1959726
4.195732 0.2423698
3.683583 0.4482376
4.428248 0.2993938
4.026118 0.3498873
3.777451 0.2913049
3.801289 0.3975506
3.257687 0.3983315
3.206079 0.1806519
2.934578 0.292723
3.107219 0.2107991
3.7679 0.4445433
3.493013 0.404909
4.018209 0.1919427
4.139548 0.2750658
4.091575 0.2152831
3.265821 0.08555095
3.799407 0.2561318
4.176187 0.1920957
4.22167 0.03953005
2.956382 0.3182405
3.489412 0.3069118
3.657862 0.05112546
2.897862 0.3753474
3.160262 0.275663
3.475417 0.3198183
3.053052 0.2643157
3.606247 0.3408366
3.615736 0.3177803
2.763993 0.05518739
3.286799 0.2358525
3.287167 0.4649847
3.427248 0.2779499
3.037105 0.3728591
3.147756 0.4360984
3.037667 0.4009778
3.424414 0.3143511
3.487034 0.2534293
3.360504 0.1622727
3.639506 0.2756369
3.774768 0.4082858
3.235269 0.0200194
3.037901 0.1805758
3.513484 0.3151226
3.590796 0.3761374
3.298137 0.1085708
3.232746 0.2917042
3.84057 0.2916059
2.899081 0.3165942
3.039931 0.2791179
3.295646 0.3121631
3.374199 0.4725578
2.988052 0.1881302
3.112111 0.398541
3.444116 0.1200997
2.863588 0.2935603
3.427434 0.3653372
3.802188 0.4311518
3.092096 0.3928232
2.929011 0.3153071
4.208679 0.2020809
3.393128 0.2811286
2.934501 0.05173198
3.226067 0.387981
3.501845 0.3652128
3.104502 0.242146
3.065583 0.1281404
3.078061 0.3776647
3.262221 0.3437324
3.25418 0.3997895
3.062232 0.338924
3.379211 0.3444068
3.630748 0.2837707
3.540833 0.2813544
2.73927 0.2993855
2.859881 0.3818397
3.547515 0.4166092
4.071284 0.1913114
3.785539 0.02918968
4.064752 0.4802729
3.88471 0.1461975
4.147924 0.264427
3.736428 0.3256459
3.629343 0.4889776
3.511418 0.1270843
3.612383 0.2729117
2.980818 0.1988776
2.938347 0.4165611
2.691754 0.4931084
3.022216 0.2330797
3.775426 0.135613
2.81931 0.3913432
3.525662 0.04264581
3.168223 0.3769696
3.133789 0.1859513
2.909007 0.09227796
3.645302 0.3754161
3.554784 0.3207014
2.98251 0.2463637
3.335737 0.2057876
2.630614 0.214123
3.812818 0.02445543
3.835521 0.4190806
3.98269 0.1196533
3.885717 0.2744796
3.556645 0.4079617
3.322728 0.1343471
2.848703 0.2100584
3.11186 0.3416413
2.698186 0.270485
