beta1_1 beta2_1 beta1_2 beta2_2 beta1_3 beta2_3 beta1_4 beta2_4 
2.332823 -2.224293 0.06275236 0.9520694 9.287721 -0.2699866 1.8992 0.05044533 
-22.22935 -10.09389 -0.01286807 0.9869633 -9.827569 -22.76927 1.885342 0.0540279 
10.9201 4.200402 0.03661979 0.9841068 5.992466 -1.928778 1.940114 0.03028447 
2.988684 -2.146366 0.1276018 0.9362748 9.880568 -4.053493 1.932805 0.039855 
-4.58213 -9.027379 0.1448772 0.9097008 -11.05744 12.94895 1.92214 0.04254656 
-12.11142 -2.34432 -0.04740332 1.005849 -9.251368 14.78034 1.997869 0.008642252 
-2.460758 -19.34924 0.04737093 0.9882505 -0.5143554 -0.4595636 1.926542 0.0328752 
5.394767 -1.920585 -0.01659779 0.9995593 -0.4910102 14.05888 1.97429 0.02359785 
14.62547 -4.105416 0.0141695 0.9665495 -2.261298 0.7252413 1.900219 0.0514317 
-14.07526 -5.893802 -0.02871233 1.009375 2.174724 -13.56581 1.886866 0.0523437 
4.546442 0.4941071 -0.1050286 1.047108 -1.980958 -11.12291 1.870681 0.06302074 
10.77323 -15.72725 0.01515088 0.975336 8.405676 -10.37372 1.920527 0.0363341 
-14.13185 11.11376 0.0939493 0.9522948 8.461321 16.80532 1.901415 0.05191229 
12.79666 -2.591414 0.08391493 0.9432074 1.673837 1.255607 1.903361 0.04681691 
-4.224734 5.172623 -0.09160556 1.01398 -10.59924 -2.253236 1.93384 0.03333014 
8.640611 8.18296 0.0111484 0.9839488 -15.64607 -0.08976915 1.87717 0.05827387 
-5.676295 2.30125 0.2345346 0.8820485 4.016974 8.468127 1.8812 0.05540312 
-13.04915 6.323104 0.01537476 0.9918799 9.852971 -0.7094112 1.891547 0.05480673 
1.332186 -17.63971 0.008292964 0.9659489 -2.990095 -15.94883 1.877509 0.06036074 
17.55655 6.773496 0.1227375 0.9352279 -8.381583 5.532626 1.993789 0.0114921 
-9.830815 -3.752683 0.1258327 0.9362573 2.621979 -5.595672 1.97161 0.02066559 
-4.007591 8.511322 -0.009661732 0.9824186 -6.378156 22.29758 1.893689 0.05285227 
6.506385 -10.97266 0.04878835 0.9633152 -3.315579 8.094536 1.943079 0.03217497 
-0.8131744 -1.047078 0.05399002 0.9741212 0.3500431 1.27726 1.918607 0.04222713 
-5.726108 0.01310823 0.087256 0.9602912 4.625289 23.16433 1.926669 0.03481964 
