tau2_1 tau2_2 tau2_3 tau2_4 
783.9232 0.01283279 1.303312 0.003229429 
14.11627 0.01643734 84.36537 0.002671844 
6.880038e+12 0.01556663 6.056415 0.002700279 
0.2899375 0.01271841 0.1507027 0.002629936 
12.0018 0.01448374 2.270676 0.002565256 
3.644639e+14 0.02544636 0.04207602 0.003937104 
37.41051 0.007613419 34781174 0.002632504 
0.09003313 0.005951782 11103229 0.004526192 
52800.39 0.01699591 0.5970948 0.003674824 
1.457158 0.01523558 233.6677 0.00253189 
1.478975e+12 0.007822912 6.35111e+14 0.002599225 
1229591934 0.01494502 0.1419036 0.004075259 
0.5089623 0.008091588 0.1290204 0.003168503 
4.384707 0.03065184 1.145128e+24 0.003018187 
0.3662004 0.01888409 2.232125 0.003612488 
0.02173241 0.01970718 2.952995 0.002682976 
2.857073 0.0065635 1532152 0.003259881 
677812 0.008992626 18.74687 0.003354933 
0.09261155 0.004663977 2.637486 0.002519256 
3128326 0.01984491 74.49823 0.003230486 
1.87338 0.007607986 170.6434 0.003449522 
244563.9 0.01233288 0.446278 0.003627031 
24.01735 0.02261495 2.078856 0.00324592 
371.8812 0.01381745 2583.503 0.003622718 
45.08527 0.01273642 415022.8 0.0025059 
9780.852 0.007742039 2081.854 0.003393455 
95087.9 0.008679982 0.2391085 0.003009183 
0.08275691 0.007893881 5.718118 0.003069156 
24.36438 0.02977664 668.1676 0.003564486 
20.04659 0.01995359 32.45427 0.003651783 
0.285042 0.02009353 27.64713 0.003810939 
925.5566 0.00410579 0.05286795 0.00274157 
377.9688 0.004405177 3.44801e+12 0.003002934 
476.7299 0.01016554 2.400972e+14 0.002497956 
1210062988 0.004930204 230.9252 0.002539449 
5.410901 0.00750528 351.4357 0.00303114 
4.291145 0.01099812 4.882516 0.00352791 
8437.219 0.01452921 1.074444 0.003429925 
0.8557443 0.0129692 9518556 0.003017144 
4.688966 0.02066093 787.6452 0.003288408 
161.9018 0.003931091 0.1796061 0.003000248 
5.069108 0.009346478 0.05837436 0.003470004 
2.677235e+14 0.02539145 49196.71 0.002603193 
11.14812 0.01775802 0.4575214 0.002758258 
0.5281048 0.0153468 234.1492 0.002793178 
2013586541 0.005932472 10.97608 0.002876542 
350.4586 0.003483574 32947.99 0.0032909 
73259076 0.004702518 0.1269657 0.002793348 
0.1290412 0.004213947 0.08554533 0.003021666 
3036.672 0.007453583 0.113829 0.002530287 
0.1235521 0.02356877 20.31271 0.002521212 
1.141706e+31 0.02197186 5.864841e+21 0.002584873 
0.02935485 0.01626686 59974.09 0.003301925 
0.05742873 0.01737492 47392.17 0.003160423 
17.51558 0.02947355 5.888788 0.003074898 
5033012 0.01223311 2.707094 0.004189897 
2.536568 0.006955848 1.635399e+16 0.00246979 
19.07635 0.009553138 3793.793 0.003066538 
4.396677 0.009371642 12094.63 0.003674654 
0.2599091 0.01355731 0.9986206 0.002851245 
104.7196 0.008970984 1.026829 0.002885053 
49980.89 0.009172748 14.65719 0.002595424 
3.827384 0.01640401 735.5579 0.0036956 
2.186162 0.0128053 756291.7 0.003186804 
169.7972 0.01644791 51.96023 0.002926209 
0.6512049 0.003897804 0.7514002 0.002984438 
5005.487 0.00894725 119.0151 0.002233305 
0.1617012 0.004549608 29.0469 0.003666113 
0.1848205 0.004403136 6.85592 0.003895969 
266537.6 0.0100554 1244547 0.003235419 
301547.7 0.0133504 17.18111 0.003178372 
3.931862 0.006508371 60530.75 0.00288023 
5.928092 0.007711452 2261388007 0.002383269 
35.04737 0.006718621 743.0527 0.001920238 
39866.19 0.01003261 10640643687 0.002864834 
2.636805e+13 0.01308057 18999928 0.003042662 
0.5929659 0.005268739 0.7538785 0.003360448 
1.754193 0.01960114 4.839738e+14 0.003738106 
4.708075 0.01444178 14668.92 0.003316061 
870.7462 0.00672712 0.2823906 0.002270296 
248.0057 0.009614398 0.04724045 0.003535508 
2314.341 0.02017911 363.8044 0.003287596 
0.4679623 0.009833344 0.02516388 0.002947082 
1.43437e+11 0.01121229 1.070302 0.004592435 
1628.862 0.005102081 4.717718 0.002108846 
0.4051718 0.01107683 18.71383 0.003863832 
9.320681 0.0266893 0.3074354 0.002778701 
1.781598 0.01534564 5.049284 0.004236105 
0.1257749 0.02434172 1146351 0.003034898 
17117114 0.01689943 58488629 0.003971599 
55913.49 0.02269763 545.2738 0.002415719 
7.993365 0.008844515 13592872 0.003687738 
240.173 0.007876625 2.145267 0.003672918 
8.802898 0.01278463 1313.72 0.003504961 
587324.2 0.02097556 0.07753456 0.003552507 
0.3037737 0.02333742 3971994424 0.00343944 
2134.407 0.01514771 3534449 0.002732232 
1.177126 0.009106359 24956384956 0.003295961 
9.756749 0.006953475 8723897 0.002660162 
0.1726561 0.01164323 0.2767131 0.003922033 
0.1336306 0.01075481 52795261 0.003044615 
177.8819 0.009838518 515.1471 0.002680094 
36212701859 0.004439026 2.938043 0.003467479 
0.3916609 0.008418717 0.1417297 0.00287301 
196.2101 0.01232667 28.01888 0.003371643 
