p_1 p_2 p_3 p_4 
0.02092972 0.2553897 0.007317224 0.7163633 
0.002063158 0.3138945 0.02611369 0.6579287 
0.006550441 0.3433442 0.02574424 0.6243611 
0.006769126 0.2324543 0.0173364 0.7434402 
0.006486679 0.2259027 0.007278604 0.760332 
0.008268035 0.337475 0.007552156 0.6467048 
0.002261629 0.2730598 0.0005058754 0.7241727 
0.009649189 0.3695122 0.0004288111 0.6204098 
0.02744369 0.2778824 0.009734168 0.6849397 
0.002709107 0.3079709 0.03106966 0.6582503 
0.01720849 0.2128417 0.01682666 0.7531232 
0.008096584 0.3368104 0.007780833 0.6473122 
0.01095987 0.2433413 0.01086725 0.7348316 
0.01470853 0.3675576 0.001821115 0.6159127 
0.002313908 0.2457477 0.006972238 0.7449662 
0.0008787452 0.2662737 0.01098778 0.7218597 
0.0131361 0.3200666 0.00268741 0.6641099 
0.00451463 0.2503375 0.01537961 0.7297683 
0.0157008 0.2305613 0.001301795 0.7524361 
0.003759942 0.2708538 0.003060559 0.7223257 
0.007780607 0.2855536 0.005239928 0.7014259 
0.006564565 0.284641 0.003872814 0.7049216 
0.003279056 0.2948829 0.002752033 0.699086 
0.01344997 0.2742557 0.001430371 0.710864 
0.004283296 0.4430302 0.005249607 0.5474369 
0.001137508 0.2560712 0.01728095 0.7255103 
0.003855474 0.2731908 0.03024556 0.6927082 
0.0007891312 0.2904267 0.00545211 0.703332 
0.003668871 0.2941466 0.002437802 0.6997467 
0.007408074 0.2473493 0.00261006 0.7426326 
0.002666677 0.3333918 0.01586194 0.6480796 
0.001851621 0.2830083 0.007741833 0.7073982 
0.009109088 0.2551031 0.0002626538 0.7355251 
0.009405058 0.3442792 0.002501823 0.6438139 
0.005657138 0.2806651 0.008412237 0.7052655 
0.008649299 0.2752896 0.0008414095 0.7152197 
0.0008587428 0.291926 0.00011252 0.7071027 
0.002429949 0.2915824 0.02187451 0.6841132 
0.009079697 0.2795102 8.774218e-05 0.7113223 
0.02615072 0.3644344 0.02108343 0.5883315 
0.009189107 0.2601342 0.001683071 0.7289936 
0.01182918 0.2833918 0.0003105374 0.7044685 
0.001867109 0.3108909 0.009814244 0.6774277 
0.007945136 0.2996656 0.00400575 0.6883835 
0.01187872 0.25512 0.01008458 0.7229167 
0.003309593 0.35828 0.008178355 0.6302321 
0.002239235 0.3665115 0.01174894 0.6195003 
0.009072919 0.3352331 0.01040161 0.6452924 
0.005256535 0.3037171 0.001012919 0.6900134 
0.002254947 0.3846205 0.00906208 0.6040624 
0.0008471729 0.351034 0.02117593 0.6269429 
0.004510988 0.2265314 0.0006359499 0.7683216 
0.004236092 0.2780982 0.004389979 0.7132757 
0.001771641 0.2613157 0.0001067287 0.7368059 
0.005198771 0.2566644 0.001010628 0.7371262 
0.01412789 0.3411701 0.01592832 0.6287737 
0.00925968 0.3259603 0.003374372 0.6614057 
0.006380891 0.3320906 0.0009198472 0.6606087 
0.0001506466 0.3440721 0.01494454 0.6408327 
0.01838183 0.2430271 0.01762109 0.72097 
0.01991331 0.2363856 0.003101527 0.7405996 
0.008737048 0.2485843 0.008758919 0.7339198 
0.002249928 0.3659222 0.008992037 0.6228359 
0.001779012 0.3981247 0.004049676 0.5960466 
0.008269309 0.274466 0.008361868 0.7089028 
0.005885428 0.2789751 0.005441916 0.7096976 
0.009021624 0.328344 0.001095543 0.6615389 
0.03096247 0.2580511 0.006242314 0.7047441 
0.001457054 0.2713793 0.004383635 0.72278 
0.009188334 0.3938947 0.005759878 0.5911571 
0.0127107 0.3151478 0.004310288 0.6678312 
0.007674691 0.2306062 0.001305088 0.760414 
0.005734861 0.2645858 0.02828463 0.7013947 
0.01007345 0.2095069 0.002989705 0.7774299 
0.007087957 0.3890438 0.00156849 0.6022998 
0.01360498 0.334738 0.03496384 0.6166932 
0.006830929 0.3154459 0.0007932437 0.6769299 
0.004310286 0.3443391 0.02526777 0.6260828 
0.01625972 0.2759169 0.0005621187 0.7072613 
0.0002159746 0.2859708 0.0001294013 0.7136838 
0.007373922 0.3061154 0.005561372 0.6809493 
0.001258578 0.2840662 8.993756e-05 0.7145853 
0.007765549 0.3548697 0.01887603 0.6184887 
0.005271617 0.2804295 0.01115893 0.7031399 
0.001997355 0.2528244 0.001043311 0.7441349 
0.005574688 0.2282439 0.003994412 0.762187 
0.001481899 0.2450475 0.007466958 0.7460036 
0.002183945 0.3724558 0.006200893 0.6191593 
0.004420692 0.3460342 0.0007215116 0.6488236 
0.002734915 0.3811055 0.003353555 0.6128061 
0.01227856 0.2998433 0.008751572 0.6791265 
0.01420008 0.3489146 0.004052663 0.6328327 
0.0004165857 0.3521812 0.005717169 0.6416851 
0.006248132 0.2955674 0.008477906 0.6897065 
0.001476112 0.3086303 0.001237386 0.6886562 
0.007384598 0.2270646 0.02392884 0.741622 
0.0001901716 0.3058438 0.004437024 0.689529 
0.005826689 0.3375721 0.0002683213 0.6563328 
0.01493311 0.4027055 0.0001729931 0.5821884 
0.007949689 0.1931675 0.0239101 0.7749727 
0.004035707 0.3368968 0.01715779 0.6419097 
0.005944769 0.2974529 0.002593288 0.694009 
0.00477305 0.3446315 0.006561537 0.6440339 
0.003258301 0.2961395 0.0118085 0.6887937 
0.001280625 0.2680323 0.001272557 0.7294145 
0.01218333 0.2399327 0.02140622 0.7264777 
0.005419432 0.3629776 0.001184548 0.6304184 
0.002167788 0.2623046 0.01992504 0.7156026 
0.03319299 0.3375668 0.01946195 0.6097783 
0.01037278 0.4524572 0.009977038 0.527193 
0.009590536 0.3086246 0.00094518 0.6808397 
0.007293639 0.3333423 0.001831193 0.6575328 
0.007159034 0.3112121 3.157701e-05 0.6815973 
0.005406049 0.4442392 0.0001367898 0.5502179 
0.002460859 0.4390152 0.00553937 0.5529846 
0.008111906 0.2953294 0.0004361801 0.6961225 
0.03524362 0.2290781 0.0008871471 0.7347911 
0.02654082 0.3068417 0.01438189 0.6522356 
0.002360015 0.3524616 0.02298401 0.6221944 
0.006240268 0.3442749 0.006736599 0.6427483 
0.005279509 0.4377421 0.001404041 0.5555743 
0.003091377 0.3483846 0.003622969 0.644901 
0.0003578799 0.3616742 0.01315129 0.6248166 
0.002339682 0.4253063 0.002511781 0.5698422 
0.004604014 0.2326839 0.002224316 0.7604877 
0.002587688 0.3013537 0.005436565 0.6906221 
0.006076446 0.2857532 0.01784798 0.6903224 
0.02038908 0.3349845 0.007178117 0.6374483 
0.0002345405 0.3596428 0.003805973 0.6363167 
0.004690392 0.3395313 0.02321643 0.6325619 
0.0006669776 0.2616679 0.01839043 0.7192747 
0.002804545 0.2590542 0.04513238 0.6930089 
0.008713845 0.2736668 0.03662444 0.680995 
0.004571081 0.2145349 0.006128695 0.7747653 
0.0157355 0.2643213 0.0006163814 0.7193268 
0.001950406 0.2797803 0.02693848 0.6913308 
0.004847944 0.3251364 0.002812143 0.6672035 
0.003456689 0.2650476 0.01525086 0.7162449 
0.01581308 0.324616 0.0004674252 0.6591035 
0.002930776 0.2515635 0.005798868 0.7397068 
0.01485574 0.3249047 0.0008238117 0.6594157 
0.001934716 0.3624862 0.002725842 0.6328532 
0.01358474 0.2842306 0.01081019 0.6913745 
0.000772067 0.3125665 0.004848769 0.6818126 
0.01701688 0.2671214 0.004291047 0.7115706 
0.03958048 0.3324301 0.004433983 0.6235554 
0.005237074 0.3180132 0.00570922 0.6710405 
0.003270486 0.2372543 0.008353305 0.751122 
0.00607045 0.2921701 0.002426569 0.6993329 
0.0003910539 0.3086658 0.004657748 0.6862854 
