"Delta_1" "Delta_2" "Delta_3"
1.192071 -2.168577 -2.786185
1.25987 -2.101161 -3.066676
1.101159 -2.065304 -3.033995
1.058418 -2.051333 -2.993037
1.059531 -2.143955 -2.925312
1.13344 -2.232213 -2.815142
1.131852 -2.223792 -2.849388
1.120305 -2.344663 -2.93494
1.067678 -2.329843 -3.062723
1.158513 -2.242823 -3.015291
1.130812 -2.193738 -3.081891
1.250337 -2.10888 -2.824453
1.24635 -2.183738 -2.749147
1.204452 -2.195945 -2.83062
1.159652 -2.218572 -3.133913
1.125687 -2.124252 -3.184602
1.25492 -2.104509 -3.27654
1.178995 -2.042657 -3.035531
1.16684 -2.046942 -3.109284
1.074492 -2.233441 -3.020318
1.150304 -2.041437 -3.022064
1.150106 -2.039104 -2.695099
1.119364 -2.189568 -2.872434
0.9843924 -2.280716 -3.100331
1.000711 -2.424773 -2.687314
1.008943 -2.337729 -2.873177
1.141308 -2.33113 -2.737812
1.225468 -2.289516 -2.986808
1.120126 -2.226248 -2.79485
1.191726 -2.186225 -2.745404
1.228425 -2.181581 -2.60299
1.194116 -2.102437 -2.760929
1.173938 -2.079952 -3.041349
1.200468 -1.920895 -3.328524
1.245059 -2.034823 -2.97088
1.224318 -2.012576 -3.092138
1.235886 -2.144309 -2.884825
1.124853 -2.120817 -2.898664
1.080714 -2.071198 -2.832298
0.9926798 -2.018338 -2.679785
1.064123 -2.049462 -2.744151
1.053727 -2.092841 -2.733481
1.04017 -2.113239 -3.172364
1.072353 -2.149354 -3.149605
1.121376 -2.122988 -3.090151
1.103059 -2.363502 -2.973389
1.055496 -2.441338 -3.112723
1.098913 -2.202761 -3.131938
1.035811 -2.265743 -3.069334
1.086699 -2.133788 -3.205483
1.059626 -2.159162 -3.012535
1.161626 -2.171552 -2.731664
1.117122 -2.219102 -2.680605
1.102411 -2.127248 -2.660493
1.280912 -2.138234 -3.101076
1.253317 -2.009461 -2.95481
1.252014 -2.200129 -2.837023
1.237988 -2.247767 -2.691015
1.146296 -2.180558 -2.57809
1.081499 -1.914321 -2.512355
1.164453 -1.82806 -2.552688
