"comp1" "comp2"
1.375992 0.2076687
4.711237 0.1466246
3.34074 0.3091828
1.438985 0.1488686
4.921088 0.4924211
0.6246337 0.03581088
0.3999901 0.0583126
2.457367 0.06904723
0.792079 0.06502418
0.6954182 0.151432
0.9307264 0.138833
1.890772 0.1301168
2.737293 0.3243586
1.803688 0.3692606
2.475276 0.2887288
0.4776121 0.1425142
0.3659518 0.07979163
1.257181 0.1160462
0.3671188 0.1441166
0.9326542 0.05004176
3.232152 0.05815464
0.4556276 0.2985664
0.1305792 0.1669619
2.193741 0.2224795
4.194255 0.1231017
1.208207 0.0600498
0.902524 0.1272548
0.9399283 0.3294426
0.7896046 0.2235234
0.3576765 0.218813
0.7117513 0.03175461
1.947399 0.07576226
0.5953805 0.0330949
3.5698 0.1958616
3.560439 0.06369372
0.9715983 0.1551841
2.799507 0.0365601
2.050608 0.05449437
0.7093193 0.1538216
2.504743 1.496787
0.5301455 0.1875972
1.100558 0.0564242
1.861977 0.5527475
1.046489 0.2460583
1.8573 0.1604348
1.320401 0.2705278
0.9274483 0.02632341
0.9052969 0.1915513
6.219799 0.05248855
2.807146 0.09379159
3.609816 0.5533764
5.530407 0.01632045
2.022778 0.3185693
2.870796 0.0495089
0.8536969 0.0548197
2.245309 0.2879104
1.896086 0.2577009
2.953743 0.05624646
1.913305 0.09224925
1.273907 0.7287132
1.927512 0.1101796
3.22004 0.3062777
2.438038 0.03484411
2.84918 0.03949489
5.533405 0.5583449
0.7169983 0.08669878
3.165226 0.08411081
0.7235746 0.07736983
1.918942 0.8347456
1.207563 0.04568632
1.389343 0.4161794
1.196875 0.1895897
1.949675 0.0211178
2.612322 0.4317714
0.7136846 0.2373555
0.6096802 0.3735307
0.9139805 0.5142011
0.4593308 0.02163419
2.234161 0.01729273
0.2315721 0.07097393
1.567683 0.07258172
0.2508318 0.3228718
0.4717585 0.2482251
4.043167 0.06450589
0.4248164 0.6193409
5.418177 0.0808818
0.2147454 0.2338619
1.644765 0.5158617
0.4439601 0.9172765
0.4735356 0.04344605
0.7070789 0.02227559
1.880881 0.1734296
1.904653 0.03301221
3.048268 0.1569435
7.922468 0.5329931
1.185826 0.1504918
3.774657 0.1791245
