"p_1" "p_2"
0.3210095 0.6789905
0.3098005 0.6901995
0.4226296 0.5773704
0.2996565 0.7003435
0.2981157 0.7018843
0.2540311 0.7459689
0.2907806 0.7092194
0.3356842 0.6643158
0.237272 0.762728
0.2225291 0.7774709
0.3249062 0.6750938
0.2666364 0.7333636
0.3700126 0.6299874
0.2674336 0.7325664
0.3565925 0.6434075
0.319488 0.680512
0.2416019 0.7583981
0.2971732 0.7028268
0.3014244 0.6985756
0.362187 0.637813
0.3484829 0.6515171
0.3511671 0.6488329
0.2961228 0.7038772
0.2812637 0.7187363
0.3029153 0.6970847
0.2980528 0.7019472
0.3360357 0.6639643
0.3286162 0.6713838
0.2322483 0.7677517
0.2614133 0.7385867
0.2534675 0.7465325
0.3828852 0.6171148
0.356038 0.643962
0.3664787 0.6335213
0.2704857 0.7295143
0.2706557 0.7293443
0.3179495 0.6820505
0.240571 0.759429
0.2532925 0.7467075
0.3206118 0.6793882
0.3113348 0.6886652
0.2964148 0.7035852
0.3405015 0.6594985
0.2491324 0.7508676
0.3128465 0.6871535
0.2280663 0.7719337
0.3382115 0.6617885
0.3170911 0.6829089
0.2887102 0.7112898
0.3903906 0.6096094
0.332843 0.667157
0.325695 0.674305
0.3276083 0.6723917
0.2605089 0.7394911
0.3605371 0.6394629
0.283803 0.716197
0.3299591 0.6700409
0.2403381 0.7596619
0.3825683 0.6174317
0.2637346 0.7362654
0.3704818 0.6295182
0.3110528 0.6889472
0.2890298 0.7109702
0.2788615 0.7211385
0.2404674 0.7595326
0.2333788 0.7666212
0.4198735 0.5801265
0.2693726 0.7306274
0.3196564 0.6803436
0.3024032 0.6975968
0.312432 0.687568
0.2886447 0.7113553
0.2996743 0.7003257
0.3270979 0.6729021
0.2912865 0.7087135
0.2422539 0.7577461
0.3435639 0.6564361
0.3864874 0.6135126
0.280338 0.719662
0.3470699 0.6529301
0.4128165 0.5871835
0.3786752 0.6213248
0.3461393 0.6538607
0.2775544 0.7224456
0.2482454 0.7517546
0.2800984 0.7199016
0.2469701 0.7530299
0.3085783 0.6914217
0.3808971 0.6191029
0.2968453 0.7031547
0.309199 0.690801
0.3035195 0.6964805
0.3882073 0.6117927
0.3098275 0.6901725
0.2808647 0.7191353
0.3131526 0.6868474
0.3038399 0.6961601
0.3792797 0.6207203
0.2509042 0.7490958
0.3715422 0.6284578
0.3140242 0.6859758
0.3138032 0.6861968
0.2852998 0.7147002
0.3055774 0.6944226
0.3666571 0.6333429
0.3260731 0.6739269
0.30998 0.69002
0.2438074 0.7561926
0.2869654 0.7130346
0.2771499 0.7228501
0.2658098 0.7341902
0.2884131 0.7115869
0.253403 0.746597
0.2741551 0.7258449
0.309799 0.690201
0.349243 0.650757
0.3065257 0.6934743
0.2956764 0.7043236
0.377796 0.622204
0.2744831 0.7255169
0.3228998 0.6771002
0.3373416 0.6626584
0.3417061 0.6582939
0.3032258 0.6967742
0.2655133 0.7344867
0.4140233 0.5859767
0.2713705 0.7286295
0.3786922 0.6213078
0.2565385 0.7434615
0.3195506 0.6804494
0.3151964 0.6848036
0.3264833 0.6735167
0.2077429 0.7922571
0.3331121 0.6668879
0.2890815 0.7109185
0.2485557 0.7514443
0.2891463 0.7108537
0.2524748 0.7475252
0.2860444 0.7139556
0.3231516 0.6768484
0.3675421 0.6324579
0.2104019 0.7895981
0.2898999 0.7101001
0.3303617 0.6696383
0.2451683 0.7548317
0.3489965 0.6510035
0.2678366 0.7321634
0.3000073 0.6999927
0.2897727 0.7102273
0.2342304 0.7657696
0.276705 0.723295
0.3242318 0.6757682
0.2712744 0.7287256
0.4498266 0.5501734
0.2513455 0.7486545
0.2138034 0.7861966
0.2569061 0.7430939
0.2262914 0.7737086
0.3014008 0.6985992
0.3409834 0.6590166
0.2602637 0.7397363
0.2237694 0.7762306
0.3410503 0.6589497
0.2959799 0.7040201
0.3793259 0.6206741
0.3857715 0.6142285
0.283044 0.716956
0.243245 0.756755
0.3704828 0.6295172
0.2694347 0.7305653
0.3380154 0.6619846
0.2868361 0.7131639
0.3136715 0.6863285
