Delta_1 Delta_2 Delta_3 
0.5731107 -4.854125 -1.943056 
0.3938751 -3.018704 -1.430164 
0.643959 -3.821256 -1.638524 
0.5346657 -3.609275 -1.673319 
0.7723143 -4.683954 -2.10097 
0.304815 -4.024619 -1.392542 
0.6448773 -3.734187 -0.9275632 
0.5646313 -2.869512 -1.196165 
0.6716542 -3.530716 -1.141161 
0.6246943 -3.087473 -1.778699 
0.6747183 -2.911101 -0.8527117 
0.389124 -3.564529 -1.217318 
0.5077642 -3.677594 -0.8857023 
0.7614221 -4.694451 -2.451703 
0.3751901 -4.673199 -1.807094 
0.7289966 -5.925592 -1.316676 
0.6856348 -4.877742 -1.681974 
1.089337 -4.964361 -1.983948 
0.814486 -5.830425 -1.847292 
0.8345165 -6.21454 -1.920478 
1.195969 -5.755023 -2.169829 
0.3029509 -4.604807 -1.1906 
1.047907 -4.014792 -1.902531 
0.6963007 -4.909609 -1.887703 
0.9213981 -3.459336 -1.892907 
0.5745839 -3.089393 -1.361914 
0.3912925 -3.017801 -1.224075 
0.7075202 -3.037842 -1.169232 
0.6402297 -3.341984 -1.506144 
0.6977302 -3.938594 -1.421206 
0.6966936 -4.131416 -1.558963 
0.4004665 -5.518497 -2.31396 
0.684848 -5.099093 -1.923947 
0.499805 -4.494461 -2.057115 
0.6744424 -3.509347 -2.065522 
0.2192149 -2.611784 -1.327905 
0.3799489 -2.649434 -1.572273 
0.9368102 -2.66041 -1.575079 
0.5297103 -3.016956 -1.188131 
0.7022014 -3.215593 -1.205995 
0.6773483 -3.934864 -1.54703 
0.2826571 -3.488692 -1.413166 
0.9113592 -3.257657 -0.978288 
0.5933198 -3.16782 -0.8140449 
0.9793567 -3.205183 -0.7853142 
0.6462655 -3.829529 -1.582574 
0.9185348 -4.572774 -1.840841 
0.5131061 -3.346945 -1.330936 
0.5997288 -2.766949 -1.437292 
0.6481547 -2.998206 -1.532027 
0.4875385 -3.224279 -1.319316 
0.6137479 -3.200567 -1.750893 
0.7775036 -3.332906 -1.706691 
0.1692565 -4.305144 -1.804648 
0.5156425 -3.795172 -1.21448 
0.5319394 -3.81571 -1.303936 
0.4463535 -4.00846 -1.017194 
0.2315779 -3.930248 -1.54698 
0.4184885 -3.740862 -1.631065 
0.6258544 -3.860186 -0.8392249 
0.4187787 -3.214025 -1.670811 
0.8792392 -3.236196 -2.280455 
0.6636328 -3.412422 -2.125316 
0.6945111 -3.927565 -1.353495 
0.6604351 -3.167828 -1.714306 
0.2473089 -4.546072 -1.959859 
0.9728654 -4.43151 -1.977153 
0.863017 -5.341652 -1.220207 
-0.0894685 -3.973559 -0.9992198 
0.7856473 -4.292102 -1.239773 
0.1825294 -4.101961 -1.541192 
0.1280862 -3.585088 -1.317022 
0.9552927 -2.171268 -1.271944 
-0.1212067 -2.500345 -1.755619 
0.5427769 -2.363534 -1.333044 
0.761665 -3.390154 -1.322211 
0.5561901 -3.565841 -0.7178589 
0.4681338 -2.769597 -1.261615 
0.7702458 -2.873824 -2.064614 
0.5802026 -4.060514 -1.976944 
0.723865 -5.274308 -1.791684 
0.7278293 -3.483404 -1.804186 
0.5422741 -3.259043 -1.554448 
0.4916042 -2.968928 -1.863878 
0.8627572 -2.503531 -1.657921 
0.9947079 -3.022928 -1.131962 
0.02752154 -2.982256 -2.140116 
0.2421531 -2.071991 -1.144939 
0.6707373 -1.971788 -1.061235 
0.2312859 -2.140919 -1.102357 
0.2823475 -2.339934 -1.388717 
0.6059056 -2.485213 -1.97199 
0.4628529 -2.238363 -1.897974 
0.6480137 -3.824909 -2.099459 
0.5323071 -3.704093 -1.994148 
0.8339602 -3.728026 -0.7024658 
0.7652128 -3.560808 -1.86847 
0.5694804 -3.738583 -1.627503 
0.5646241 -3.222238 -0.2071716 
0.7845251 -3.233691 -0.8802624 
0.7411089 -3.796311 -1.583985 
0.3513794 -3.520543 -2.097052 
0.6142546 -2.85111 -2.093068 
1.299882 -2.977452 -1.502737 
0.82782 -3.115106 -1.337667 
0.734546 -3.46223 -1.134117 
0.8749427 -2.174744 -1.753539 
0.9537535 -3.372678 -1.73144 
0.8646058 -2.802909 -2.384919 
0.7041963 -3.810284 -1.796529 
0.8805601 -3.919913 -1.919884 
0.8186615 -4.280177 -1.807251 
0.6900295 -3.489103 -1.674402 
1.111749 -4.244906 -1.63154 
0.6008536 -4.391382 -1.825091 
1.186256 -2.496276 -1.003669 
0.9938426 -3.667984 -0.9633301 
0.6569026 -2.931602 -1.132713 
0.6117171 -3.012953 -2.120004 
1.054742 -2.493385 -2.552327 
0.6237952 -2.693466 -2.221147 
0.4331631 -2.804035 -2.015755 
1.165248 -3.853022 -1.53724 
0.756703 -4.089518 -1.345392 
1.075923 -3.89021 -0.6209295 
0.6710635 -3.689037 -0.7333157 
0.4779593 -3.38241 -0.8235239 
0.3775229 -2.829534 -1.24781 
0.5840715 -3.046828 -1.420884 
0.7692366 -2.915572 -0.9139576 
0.6074031 -2.523868 -1.767009 
0.2440781 -3.256568 -1.35554 
0.825603 -3.688732 -1.525024 
0.5958216 -3.244723 -1.434613 
0.3246696 -4.019515 -2.035679 
0.3266973 -4.349879 -1.261244 
0.4938348 -3.563178 -1.000753 
0.9516124 -3.343261 -1.684388 
0.3564831 -3.810479 -1.595834 
0.6755815 -3.055147 -1.215959 
0.4527969 -3.020428 -1.514271 
0.4890378 -3.485461 -1.936251 
1.119213 -4.970436 -2.333534 
0.4349152 -2.733844 -1.586929 
0.4083709 -2.682753 -1.065972 
0.2763719 -2.853943 -0.8128474 
0.4490814 -2.815399 -0.9246167 
0.5535709 -2.515251 -1.199188 
0.706442 -2.01918 -1.466744 
0.5056575 -2.309981 -1.11563 
0.6453884 -2.784277 -1.611448 
0.6725974 -2.552227 -1.163799 
0.3883694 -2.87053 -1.678759 
0.5897196 -2.901187 -1.242692 
0.5455252 -2.217602 -1.385277 
0.5482831 -3.3075 -0.9503776 
0.807491 -3.078342 -1.618434 
0.1096593 -2.448969 -0.8265465 
0.9665961 -2.628704 -1.902295 
1.209944 -1.809525 -2.535838 
0.3221425 -2.219017 -1.631233 
0.3046411 -2.471629 -1.09896 
0.8006508 -2.896284 -0.9953831 
-0.1919169 -2.716066 -1.181952 
0.3449581 -2.729308 -1.421992 
0.7162709 -2.625241 -1.155648 
0.5214591 -3.383564 -1.579715 
0.8817522 -2.973124 -0.8816322 
0.7442901 -4.229845 -1.611679 
0.172126 -4.936476 -1.522228 
1.384812 -4.635533 -1.154253 
1.133504 -5.02011 -2.038833 
0.525803 -4.901289 -1.525699 
1.094241 -4.477609 -2.265078 
0.6726486 -4.916919 -2.302479 
0.6695292 -4.662962 -2.067953 
0.4608419 -4.594301 -1.8953 
0.7497464 -4.08189 -0.9129078 
0.4609483 -4.462383 -1.071928 
0.231685 -3.085994 -1.402374 
0.7426687 -3.406293 -1.407243 
0.6968936 -3.232604 -0.707696 
0.6901726 -3.672543 -1.893863 
0.9786556 -3.698221 -2.120084 
0.6523274 -3.855447 -2.65999 
0.5187022 -3.811723 -1.642725 
0.7120425 -5.11156 -2.117155 
0.5137399 -4.449467 -1.431412 
0.7426244 -4.139939 -1.533146 
0.6826339 -4.37702 -2.525276 
0.1901945 -4.626067 -2.630702 
0.03267588 -4.167535 -1.575429 
0.4284451 -3.96723 -1.326503 
0.3177248 -4.213683 -1.018279 
0.6590609 -3.885816 -0.5607452 
0.3165331 -3.678551 -1.309986 
0.8837416 -3.227264 -1.708897 
0.5053581 -3.525848 -1.558165 
0.4777074 -2.884229 -0.9461317 
0.6494431 -4.143155 -1.708273 
0.4447395 -4.510034 -1.269772 
0.7650804 -4.290095 -1.54079 
1.091412 -4.978681 -1.0962 
0.6183077 -4.367555 -1.456995 
1.299836 -4.287761 -1.49271 
0.2055159 -4.319542 -0.8231557 
0.9344789 -4.78349 -1.372621 
0.4570571 -4.496896 -1.111991 
0.7741224 -5.008382 -1.841151 
0.7675338 -3.690623 -2.12528 
0.1629948 -3.577494 -2.137805 
1.231112 -2.980541 -1.581458 
0.9492758 -3.181299 -0.3251358 
0.4195047 -3.035501 -1.095267 
0.9033021 -4.314083 -1.802257 
0.653376 -5.905663 -2.224467 
0.8130967 -4.289281 -2.408138 
1.208781 -4.328522 -2.589953 
0.9386144 -3.370221 -1.399764 
0.5752366 -3.216825 -1.10705 
0.4559596 -3.273536 -1.901654 
0.484071 -2.867492 -0.5040655 
0.9167166 -2.743645 -1.762168 
0.0959433 -3.289935 -1.874613 
1.039007 -5.136461 -1.622635 
0.1124561 -4.536354 -0.3978565 
0.6100269 -3.261614 -2.028002 
1.09148 -2.821356 -1.981725 
0.5856 -2.557811 -2.139339 
0.6445654 -2.316419 -2.423024 
0.9373737 -3.604868 -1.525068 
0.5430761 -3.840704 -1.485345 
0.8315767 -4.29681 -1.945501 
0.9343614 -3.700775 -1.380855 
0.4468653 -3.085899 -1.291977 
0.4734851 -3.854821 -1.530239 
0.6122342 -4.891051 -1.924037 
0.7072725 -5.648592 -1.384148 
0.5274969 -5.153112 -1.746546 
0.0485688 -3.886425 -1.898105 
0.9633233 -3.737978 -2.205942 
0.4386011 -4.791132 -1.82647 
0.7263358 -5.058514 -2.073699 
0.7523099 -5.04265 -2.559397 
0.5476799 -4.234167 -2.493163 
0.4949277 -4.489819 -2.685803 
0.63255 -4.481248 -2.26961 
0.6910306 -3.815042 -2.603583 
0.8217945 -4.377552 -1.662489 
0.5201865 -4.251337 -1.783961 
0.5263029 -3.706083 -1.683919 
1.179645 -2.771312 -1.130691 
0.6504632 -3.03092 -1.321955 
0.1154357 -2.346931 -0.857369 
0.8952057 -1.824241 -1.342237 
0.7393889 -1.779929 -1.055866 
0.8307482 -3.41688 -1.379465 
0.8374544 -4.623318 -1.163743 
1.140391 -7.727372 -1.741612 
1.071405 -7.884469 -1.875446 
1.584306 -7.607422 -1.471575 
1.282417 -7.121457 -2.003132 
0.3888864 -5.080956 -2.131461 
0.7249896 -5.94132 -2.570913 
0.7220577 -5.290208 -2.722068 
1.294864 -4.591242 -1.363662 
0.783873 -4.202712 -1.410307 
0.5472288 -3.998942 -2.091162 
0.4079267 -3.82283 -1.828795 
0.9201494 -4.19116 -1.132378 
0.4219882 -4.764033 -1.745519 
0.4058295 -5.369431 -2.15091 
0.1566091 -4.14081 -1.507465 
0.7101615 -2.999128 -0.8207728 
0.7603162 -3.135623 -0.9171188 
0.445319 -3.620428 -1.307594 
0.5942395 -4.632839 -0.9825018 
0.2564672 -3.149871 -1.261533 
0.1792163 -2.518978 -1.058051 
0.6534618 -3.708853 -1.359432 
0.2269983 -4.114406 -1.657252 
0.9258389 -3.759878 -1.469799 
0.4096291 -3.998963 -1.638382 
1.099312 -3.763627 -1.477148 
0.1340976 -3.963337 -1.505744 
0.7416473 -4.797205 -1.049291 
0.4326797 -4.18735 -1.329862 
0.4430359 -3.967612 -1.389452 
0.4834019 -3.000939 -0.9802869 
1.040985 -2.294183 -1.167711 
0.3954424 -3.667646 -1.153389 
0.3381269 -4.477172 -1.304827 
-0.5323407 -4.402172 -1.662194 
0.2620708 -3.006062 -1.091956 
0.6928136 -3.386004 -1.760929 
0.9460261 -3.796837 -1.890819 
1.100643 -3.691328 -1.998785 
0.8298365 -5.179053 -1.566038 
0.4876494 -4.578569 -1.217768 
0.8403523 -4.15162 -1.088669 
0.6151754 -4.041634 -1.835295 
0.8080751 -3.956248 -2.393509 
0.7560912 -3.483601 -0.6302981 
0.9126244 -3.806778 -1.174843 
0.4131471 -3.675655 -1.683426 
0.7374931 -3.380174 -0.9978702 
0.6483942 -3.533758 -1.240295 
0.3309386 -3.688625 -1.116774 
0.1218402 -3.378955 -1.170673 
-0.1375659 -3.816699 -0.8403449 
