"nu" "alpha"
1.781074 0.2593993
3.41792 0.4225784
6.378645 0.2786008
1.904121 0.3092115
5.412478 0.0469105
2.533606 0.4147297
2.705425 0.3300561
3.531348 0.2236392
2.323925 0.3939556
3.409458 0.1267185
2.897353 0.06716142
1.179758 0.2683381
2.566752 0.4344684
1.435583 0.2183508
1.453047 0.3629925
2.455277 0.3262846
1.637566 0.2969119
3.978646 0.1262082
4.60049 0.2727258
2.632105 0.4594912
2.529052 0.3769584
2.707519 0.2553957
1.365658 0.4788679
1.481891 0.3750817
1.695662 0.4438464
2.039434 0.03057132
2.079383 0.3377978
3.456356 0.2536639
14.91439 0.39571
6.20294 0.1587511
2.810691 0.4727127
2.676576 0.08382083
1.466019 0.3922142
2.641586 0.4605641
1.393825 0.1648024
2.226041 0.2249733
3.109986 0.4083529
11.53377 0.1501894
11.35899 0.05489821
3.808932 0.3142263
4.400134 0.09743501
2.22013 0.3074984
3.583131 0.2942723
5.501714 0.2274921
2.675467 0.3057562
1.791458 0.2760338
3.054002 0.1815375
4.560918 0.2846268
5.153545 0.2229901
5.701359 0.0658177
2.07952 0.4161483
8.864597 0.1506216
3.169162 0.3387524
2.283063 0.39531
1.620723 0.4630137
3.043893 0.2039599
2.232316 0.3683769
4.26148 0.08038097
1.572442 0.2708369
3.263576 0.2064385
2.1597 0.1996565
3.13762 0.06900598
2.570206 0.1668388
2.590685 0.2383452
2.070384 0.3484706
6.388431 0.247415
7.363223 0.09706467
9.551778 0.09099354
4.310388 0.08767662
1.873079 0.2056323
3.726725 0.2352867
2.511627 0.4761481
1.88977 0.4656059
3.023168 0.2986996
5.148194 0.4245449
2.723446 0.3250167
2.503273 0.1955083
2.818377 0.2321623
1.980614 0.3285534
2.754875 0.49724
2.169158 0.463377
3.194913 0.4700543
1.444922 0.4674381
2.230651 0.4356403
6.262538 0.2873361
2.353488 0.4289046
2.322136 0.1409315
2.176444 0.430116
3.590217 0.2088701
1.837326 0.08656972
1.538397 0.2631215
3.321376 0.3209057
3.219378 0.1728483
5.292269 0.4746049
2.560968 0.02209498
1.953112 0.2180855
2.217487 0.41033
2.237941 0.1510539
2.111015 0.2144112
4.813586 0.09798041
2.476895 0.02141933
1.725105 0.4650069
1.321525 0.4660305
3.066845 0.2393447
3.339435 0.2660029
2.629376 0.4716687
3.54902 0.4960824
3.711063 0.2003704
2.126863 0.173086
2.574439 0.472262
2.363455 0.4882196
2.68658 0.2415041
6.273088 0.168742
1.569864 0.3020164
3.344984 0.4387859
3.19882 0.4638429
2.992547 0.2193824
4.450741 0.481494
4.125716 0.2991982
4.486311 0.4386695
2.472788 0.2628577
3.055559 0.3633175
6.285724 0.231752
14.90354 0.1304926
1.429275 0.3251792
1.751321 0.2868964
2.435424 0.2991993
2.236518 0.4453993
6.163337 0.1520655
6.81693 0.228052
131.0291 0.02106821
9.479343 0.3937765
14.6981 0.04008242
3.83628 0.3883841
2.083132 0.3122049
2.298361 0.4352406
1.258048 0.1808569
3.17673 0.1290776
6.810969 0.2981275
5.020257 0.4243833
3.261683 0.3443203
2.224411 0.1042469
3.208971 0.2555796
2.214498 0.3154005
5.910493 0.4025273
3.732345 0.393387
2.622376 0.2049518
2.432562 0.3441955
2.683566 0.4407316
4.627493 0.08056589
3.087796 0.3682301
3.173897 0.4809105
1.306847 0.3574752
5.678617 0.3617524
1.901996 0.4140052
7.033576 0.08025769
2.356365 0.3206757
3.928611 0.1706971
4.505945 0.37481
1.288673 0.3235041
1.386627 0.04065277
10.17652 0.1786373
10.31028 0.2494429
4.520628 0.1471327
3.71461 0.2128675
4.743492 0.06680131
1.675629 0.2608289
1.404294 0.3368686
3.903664 0.460027
3.802045 0.1484695
2.234563 0.4556704
5.340837 0.1434095
4.560362 0.1914711
3.35035 0.3835073
2.710873 0.1052941
3.508819 0.4975733
1.722007 0.4873502
2.476186 0.40692
4.327091 0.4035509
5.695268 0.3105723
14.15538 0.2025231
11.65724 0.2786648
10.82906 0.06144107
63.53642 0.04197189
9.828626 0.1322173
5.797889 0.4810124
8.053976 0.4693205
1.554026 0.3098521
3.262082 0.2742261
5.738952 0.2277432
3.276006 0.139907
4.151871 0.287581
2.573227 0.1765951
2.705622 0.08478958
3.25727 0.497612
3.507809 0.2721416
7.604611 0.1349517
3.445483 0.4664681
5.070889 0.2102392
20.73919 0.166647
13.7054 0.1049883
13.04121 0.03120972
3.252439 0.2009067
2.459939 0.1395109
2.823561 0.4243906
1.490566 0.4562638
1.871989 0.2809167
2.487347 0.42506
3.303103 0.1249242
3.839252 0.1481303
6.61519 0.4529941
19.11055 0.07132054
4.54474 0.3747223
13.22973 0.1379382
4.295048 0.2551494
7.587952 0.2271968
2.687119 0.4042932
2.108865 0.3776539
2.95585 0.1968923
3.123725 0.3150796
2.019025 0.4514239
3.803563 0.2880677
2.048789 0.4138374
2.891265 0.07266395
3.163073 0.2856714
3.977828 0.2889954
3.158699 0.3369983
5.125733 0.1111186
5.570374 0.1686603
3.686717 0.1313048
1.835626 0.4408025
1.935273 0.2815947
4.181097 0.08937771
2.158564 0.2706358
2.048376 0.1881664
1.307623 0.05045533
1.985855 0.4571326
4.696607 0.3088152
