"res" "LCI" "UCI"
-0.248104179058661 -0.336948151246381 -0.155784752489906
-0.245504405632913 -0.333915003286111 -0.150882689877747
-0.24322648684109 -0.332025638729303 -0.149768010914134
-0.236148497388211 -0.325611769767425 -0.143467954216604
-0.234061847838198 -0.323209158270379 -0.141121330231991
-0.231746072614284 -0.320726989571081 -0.138270191211445
-0.229977950569454 -0.318862863645605 -0.136725398539099
-0.227773964813459 -0.316579735885417 -0.133210530239709
-0.225336620007076 -0.314848258642132 -0.131760599228542
-0.222786285535747 -0.312692541760211 -0.128082971077744
-0.219411574931987 -0.30899268391519 -0.124653128615341
-0.216946155209163 -0.307276607803817 -0.122402858347872
-0.214590241246116 -0.305122888177981 -0.120755132462212
-0.212296491473586 -0.302675336039299 -0.118267684745863
-0.20957114181737 -0.300631286791574 -0.115769669483425
-0.208102070943615 -0.29875414011645 -0.11458754439775
-0.206369451921616 -0.297561619842028 -0.112151427509008
-0.205027326489217 -0.296263761212082 -0.110307296805308
-0.203010567649305 -0.293993193373292 -0.107651173869442
-0.201180127299323 -0.291868866084899 -0.10627427626966
-0.198526810638458 -0.28968990493277 -0.103938088172439
-0.196077579808696 -0.287474084552422 -0.101047073157129
-0.192955986226087 -0.283655622196236 -0.0981099421628492
-0.189197842903442 -0.279825579752461 -0.0939858896750689
-0.187262829845077 -0.278447953576932 -0.0926906778389269
-0.185616364506784 -0.276242515792734 -0.0904371777598878
-0.183851417778177 -0.274441794708918 -0.0887017072065237
-0.181903374804298 -0.272100358984081 -0.0870345708771584
-0.179335271133118 -0.270383982884444 -0.083762371879358
-0.176352553351425 -0.267827563699825 -0.081529947335488
-0.173130342776125 -0.264038032876733 -0.0779916796970127
-0.171108590573809 -0.262028268781226 -0.0758712501085185
-0.168320031575295 -0.259295775855552 -0.0724258993005604
-0.165388345580559 -0.256040091802961 -0.0704874585544751
-0.162605956776209 -0.254093426681097 -0.0673425150431443
-0.161214310976274 -0.252504117387675 -0.0660319499389489
-0.159182741879335 -0.250451935602491 -0.0636653179533126
-0.157111286914661 -0.248160150684809 -0.0605848411176715
-0.154290551641356 -0.245249489280071 -0.0585945602015559
-0.152165411753641 -0.24276831654396 -0.0561339829432784
-0.150074490768207 -0.241356485690595 -0.0527552187931791
-0.148456673617707 -0.239659533183343 -0.0524767562439974
-0.146241742732752 -0.236910853867972 -0.050486104368992
-0.143916421204498 -0.235097102052193 -0.0489029965511492
-0.142585539946082 -0.233592435635144 -0.0477515370439501
-0.140843773839888 -0.231726179864956 -0.0468774406061892
-0.139457895682887 -0.230316655785083 -0.0445572035356548
-0.137442728954517 -0.22760641398746 -0.0424988802945216
-0.136089425700791 -0.226943607451309 -0.0407006647113476
-0.13444961199677 -0.225325448428764 -0.0380367160197724
-0.132181764952821 -0.22246771438034 -0.0369674747140575
-0.129487145204508 -0.220564880670276 -0.0346620362484194
-0.127011105081882 -0.218418014022548 -0.0315253581446355
-0.123519546644201 -0.214284874346056 -0.0286502893504412
