"tau2_1" "tau2_2"
0.08955596 3.189398
0.1914348 2.685654
0.1351575 2.477472
0.1528774 3.958468
0.1145964 1.678186
0.1238481 1.548839
0.08210957 2.08814
0.1069101 4.206965
0.1019317 3.534578
0.1241759 2.245714
0.09882671 4.03331
0.1766423 2.674648
0.1426238 2.619066
0.1321925 2.998661
0.1720121 3.122801
0.07750432 2.643783
0.05462386 2.303732
0.07262387 4.317678
0.06541715 3.066164
0.1315045 2.57134
0.1453002 1.772592
0.1473636 3.059232
0.1640567 1.649466
0.10749 3.035711
0.1150392 4.95125
0.09510886 2.227279
0.1165238 2.641847
0.1362991 2.082904
0.1201476 2.919467
0.08056416 1.606195
0.04922554 2.666301
0.08750784 2.658009
0.1280314 1.673829
0.226204 2.083832
0.1709539 2.621301
0.07883261 2.52023
0.1600544 2.576776
0.173544 2.379868
0.1258332 2.436422
0.1328369 3.829313
0.0857738 2.546309
0.1087449 2.139
0.1292284 2.820885
0.1154075 3.545183
0.1506984 1.455452
0.08006787 2.731944
0.08666712 2.357127
0.0849274 3.343464
0.1314369 1.430674
0.1540702 2.394944
0.09769211 1.60873
0.074434 2.379222
0.06524791 2.587032
0.07232973 1.547447
0.1453757 2.714136
0.1146601 1.81067
0.1068302 2.194359
0.1690349 2.424517
0.1253424 1.935233
0.09320836 2.658401
0.09510449 1.179095
0.1237783 2.600345
0.111701 3.497479
0.09294845 3.319142
0.1840753 3.945863
0.1836411 3.5476
0.1312543 2.370282
0.136892 1.623896
0.1535083 1.912525
0.1624246 2.991462
0.157857 2.489518
0.0822629 3.429583
0.1567752 2.379731
0.1421919 4.221851
0.1311933 3.042484
0.09868033 2.573687
0.1207492 2.021576
0.1538394 2.82475
0.09976304 2.340011
0.1361692 4.51319
0.1108265 2.576838
0.170199 3.391041
0.2091408 2.044556
0.08916122 2.505928
0.1718349 1.353746
0.09352863 2.451332
0.1051457 2.056994
0.1034554 3.800475
0.1450976 2.657811
0.07648514 2.411367
0.126214 3.508724
0.1312255 1.998061
0.1121215 1.761275
0.1201022 1.961193
0.1233613 3.410554
0.1887041 2.5131
0.1037022 3.499845
0.1242272 2.637749
0.1331635 2.927929
0.07648799 2.837824
0.1446069 2.926452
0.1264906 3.436904
0.09748449 2.363499
0.1101409 2.690762
0.1052222 3.095844
0.1157095 2.148
0.1510029 3.496419
0.1501979 2.636866
0.1486786 3.344965
0.138353 1.811745
0.1575628 3.674771
0.1290479 1.91828
0.1689628 1.891083
0.1885319 3.409821
0.09296146 2.478708
0.1303894 3.563364
0.09139111 3.060146
0.1444457 2.38658
0.1369285 2.774258
0.09126683 2.368744
0.1130964 3.914671
0.07863517 2.215066
0.1883112 3.023398
0.108614 3.388555
0.1325545 2.37107
0.1805872 2.278547
0.1731967 2.96479
0.1219015 1.031304
0.1470816 2.3445
0.1953862 2.364501
0.157278 3.431652
0.2100696 3.124051
0.1225408 2.312092
0.1410382 2.352842
0.196616 2.075696
0.1468052 1.772307
0.1316768 2.649803
0.07028014 2.214762
0.1086699 1.841334
0.0849656 2.085942
0.09951398 2.153123
0.1755233 3.262938
0.1778006 1.874499
0.2574088 2.835518
0.2266943 2.230239
0.1846313 2.453644
0.09966808 1.502006
0.1003205 2.370007
0.1446035 2.947371
0.1745063 2.890441
0.09287384 2.890305
0.1021801 2.112123
0.1168347 2.852737
0.127136 2.543978
0.136517 2.281647
0.105687 2.721338
0.05954659 2.001749
0.07335504 4.826218
0.1207027 1.773918
0.1402938 2.306044
0.1418701 2.503753
0.1816632 2.087235
0.1575815 3.78178
0.06457154 2.336735
0.1183089 3.70439
0.1288343 5.918162
0.1340562 1.731477
0.1946295 4.207392
0.07470736 3.237209
0.1065559 2.598432
0.1046989 1.459363
0.1226475 2.438129
0.1360708 2.690542
0.1362805 1.577251
0.1495731 2.271641
0.09370824 2.935759
0.128546 2.721617
0.1674078 2.624878
0.1583202 4.949071
0.1639825 2.534963
0.1459716 2.200135
0.09464797 3.887413
0.1781838 5.238089
0.1025085 3.12748
0.1677538 2.597061
0.1398393 1.687077
0.1239929 1.457926
0.2047298 4.437042
0.1032031 2.67519
0.1180884 2.725244
0.1991463 1.512428
0.2005391 4.678648
0.1711214 2.598806
0.1590959 2.413345
0.0838572 3.011998
0.2044299 1.559233
0.1285701 2.920715
0.07672915 1.762212
0.1046788 3.472403
0.1114593 2.367912
0.08124923 3.597194
0.1205193 2.562013
0.1657918 4.249095
0.1289108 1.717498
0.147133 2.042493
0.1157258 1.729163
0.1252953 2.256092
0.1852678 3.21106
0.1143436 2.198742
0.1870541 3.256017
0.1917618 2.628826
0.1309708 3.075208
0.1610889 2.880433
0.2633785 3.112549
0.1689074 2.987302
0.1580781 2.850469
0.09949395 5.672704
0.1144032 2.880107
0.1196372 4.10685
0.1798347 1.35284
0.1886714 3.872934
0.1143823 3.402825
0.1374365 1.805344
0.1551214 1.603846
0.1286899 1.745374
0.10648 4.063506
0.1707268 2.589776
0.1206515 1.391715
0.1134406 2.880227
0.119182 3.525794
0.1273418 2.771325
0.09960316 3.718518
0.08530358 2.219316
0.1079541 3.281361
0.09760882 4.078695
0.1743379 3.394451
0.22082 3.00904
0.1421576 2.140059
0.1170381 1.735618
0.04858346 2.951135
0.1525666 2.735687
0.1054322 4.032672
0.1371217 2.109416
0.1155883 3.4747
0.1075995 4.126046
0.090677 2.256644
0.136346 4.172807
0.08306752 3.620315
0.1007221 3.542001
0.09052184 2.642673
0.1200476 1.761799
0.0984844 1.787569
0.1616529 3.562901
0.09674819 2.297561
0.1109656 3.259767
0.1444462 1.531504
0.125439 3.003706
0.09918663 4.788189
0.1163514 3.33605
0.1355152 2.127262
0.3473898 3.050117
0.2050345 1.924665
0.1309012 2.229319
0.2545261 2.846476
0.2030961 2.669673
0.08176025 1.660785
0.1643087 4.65173
0.1335499 1.750076
0.1311287 1.959694
0.1248257 3.027607
0.1119398 4.263601
0.1141088 3.169595
0.1552861 1.60702
0.1428004 3.610373
0.1257119 2.387204
0.1152795 2.798165
0.09288798 2.35665
0.1496182 1.808781
0.1413451 2.134821
0.1064471 3.155232
0.09139319 5.078364
0.1083347 2.326385
0.08463381 3.001714
0.1492923 3.232957
0.1481362 2.535431
0.1005661 4.015824
