tau2_1 tau2_2 
0.3605386 0.2060754 
0.9780302 0.07632402 
0.2146148 0.1556209 
0.06610733 1.051153 
0.08977936 0.3842464 
0.2538967 1.348077 
0.1632859 0.1582169 
7.481407 0.1403521 
0.8650964 0.1835645 
1.609056 0.03833769 
0.2811594 0.1571277 
2.945692 0.1498238 
1.068118 0.3537371 
0.2708945 0.1837673 
0.6209392 0.2396309 
0.3263274 0.2425032 
0.5440146 0.2435777 
0.1135018 0.1842039 
0.2692281 0.07970722 
0.2543181 0.0987075 
1.558621 0.3110078 
0.6404428 0.2416958 
0.3917665 0.1224629 
0.03682632 0.2513574 
0.4586322 0.1902898 
0.5069877 0.4518556 
4.596566 0.3075045 
0.4902695 0.435161 
0.09112572 0.2753185 
0.1096577 0.04119945 
0.2268636 0.2461622 
0.9019934 0.1306676 
0.8916347 0.05828289 
1.146386 0.111219 
0.485684 0.1676787 
0.04291068 0.1611532 
2.143886 0.2756228 
1.632864 0.2168915 
1.135677 0.3109169 
0.2268852 0.1055725 
0.6184729 0.14992 
0.1876818 0.1877507 
6.13507 0.4754871 
0.5475542 0.1875794 
2.61763 0.6167524 
0.3281227 0.2681689 
1.277234 0.09597359 
0.4737558 0.3814802 
3.313388 0.09545101 
0.1896878 0.2947976 
0.6029697 0.1380684 
0.7006082 0.9648582 
25.14559 0.1850026 
3.849758 0.4588774 
1.210468 0.307429 
0.4400386 0.2813021 
0.9770412 0.08261753 
0.7001216 0.03943302 
0.8766584 0.06912629 
0.2723916 0.04411483 
0.02752245 0.6892192 
0.03185461 0.2759795 
0.3182012 0.1696451 
0.3365059 0.3257924 
1.27975 0.6995202 
0.9279891 0.08272176 
0.581737 0.1758378 
0.4977518 0.1269162 
0.08526659 0.2930323 
0.06966124 0.1141395 
0.2326581 0.06595663 
4.707918 0.1683741 
1.065676 0.3632003 
0.7507593 0.4017093 
5.046871 0.07238729 
0.504091 0.2138011 
0.1077763 0.2179439 
0.2878387 0.3076162 
0.1049365 0.2136184 
1.100789 0.1955401 
0.1266075 0.1483389 
0.9292606 0.6417424 
0.6878621 0.5151873 
0.1046671 0.2706167 
1.160884 0.0987814 
0.1645657 0.3313515 
0.5955843 0.2305747 
0.846291 0.1984988 
9.989959 0.1261853 
0.05276352 0.1974226 
0.2256331 0.1156137 
0.05764349 0.2848449 
0.1560018 0.05699394 
0.02615474 0.05472603 
0.02446247 0.1438499 
0.1706432 0.1615024 
0.1316586 0.1389658 
0.6290801 0.1293548 
0.9437023 0.08418758 
1.153278 0.1527222 
0.262148 0.1018186 
0.05997038 0.2816677 
0.08342909 0.6131561 
0.4257488 0.2432253 
0.480515 0.1349638 
1.692388 0.2993674 
0.6189085 0.2223887 
0.01303977 0.7598013 
0.1234952 0.4253064 
0.4527413 0.2498749 
0.226835 0.6594645 
0.2162671 0.2170333 
0.07782321 0.2106714 
1.209196 0.2341598 
0.04671322 0.1216379 
0.3353011 0.1464268 
0.297456 0.1824268 
0.8610042 0.3871526 
0.2355205 0.05231826 
0.0220838 0.08141908 
3.113984 0.285247 
0.4440241 0.07811407 
1.02132 0.5487497 
0.1124176 0.1303082 
1.84295 0.7968441 
1.677369 0.1710072 
0.09624181 0.3777999 
0.308536 0.6195436 
2.479808 0.2853173 
0.1362047 0.36074 
0.08460419 0.05516045 
0.9765292 0.4614149 
0.03086143 0.1439465 
0.1409906 0.2181795 
0.04059736 0.2978896 
1.026888 0.111363 
0.2781607 0.2385344 
0.4848203 0.09171273 
0.2987974 0.249734 
0.9334959 0.09771475 
1.480585 0.1464534 
0.3775945 0.3977546 
0.7616989 0.581097 
1.628949 0.3996914 
0.09373487 0.175375 
0.04585086 0.132706 
5.726828 0.2398941 
0.1794295 0.5901507 
0.7898298 0.1573485 
0.4003137 0.2049392 
0.5523525 0.05211985 
0.1269866 0.174023 
0.1514106 0.1489562 
0.9094521 0.2541652 
0.2677294 0.1224844 
0.3133696 0.2149417 
0.06368175 0.2936873 
0.159454 0.1792092 
0.2367091 0.2361317 
1.135389 0.4622746 
0.0348968 0.1442656 
20.54601 0.3331387 
0.4380182 0.06996182 
0.8004834 0.8407632 
0.5536779 0.09601043 
1.592641 0.1312843 
0.167578 0.09666755 
17.82025 0.2950725 
1.937583 0.3604963 
0.9054857 0.1628321 
0.6442681 0.7307062 
3.491785 0.2761355 
0.09357839 0.2158893 
0.2813656 0.05217202 
21.00141 0.1861549 
0.4704514 0.08015615 
0.2816466 0.4281629 
0.1091902 0.1223174 
0.6970262 0.09706067 
1.295782 0.3769359 
0.1937191 0.0480555 
0.2950264 0.1263552 
0.1729803 0.1884124 
0.3309281 0.1647422 
0.2481216 0.1171436 
1.071059 0.2182016 
2.281733 0.0684277 
0.02991421 1.128133 
1.870466 0.6843325 
0.7387872 0.0832437 
0.2934028 0.316547 
1.662029 0.03616619 
1.826386 0.06385738 
1.947151 0.2197445 
0.1124757 0.1621713 
0.45283 0.1776346 
0.05212155 0.1080473 
0.1009118 0.157245 
0.2970309 0.1231124 
1.832789 0.209261 
