p_1 p_2 p_3 p_4 
0.04994634 0.7077771 0.1588783 0.08339822 
0.06469921 0.7304442 0.1692548 0.03560179 
0.05148167 0.7569505 0.1247125 0.06685532 
0.02661667 0.7214905 0.2260514 0.02584142 
0.01520271 0.7414239 0.1715308 0.07184259 
0.00457874 0.7342912 0.1957663 0.06536381 
0.0749312 0.7935799 0.1242742 0.007214699 
0.05668254 0.7731401 0.06505015 0.1051272 
0.07681119 0.8216831 0.09720298 0.004302717 
0.09614475 0.7723751 0.1269812 0.004498948 
0.09217906 0.8479018 0.0527702 0.007148937 
0.01972409 0.7896226 0.1518 0.03885328 
0.005101242 0.8203451 0.1227094 0.05184425 
0.005774556 0.8366494 0.1089709 0.04860515 
0.02968898 0.8143735 0.1237606 0.03217684 
0.03930686 0.7079862 0.2156694 0.03703752 
0.002732881 0.7735289 0.117746 0.1059922 
0.003578306 0.7685791 0.161351 0.06649161 
0.01123311 0.7839241 0.09779574 0.1070471 
0.09571726 0.7725778 0.1249202 0.00678472 
0.03290613 0.8424111 0.1141845 0.01049826 
0.03036583 0.778144 0.174385 0.01710518 
0.0920523 0.6762878 0.223753 0.007906897 
0.03234673 0.813927 0.1104114 0.04331481 
0.03971406 0.778436 0.1420423 0.03980765 
0.04407252 0.7860057 0.08263743 0.08728438 
0.09935311 0.6783329 0.2162697 0.006044234 
0.07330313 0.8226736 0.08211878 0.02190454 
0.09248811 0.7464507 0.15772 0.003341172 
0.06599335 0.7829946 0.1329038 0.0181082 
0.0444216 0.7720358 0.1638156 0.01972703 
0.07962447 0.8454592 0.06460019 0.01031613 
0.0782794 0.7560629 0.1600677 0.005590038 
0.06407502 0.7669798 0.1643298 0.004615397 
0.1426157 0.6759995 0.1617718 0.01961306 
0.06629979 0.719865 0.1210055 0.0928297 
0.03053851 0.7984961 0.1336247 0.03734066 
0.07318371 0.714489 0.2078525 0.004474797 
0.06219922 0.7769629 0.153751 0.007086843 
0.03341461 0.702729 0.2565043 0.007352147 
0.07855993 0.7567091 0.1581993 0.006531715 
0.02904354 0.7908072 0.1082681 0.07188117 
0.07742727 0.7450104 0.1355805 0.04198187 
0.02445115 0.8207452 0.1474081 0.007395484 
0.05242352 0.72929 0.2131664 0.005120038 
0.0623844 0.7710226 0.1392514 0.02734167 
0.09644826 0.7819017 0.1209341 0.0007159949 
0.04569221 0.7781631 0.1253551 0.05078965 
0.015882 0.695025 0.2626893 0.02640375 
0.003985771 0.8303397 0.1532935 0.01238095 
0.0405179 0.7458006 0.1915745 0.02210705 
0.06913821 0.8141453 0.0975143 0.01920217 
0.07919015 0.7142957 0.1982186 0.008295549 
0.08251272 0.7967976 0.1199366 0.0007531115 
0.01614424 0.7984455 0.1846751 0.0007351714 
0.08578919 0.8033175 0.1039063 0.006986969 
0.02971888 0.7152769 0.2339039 0.02110027 
0.000662475 0.8145228 0.1037053 0.08110937 
0.03895227 0.7601764 0.1206476 0.08022372 
0.02264148 0.796639 0.1183746 0.06234491 
0.02765985 0.8533079 0.07695818 0.04207409 
0.001894937 0.8186514 0.1066561 0.07279752 
0.009556107 0.8261914 0.1018774 0.0623751 
0.01298941 0.7679981 0.1951376 0.02387489 
0.028831 0.8190354 0.1035935 0.04854009 
0.0190872 0.7026405 0.2005762 0.0776961 
0.01378155 0.7787133 0.170732 0.03677316 
0.0007038425 0.7479192 0.2202064 0.03117061 
0.01601217 0.7898729 0.1220282 0.07208672 
