"beta1_1" "beta2_1" "beta1_2" "beta2_2" "beta1_3" "beta2_3" "beta1_4" "beta2_4"
-30.16826 -3.952139 30.3945 3.954395 -14.58295 0.7872339 14.55744 3.970404
-30.04034 -3.910179 30.18125 3.895775 6.235432 7.471644 14.84849 4.018674
-30.16545 -3.898929 29.97327 4.017758 7.013248 9.147591 14.51336 3.995839
-30.2047 -3.96668 29.93662 4.029795 -0.008681577 20.29283 14.55658 3.95224
-30.03174 -3.992681 30.19782 4.023164 -4.114654 3.820125 14.60074 3.984663
-30.30641 -3.910531 30.26097 4.032229 -4.649602 -3.507236 14.75876 3.943171
-30.01972 -3.881326 29.94428 4.084821 -0.2624711 0.2019909 14.92423 4.02236
-30.11941 -3.898701 29.84038 3.928237 6.253148 8.912449 14.44152 3.95495
-30.12546 -3.958385 30.02297 4.064949 13.3409 8.027218 14.6886 3.960887
-30.1666 -3.936759 29.97873 3.791431 -22.11664 -3.706858 14.68054 4.032204
-30.09174 -3.989357 30.0151 4.018289 22.05948 11.94005 14.73302 4.076661
-30.2485 -3.969862 30.07748 4.021449 -0.6072389 14.5539 14.76658 4.108277
-30.27141 -4.008479 30.00516 4.034968 14.6047 -20.13136 14.74767 3.98993
-30.25425 -3.962219 30.01469 3.906113 -24.44959 1.562422 14.84138 4.016305
-30.19628 -4.043429 29.97766 3.989534 -1.245721 9.925626 14.68724 3.956549
-29.77384 -3.933532 29.99695 3.97456 0.2305603 -16.07101 14.97184 4.068735
-30.33968 -3.859926 30.05021 4.017715 12.27836 12.11308 14.47463 3.939167
-30.02326 -3.941706 30.13452 4.121331 9.644655 0.9714682 14.55984 4.044296
-30.11613 -3.902252 29.96934 4.163352 -2.11308 7.116272 14.60354 4.043762
-30.19407 -3.887904 30.02489 4.021001 12.42181 -0.2921431 14.61883 3.927417
-29.88069 -4.002829 30.10407 3.929882 5.944488 -4.636956 14.83264 4.026343
-30.19101 -3.885211 30.06963 3.989801 5.972005 -8.215103 14.32347 3.992663
-30.31746 -3.867043 30.39818 3.798179 5.371931 -7.622529 14.29001 4.044333
-30.07856 -3.913011 30.19413 3.764287 -10.63939 -13.0312 14.34097 4.02816
-30.16523 -3.870356 30.45779 4.112833 -7.556476 11.8402 14.27921 3.964994
-30.07139 -3.921534 30.38495 3.870196 -4.237965 2.365866 14.32929 3.999867
-30.03341 -3.94851 29.96095 3.976161 6.017441 -2.870949 14.25516 4.069007
-30.21781 -3.971459 30.11907 3.959788 -7.559557 -3.665896 14.53958 3.944504
-30.04684 -3.857077 30.1939 3.939743 6.797139 -12.4326 14.72835 3.905098
-29.97306 -3.919542 30.18014 4.076671 -9.004876 -9.059025 14.80354 4.023312
-30.37453 -3.930179 29.97421 3.97916 2.325379 -4.499035 14.31212 3.993004
-30.13571 -3.979196 29.87972 3.933926 -11.99288 -3.269135 14.65654 4.042932
-30.07225 -3.93996 30.15004 3.97895 6.294523 -10.90415 14.74734 3.946244
