"tau2_1" "tau2_2" "tau2_3" "tau2_4"
18630.92 0.05163013 0.08471805 0.1061995
662.4572 0.03777386 0.1091103 0.1006602
67389.67 0.03392562 0.07572006 0.07998793
55.66082 0.06814709 0.0994345 0.1271398
0.132064 0.1931209 0.09636171 0.127135
0.9012608 0.0876168 0.07214351 0.1283358
0.3865209 0.05439808 0.08333448 0.1644373
242.0831 0.03976162 0.1057837 0.2122143
60.31189 0.1065782 0.067104 0.1289271
2.536041 0.07116479 0.07634023 0.1311584
645087.9 0.06203447 0.08108625 0.1303871
7012.941 0.06066607 0.126489 0.08879084
0.0247057 0.02838458 0.05307772 0.1373735
1983.269 0.04365604 0.1430321 0.1796127
2561.771 0.07627359 0.084558 0.146765
18.35352 0.07997864 0.08585723 0.1404364
1338.59 0.1377218 0.1436757 0.1733765
13.44777 0.08903822 0.114939 0.1018914
134.0888 0.111918 0.0466993 0.1428667
7617.55 0.03841891 0.0336286 0.1541208
2.987228 0.0674761 0.10589 0.2029628
0.02329733 0.01046143 0.02175242 0.101872
0.5718276 0.09005138 0.1678021 0.1615143
4.449097 0.04398583 0.07319824 0.1231329
0.7287713 0.04049347 0.03044013 0.1959422
0.05114517 0.02492963 0.03567198 0.1549452
0.05130433 0.5704135 0.0464342 0.08808401
1005.891 0.02833148 0.05420333 0.1264845
1.590753 0.0333005 0.05480768 0.2065869
0.07360385 0.02934512 0.01426303 0.1418299
0.3552529 0.07111042 0.03856217 0.1265125
16041358 0.02902766 0.08493314 0.1381583
108.1735 0.265086 0.07165121 0.2247115
170.4965 0.07871583 0.1314216 0.1350807
0.2757162 0.1306338 0.06423605 0.09906208
0.07302963 0.0401745 0.1586315 0.1324906
0.6035928 0.2926765 0.03960254 0.1150722
7.743865 0.0496156 0.01584049 0.1176535
23.98618 0.03234298 0.01713205 0.1871778
1.949691 0.06573921 0.0347442 0.07630881
736.6559 0.03391087 0.1095847 0.1439288
163.1334 0.04417564 0.2802514 0.1177686
0.138634 0.04547414 0.05571159 0.1662443
7.573827 0.1195305 0.06311835 0.1874778
8.695288 0.03528035 0.02556621 0.1327853
17.19354 0.1317473 0.1719371 0.1202439
379.3053 0.03040318 0.116713 0.136823
30.83303 0.02587721 0.09770382 0.1492954
1518431558 0.02066458 0.17101 0.1876832
5.894423 0.0469199 0.1439966 0.1863857
147814.8 0.01751935 0.1865766 0.197501
4775.198 0.03026424 0.1288805 0.1393876
588.0439 0.05566119 0.06254951 0.2424774
0.3509297 0.03900365 0.01176903 0.2412341
177.9335 0.02370704 0.07206947 0.1450755
0.753033 0.1048815 0.04747728 0.08581174
4.078242e+14 0.1148021 0.0541091 0.102108
17334.38 0.05578891 0.04709028 0.1742672
5345092938 0.01831702 0.259509 0.07137176
1606.909 0.02846186 0.06696727 0.1253916
0.1514387 0.05436043 0.06689919 0.1200361
0.3882822 0.1516052 0.04470031 0.1030844
1224788 0.03765046 0.168345 0.1268296
1.436368 0.04049551 0.2201787 0.08469128
0.2903435 0.1931036 0.04117706 0.1309424
16.67716 0.133235 0.04254596 0.1411758
34443.58 0.01755288 0.1504269 0.07639321
0.1464104 0.08568443 0.09269392 0.1854797
0.5843179 0.08389032 0.05032556 0.1226139
48.24549 0.07684711 0.08537742 0.1288969
4479285541 0.02139354 0.1721024 0.1486145
1430.214 0.09488105 0.05661458 0.1421571
0.0614516 0.06141151 0.07659184 0.1227259
0.2449278 0.1088628 0.1098788 0.1136653
14.0095 0.06041657 0.1271814 0.09326365
107.5831 0.05459006 0.03658941 0.1103626
63480.69 0.02613972 0.0324275 0.1078766
6.430613 0.1200039 0.1039674 0.1436506
1.132763 0.06766095 0.08024933 0.124979
0.2405395 0.05600078 0.03237125 0.07280682
2.924068 0.1221177 0.1267793 0.0835698
37.16042 0.03965072 0.05443599 0.09755495
5.927968 0.4483135 0.0185813 0.1487695
0.24904 0.1146123 0.05150196 0.1463606
14.50311 0.02210913 0.05631312 0.1097462
27.25726 0.02968329 0.01893511 0.1307955
3.924117 0.05785257 0.0796817 0.1630834
15097.65 0.02748049 0.1348833 0.1348195
7.530821 0.1035892 0.1738618 0.1712418
1.856976 0.05064651 0.1682425 0.2724505
0.08473982 0.149083 0.0843107 0.1742897
10.02256 0.1488023 0.1484903 0.142305
1.05366 0.07395135 0.06485038 0.1131138
45.72191 0.03876701 0.06059219 0.06868036
7.575011 0.0635796 0.03588301 0.08315824
0.04486894 0.0242045 0.01718816 0.1251683
5.119832 0.026777 0.04653222 0.1308971
519.4199 0.01901069 0.0708551 0.1183219
