"res" "LCI" "UCI"
-0.847294105260406 -0.932815570253369 -0.765890758595259
-0.844366885228315 -0.929497555706523 -0.763641145212733
-0.841105699607116 -0.925924673052366 -0.760040615202699
-0.837802002211067 -0.922286853479573 -0.757378813854659
-0.834521411314027 -0.919578542993441 -0.752979226099526
-0.831418384184925 -0.916470886873658 -0.750300483872081
-0.828234514038941 -0.91394249264316 -0.747366468322232
-0.825248561962699 -0.911814260686335 -0.744034180970267
-0.822296753636188 -0.907951435433255 -0.74051908878953
-0.81886381183984 -0.905314631536888 -0.737290794137713
-0.815284376332839 -0.901162464909812 -0.733972107888523
-0.811648615199535 -0.897306136624761 -0.729964499492997
-0.807889669382772 -0.893132585544906 -0.725820918019719
-0.803797321184108 -0.888358194750138 -0.721721541746782
-0.799769459726023 -0.884130898402167 -0.716471448465383
-0.795501297800478 -0.880122254990854 -0.712799220107279
-0.790997272263248 -0.874535351419458 -0.706947415764204
-0.786122447330653 -0.868456366624055 -0.701486262382892
-0.781609099656417 -0.864101207013374 -0.697487780371421
-0.776540257576012 -0.860036929124675 -0.690777725388888
-0.771564918822972 -0.855062912336624 -0.686505409498964
-0.767108074789612 -0.852322077817711 -0.681526456144561
-0.762359265564564 -0.848121274722416 -0.676806814208533
-0.757915370149737 -0.843723117773797 -0.671651214658506
-0.753938346666636 -0.840616660716288 -0.66738040489302
-0.750536900641295 -0.838391279449875 -0.664148661276073
-0.747202665350446 -0.835076230219464 -0.659371800372906
-0.744153011689951 -0.831815672892974 -0.654972342799126
-0.741179874376028 -0.829847144500271 -0.64950513046473
-0.738512599068001 -0.826793828101724 -0.645994702858828
-0.735660381889587 -0.823454461578363 -0.642423194028193
-0.732895367530067 -0.820061796394843 -0.638031558696251
-0.729782069528872 -0.816436325205977 -0.63385184622777
-0.726384600545006 -0.81447038046054 -0.629383993511402
-0.721006883917392 -0.80824356660497 -0.624319251896491
-0.716878221291336 -0.804757053941578 -0.619569747063676
-0.712349869376201 -0.800364456171026 -0.613966012655631
-0.707650889435107 -0.796933692932095 -0.610042497993003
-0.703205037779747 -0.793410225729057 -0.60533561311905
-0.699672789670647 -0.789990380189137 -0.599115351873309
-0.695592624451797 -0.786698824972815 -0.594363647285389
-0.691521972897863 -0.783383734234106 -0.588667413266247
-0.688834956274904 -0.780806540044005 -0.585468126640039
-0.68601921837286 -0.77805000469265 -0.582036010511465
-0.682647763165187 -0.775286206937822 -0.577965022632001
-0.678904427859876 -0.77181374326369 -0.573838099683408
-0.675458080318971 -0.770201311794709 -0.569236009533856
-0.672545676249615 -0.767691056641199 -0.565930248152345
-0.668987178141608 -0.764473604337454 -0.560651431900423
-0.665941648330496 -0.76222331243202 -0.557332191031867
-0.663189877932159 -0.759709550678994 -0.55463420289855
-0.660141561430141 -0.755796812344932 -0.550964161442549
-0.656919260851836 -0.753303915065062 -0.545983684242162
-0.653145543082276 -0.750237869001442 -0.543173471640141
-0.648842463152617 -0.747597995435481 -0.539672593585331
-0.64486249364016 -0.74514888757648 -0.534903114576616
-0.641839849750914 -0.743347374793506 -0.531163289388599
-0.63886201783133 -0.740064732187291 -0.526954395380966
-0.635754303095201 -0.736706313006925 -0.524352801022114
-0.632574628822869 -0.735029278747618 -0.519199455066786
-0.629702113357854 -0.733214590648068 -0.515775474830314
-0.627434817059817 -0.731360767778098 -0.514580440249336
-0.625186897022268 -0.729406562354767 -0.51084967816894
