beta1_1 beta2_1 beta1_2 beta2_2 
18.70654 5.399736 -29.81269 -3.774642 
18.77357 6.3887 -29.90306 -4.079988 
21.93184 4.766316 -30.3913 -4.004935 
21.35181 3.640075 -30.35409 -4.028878 
20.18101 4.165723 -29.58471 -3.856565 
18.23217 7.203953 -30.26471 -3.965549 
21.69055 -0.04848524 -30.41777 -3.778109 
17.22393 4.681857 -29.47592 -4.168821 
20.43497 5.678104 -30.63706 -3.917106 
19.80854 4.18969 -29.40638 -3.922294 
16.613 5.788192 -29.76292 -4.065773 
21.04101 2.723613 -29.60159 -3.811117 
17.14591 5.663704 -29.85431 -3.805121 
17.47287 2.564093 -30.78416 -3.936029 
18.23323 3.405087 -30.79857 -3.713304 
17.36085 4.65983 -29.73728 -3.94553 
17.21925 4.860149 -31.5868 -3.789222 
18.5596 2.31974 -29.78302 -3.751109 
18.36337 3.863051 -30.41025 -4.081057 
18.63374 2.419113 -30.0962 -3.880422 
18.17038 4.655486 -30.31369 -4.041761 
17.33487 5.703948 -29.41006 -4.115577 
19.33998 2.623705 -29.09415 -3.770926 
19.45885 5.628223 -29.5712 -3.783862 
20.42455 3.215615 -29.4719 -3.949249 
26.15745 1.838916 -30.45163 -3.988491 
19.84963 4.748197 -29.76802 -3.908402 
19.33406 4.279809 -30.09575 -3.922029 
19.90158 3.895122 -30.6367 -3.834142 
19.42451 7.588256 -29.28682 -4.029661 
15.51413 6.581858 -30.07646 -4.009275 
16.86025 5.936351 -29.89458 -4.191797 
18.19613 2.957 -29.722 -3.985175 
20.92103 3.268638 -30.84654 -3.897986 
18.51386 5.287953 -31.11189 -3.776743 
20.4569 4.193475 -31.0211 -3.802887 
18.2996 1.520697 -30.45381 -4.077626 
20.25185 4.307838 -32.64981 -4.002536 
19.10301 3.851524 -29.79905 -3.96633 
19.74561 5.940089 -31.51299 -3.931268 
17.09596 5.919654 -30.83915 -3.96591 
20.16354 8.749734 -32.8123 -3.980458 
17.39096 5.799731 -30.03054 -4.146342 
18.20808 6.002187 -31.03652 -3.712982 
17.68835 3.237612 -29.67005 -3.888259 
20.5481 5.039281 -32.6586 -4.125243 
19.05727 3.513171 -31.91716 -4.120555 
18.51515 5.371828 -29.62802 -3.779368 
20.44425 4.341276 -31.49923 -4.016772 
17.47143 4.857122 -29.31925 -4.065793 
19.12695 4.715341 -29.94036 -3.965422 
18.64185 3.713431 -30.92579 -3.730531 
21.80107 5.14465 -31.21608 -3.835979 
17.24012 6.132368 -29.61147 -3.901713 
18.63218 3.566566 -30.20987 -3.880172 
18.97615 1.847868 -30.36561 -3.92282 
16.88472 6.194968 -29.8501 -3.864062 
17.46351 7.160892 -30.05669 -3.886615 
20.49359 5.146493 -31.35337 -4.061258 
18.88449 4.952384 -30.48016 -3.984264 
22.45556 4.212664 -31.78954 -3.992391 
19.28542 4.915499 -31.18899 -3.73444 
17.03311 4.927407 -29.82529 -3.783315 
20.20274 5.206642 -30.46748 -3.908705 
19.71867 7.476806 -30.27475 -3.858632 
20.71576 5.120668 -31.35841 -3.92759 
18.35376 7.186344 -30.25397 -3.86273 
19.36034 3.072147 -29.81983 -3.733222 
23.15902 2.145087 -30.12548 -4.058255 
18.12218 4.126532 -30.80646 -3.971293 
24.13028 5.382893 -32.66848 -4.01116 
19.2071 6.218664 -29.84394 -3.967047 
20.22427 10.22167 -30.51188 -4.066892 
19.15571 6.472025 -31.04225 -4.062746 
17.33275 3.695667 -31.05503 -3.812648 
19.08597 4.363089 -36.00276 -3.946774 
20.85184 3.537794 -30.20248 -3.963801 
25.00026 2.183169 -30.49719 -3.969073 
18.9298 7.202267 -29.49751 -3.911177 
17.61164 5.616127 -30.18617 -3.96945 
19.38294 2.470056 -29.66272 -3.933369 
17.80753 3.882869 -29.81285 -3.913022 
20.42949 3.174745 -30.52324 -4.033192 
17.52075 7.080456 -30.4899 -3.476858 
18.29476 5.083028 -29.75106 -4.012017 
21.87199 5.760743 -29.8565 -3.998369 
21.46184 2.359539 -29.99768 -3.765039 
19.63205 3.463869 -31.52393 -3.763872 
18.6544 7.315528 -31.14415 -3.999477 
16.62384 6.676782 -29.82446 -4.042441 
24.41455 3.846953 -32.37494 -4.005388 
18.19544 3.647828 -32.19499 -3.713671 
23.90337 3.346617 -32.60092 -4.035124 
18.85552 4.096061 -30.16707 -3.88041 
17.5326 4.003535 -30.82893 -3.996191 
17.10931 4.993803 -30.32633 -3.780534 
19.43795 3.336087 -30.04026 -3.962275 
19.38703 6.394553 -29.93436 -3.901559 
17.84468 6.785289 -29.59318 -3.698846 
15.50578 6.563523 -29.55583 -3.73297 
20.51952 4.064151 -30.05617 -4.071082 
17.02328 7.230758 -30.09945 -3.783743 
19.69453 4.999508 -30.36065 -3.974634 
20.98786 4.633273 -29.64939 -3.913657 
20.87781 7.207938 -30.22631 -3.890592 
20.04988 6.109753 -29.9073 -4.053004 
21.74456 6.28024 -31.28861 -3.831657 
27.1808 7.219887 -33.46126 -3.740004 
20.209 3.014201 -30.26475 -3.917016 
22.13779 2.618 -29.50744 -3.759649 
28.88437 3.375161 -31.07267 -3.833129 
35.04538 4.524563 -38.60038 -3.515131 
19.38127 5.316028 -29.98391 -3.764207 
18.41648 7.590562 -30.35629 -3.713139 
19.10764 4.702204 -29.70538 -3.625231 
18.58944 4.905158 -29.8592 -3.950874 
17.35899 4.901116 -30.95925 -3.669392 
16.31152 10.38203 -29.65331 -3.779106 
20.87498 3.562517 -29.9992 -3.502929 
20.90403 2.85593 -30.12554 -3.890968 
20.78696 4.959685 -31.13625 -3.963773 
19.79004 5.971647 -30.69526 -3.934776 
18.77697 6.044153 -30.48677 -3.975854 
17.33433 6.803522 -29.67662 -3.783472 
18.75419 6.790323 -30.88275 -3.846863 
18.12299 5.212828 -30.67747 -4.071697 
18.44883 4.251731 -29.93324 -3.868687 
20.49961 4.363867 -30.51563 -3.932789 
21.14381 2.329594 -30.22975 -3.910048 
20.67046 8.932528 -30.43763 -3.880002 
20.51298 3.297316 -29.50572 -3.812364 
26.98361 -1.070031 -30.55895 -3.809259 
27.4013 5.373744 -31.28444 -3.780356 
21.69231 3.923538 -29.5116 -3.726419 
43.60852 3.973894 -57.77774 -3.985334 
18.53942 4.762327 -31.16054 -4.119184 
19.52672 5.048542 -31.01418 -4.062772 
21.63714 9.55773 -29.55503 -3.932226 
-602.2897 4.144204 182.4339 -4.023715 
20.99744 3.464698 -29.4479 -4.075599 
22.55411 3.983548 -30.1083 -3.904261 
21.68441 3.879805 -29.67918 -3.94496 
20.7473 10.05444 -30.20276 -3.804351 
16.42532 5.187122 -29.86638 -4.031518 
23.56252 4.75136 -30.66259 -3.900582 
21.72516 2.877464 -30.61489 -4.211949 
18.3904 4.631678 -31.42471 -3.683028 
17.63295 6.947254 -29.32801 -3.648801 
18.14027 5.279449 -29.68448 -3.718412 
18.85652 3.896164 -29.96684 -3.986867 
19.61603 1.000358 -29.64632 -3.824352 
20.6161 4.04655 -31.24281 -3.751438 
19.24558 2.548268 -29.86525 -3.963193 
19.57856 5.203511 -30.16431 -4.004059 
20.50029 4.891281 -30.06 -3.77275 
18.22087 4.470419 -29.79356 -3.962165 
20.29286 5.674083 -32.82681 -4.141618 
18.82657 3.991666 -31.25713 -4.142492 
18.25073 7.055302 -30.06491 -3.928211 
17.27587 5.7436 -29.7446 -3.905067 
21.36187 3.098907 -31.50465 -3.850556 
18.22843 4.055203 -30.16088 -3.903004 
16.35381 -0.149323 -30.42162 -3.901858 
20.0164 6.384537 -29.71992 -3.589341 
20.0403 7.375679 -29.97874 -3.839036 
20.97184 6.783218 -29.54949 -4.189843 
22.6619 3.40159 -29.90655 -3.993385 
23.39581 4.898274 -29.74031 -4.149385 
24.66959 3.65486 -29.9161 -4.069589 
23.87492 6.939768 -29.13846 -4.011497 
24.50935 6.587706 -29.65716 -3.906984 
24.54405 6.43413 -29.36261 -3.869844 
24.16558 6.521443 -30.48046 -4.193175 
25.49447 5.221681 -30.00078 -3.574756 
27.78141 6.515385 -30.5122 -4.181451 
25.61228 6.211566 -30.24751 -3.957899 
24.38817 5.944828 -30.10588 -4.02552 
