"beta1_1" "beta2_1" "beta1_2" "beta2_2"
18.39587 4.21912 -30.56595 -3.960341
18.1516 3.834814 -30.43306 -3.900588
18.23365 3.959446 -30.21318 -3.888367
18.18391 3.952485 -30.50962 -3.857057
18.5239 3.479148 -30.34765 -3.890939
18.41644 3.972372 -30.07615 -3.863045
18.34593 3.83567 -30.71258 -3.943971
19.52784 4.012909 -30.2541 -3.954543
18.6341 3.811569 -30.19661 -3.896823
18.59617 3.99285 -30.67934 -3.873002
18.43515 3.885757 -30.12071 -3.9429
17.83972 3.610658 -30.24558 -3.913551
18.35751 3.63454 -30.1059 -3.9792
19.15148 4.144699 -30.30361 -3.894978
18.7398 3.758042 -30.38076 -3.864038
18.37795 3.569572 -30.30304 -3.879358
17.93428 4.102178 -30.31982 -3.872489
18.98457 3.87584 -30.15491 -3.954309
17.98302 3.251794 -30.18511 -3.86505
18.15188 3.934846 -30.41341 -3.939569
17.624 3.935325 -30.49041 -3.838651
18.56839 4.361413 -30.32065 -3.943545
19.1988 4.09839 -30.77013 -3.972637
19.82088 3.386158 -30.56642 -3.85357
18.82344 4.166297 -30.34896 -3.891227
18.27209 4.229311 -30.07351 -3.894614
17.67821 4.219093 -30.35813 -3.901143
17.99672 3.791879 -30.19431 -3.916113
19.34977 3.854881 -30.22239 -3.888025
19.14756 3.729504 -30.29703 -3.969482
18.1732 3.881643 -30.5558 -3.907856
17.73909 3.661596 -30.06873 -3.894129
18.51032 3.782759 -30.16557 -3.999142
19.09742 3.57014 -30.36334 -3.994561
17.57431 4.116201 -30.32495 -3.926109
17.38639 3.746314 -30.07852 -3.956383
18.39476 3.592587 -30.41093 -3.947543
18.64973 4.346569 -30.11745 -3.830715
18.8307 4.260214 -30.24602 -3.944215
18.74435 3.884689 -30.29637 -3.951888
18.38264 3.518967 -30.41642 -3.970127
18.28071 4.265994 -30.31914 -3.964363
18.24164 3.903851 -30.16087 -3.955072
17.59671 4.047793 -30.32465 -3.951125
18.41884 4.34802 -30.3022 -3.903253
19.05485 3.839904 -29.88561 -3.979283
18.67475 3.873817 -30.37518 -3.952817
18.545 3.624807 -30.13357 -3.946339
18.54521 3.933977 -30.33004 -3.975272
18.37826 4.08286 -30.67865 -3.881808
18.52662 3.759073 -30.57137 -3.885586
18.57067 3.872363 -30.02612 -3.878726
18.26107 3.657549 -30.23989 -3.900809
18.63362 3.579566 -30.10752 -4.026339
17.74185 3.802199 -30.10671 -3.893514
18.07855 4.081527 -30.35859 -3.90587
19.13635 4.153805 -30.21196 -3.953981
18.83662 4.024989 -30.68461 -3.894404
18.97493 3.959894 -30.27129 -3.873348
18.59801 3.849725 -30.22745 -3.913581
18.5539 4.157025 -30.18042 -3.915119
17.89817 3.942818 -30.21628 -3.946015
18.50679 4.043973 -30.26413 -3.888103
18.14512 3.627529 -30.69073 -3.890314
