"p_1" "p_2" "p_3" "p_4"
0.1642993 0.001599208 0.04916201 0.7849395
0.173347 0.001348693 0.06877709 0.7565272
0.1734789 0.002209645 0.05397907 0.7703324
0.159515 0.002245434 0.05147903 0.7867605
0.1488418 0.01243346 0.06115475 0.77757
0.1656567 0.00258207 0.05263621 0.779125
0.1721289 0.006711763 0.05571957 0.7654398
0.1777848 0.0001359497 0.04082083 0.7812584
0.1670115 0.001303894 0.05375226 0.7779324
0.1477547 0.0008279497 0.06873676 0.7826806
0.149053 0.001000313 0.06195579 0.7879909
0.1655256 0.0003683486 0.05234458 0.7817615
0.1437894 0.01302274 0.04794292 0.795245
0.1586446 0.001571721 0.04719087 0.7925928
0.1744175 0.0005822859 0.04621542 0.7787848
0.1610235 0.0009573497 0.05568742 0.7823317
0.178329 0.001650437 0.04810642 0.7719141
0.1644906 0.0002974206 0.0523116 0.7829004
0.1337812 0.002324229 0.0620069 0.8018877
0.1639536 0.0004591835 0.06169734 0.7738898
0.1427022 0.004389853 0.05448258 0.7984254
0.1646287 0.001661614 0.05715316 0.7765565
0.1575947 0.001841515 0.05135108 0.7892127
0.1782974 0.0009978389 0.04999807 0.7707067
0.1529114 0.0008685619 0.05468616 0.7915339
0.1771077 0.002268624 0.05182083 0.7688029
0.1402663 0.0002075638 0.04158926 0.8179369
0.1620295 0.002533207 0.05319057 0.7822468
0.1591969 3.20003e-05 0.04362317 0.7971479
0.1716079 0.00133442 0.05018016 0.7768775
0.1623379 0.0008746354 0.05786857 0.7789189
0.1501265 0.01369276 0.05275778 0.783423
0.1681151 0.000970077 0.0643004 0.7666144
0.1764236 3.873571e-05 0.04854109 0.7749965
0.162788 0.0007607464 0.05776697 0.7786843
0.1640617 6.080488e-05 0.05255392 0.7833236
0.1549129 0.002947444 0.04073487 0.8014047
0.1403552 0.0001370499 0.06397537 0.7955324
0.1548707 0.000165837 0.05371385 0.7912496
0.1639344 0.002138073 0.05211686 0.7818106
0.1473527 0.01008939 0.05442869 0.7881292
0.1750198 0.002570839 0.05215601 0.7702534
0.1626993 0.002124076 0.05272616 0.7824505
0.1855339 0.0005846308 0.04923396 0.7646475
0.158165 0.004331509 0.05029057 0.787213
0.1741465 0.004891717 0.05791401 0.7630477
0.1756221 0.000107968 0.05556503 0.7687049
0.1858943 0.002507022 0.03944521 0.7721534
0.1572843 0.0005602645 0.04978755 0.7923679
0.1619789 0.004683466 0.06199181 0.7713458
0.1526588 6.004229e-05 0.05741137 0.7898698
0.1680286 0.002260039 0.05125901 0.7784523
0.1402991 0.004561728 0.06000302 0.7951361
0.1692554 0.0008539126 0.04133487 0.7885558
0.1636546 0.002200113 0.04708577 0.7870595
0.1578336 0.002096613 0.05479832 0.7852715
0.1497126 0.006792782 0.05152483 0.7919698
0.1520057 0.0014141 0.06103211 0.7855481
0.1829514 0.002426641 0.05284358 0.7617783
0.167003 0.01203968 0.06830325 0.7526541
0.1641108 0.000219164 0.04610748 0.7895626
0.1543383 0.001686027 0.05084327 0.7931324
0.1644175 0.004945966 0.06215024 0.7684863
0.1449137 0.0006690231 0.04865242 0.8057648
0.1725029 0.0008485566 0.05221224 0.7744363
0.1637668 5.46454e-05 0.0611536 0.7750249
0.1559163 0.003618811 0.073226 0.7672388
0.1571529 0.001977784 0.06411761 0.7767517
0.1580365 0.004992709 0.05619437 0.7807764
0.1553418 0.001553264 0.04661039 0.7964945
0.1655827 0.001427751 0.05712601 0.7758636
0.1548663 0.006500577 0.05798462 0.7806485
0.1702617 0.001343426 0.05718307 0.7712118
0.1652454 0.002160099 0.04945559 0.7831389
0.1598884 0.000202377 0.05384648 0.7860627
0.1791177 6.518766e-05 0.05559615 0.765221
0.1691817 0.004977183 0.0527408 0.7731003
0.1663793 0.001376521 0.05543467 0.7768095
0.1467927 0.0006525245 0.06436486 0.7881899
0.1792307 0.002996599 0.0557491 0.7620236
0.1555693 0.006198692 0.05292267 0.7853093
0.1688028 4.144779e-05 0.06230678 0.7688489
0.1739982 0.0004793391 0.05839702 0.7671254
0.1817389 0.0009716528 0.04445548 0.772834
0.1604142 0.0003491451 0.05877235 0.7804643
0.1711032 0.004803545 0.06596008 0.7581332
0.1640711 0.001809532 0.06182669 0.7722927
0.1636689 8.178224e-05 0.04874641 0.7875029
0.1418924 0.004032075 0.03915607 0.8149195
0.1691678 0.001476734 0.06288405 0.7664714
0.1593631 0.002729531 0.05961311 0.7782943
0.1872028 0.00192957 0.05442003 0.7564476
0.1623194 0.0001110474 0.03874892 0.7988206
0.1705647 0.002642269 0.0412702 0.7855228
0.1494855 0.001946617 0.05796584 0.7906021
0.1555147 0.002070382 0.0560127 0.7864022
0.1884842 0.000334279 0.04601234 0.7651691
0.1663449 0.003478002 0.05167218 0.7785049
0.1611633 0.0003089188 0.04877367 0.7897541
0.1716733 0.0006087922 0.05171596 0.7760019
0.1684768 0.001843716 0.06028193 0.7693976
0.1952918 0.003316357 0.04766622 0.7537257
0.169642 0.001604235 0.04719185 0.7815619
0.1336119 0.0221533 0.05622861 0.7880062
0.1202019 0.05720605 0.03994119 0.7826508
0.05292833 0.1157736 0.03120111 0.800097
0.03969331 0.1308692 0.0462341 0.7832034
0.003493423 0.1834696 0.05632631 0.7567107
4.22239e-06 0.1610472 0.0441639 0.7947847
6.754535e-05 0.1492883 0.06906926 0.7815749
0.0007391932 0.1424814 0.05874051 0.7980389
0.003690455 0.1712604 0.04677766 0.7782714
0.003729445 0.1667133 0.05686701 0.7726902
1.122981e-05 0.1634532 0.05219209 0.7843435
0.0009250085 0.1516131 0.04578526 0.8016766
0.001054478 0.176421 0.06102087 0.7615036
0.0003999211 0.1591267 0.05223106 0.7882424
0.0004171598 0.1514715 0.06976269 0.7783487
0.000885417 0.1810544 0.04601895 0.7720413
0.04918621 0.1164414 0.03893718 0.7954352
0.001679872 0.176231 0.05484758 0.7672415
0.005552678 0.1557177 0.06255815 0.7761714
0.001334221 0.1690402 0.04779614 0.7818295
0.002544988 0.1562148 0.05514549 0.7860947
0.001032742 0.1689807 0.05991535 0.7700712
0.0001565419 0.1716244 0.05207827 0.7761408
0.0004608732 0.1679834 0.04657159 0.7849841
0.001608842 0.1645563 0.05098748 0.7828474
0.003647874 0.1382279 0.058729 0.7993952
6.820778e-05 0.1662759 0.05646824 0.7771876
0.0001554546 0.1972885 0.04791767 0.7546384
0.0004107418 0.1609967 0.05695435 0.7816382
0.002959819 0.1852262 0.04711469 0.7646993
0.001037758 0.1496964 0.05159904 0.7976668
0.001688769 0.149522 0.05778539 0.7910038
0.000203946 0.1554596 0.04687185 0.7974646
0.0001147895 0.1692202 0.05578522 0.7748798
0.0005492731 0.1749834 0.05303713 0.7714302
0.002151013 0.1820368 0.04395752 0.7718547
0.0030798 0.1673693 0.04872091 0.78083
0.001825939 0.1692162 0.05635505 0.7726029
0.0001726692 0.1555081 0.06145935 0.7828599
0.0002264573 0.174144 0.0486499 0.7769796
0.0008122091 0.1623906 0.04835996 0.7884372
0.002566259 0.1579338 0.04923749 0.7902625
0.0005766206 0.155259 0.05632333 0.7878411
0.003536415 0.1620859 0.05007475 0.784303
0.003093328 0.1730104 0.0586858 0.7652105
0.0002960406 0.1555576 0.04305612 0.8010903
0.004779727 0.1548476 0.04241834 0.7979543
0.0001468194 0.1644918 0.05640309 0.7789583
0.01217355 0.1699558 0.05175079 0.7661199
0.0008159079 0.1888882 0.05884855 0.7514474
0.0006068716 0.1616207 0.04917422 0.7885982
0.000657105 0.1958274 0.04930229 0.7542132
0.002452623 0.1504817 0.05369925 0.7933665
0.0011191 0.1609869 0.06385376 0.7740402
0.0007040431 0.1648758 0.05761873 0.7768015
0.001076557 0.1656121 0.05617211 0.7771393
0.001178905 0.165061 0.05337738 0.7803827
0.006411567 0.1692905 0.06092818 0.7633698
0.001883868 0.145534 0.05447074 0.7981114
0.001696712 0.1679679 0.06349532 0.76684
0.0004922516 0.1841209 0.06285655 0.7525303
0.0002760002 0.1581106 0.04800305 0.7936103
0.0001332686 0.1591462 0.06384783 0.7768727
0.005646546 0.1507118 0.05157896 0.7920627
0.002440037 0.1530545 0.0489811 0.7955244
0.02303717 0.1502202 0.05049412 0.7762485
0.003009264 0.1596123 0.05428546 0.7830929
4.902584e-05 0.1715473 0.04095594 0.7874477
0.001810565 0.1459903 0.05234311 0.7998561
0.001361146 0.1518782 0.05641776 0.7903429
0.001429221 0.1799792 0.05453484 0.7640567
0.001365183 0.1518935 0.05364704 0.7930943
0.0001370299 0.1837385 0.04796356 0.7681609
0.0004506297 0.1589713 0.06043498 0.7801431
0.0008183653 0.1708944 0.05573122 0.772556
0.03529447 0.1384391 0.04659859 0.7796678
0.0001879665 0.1616247 0.05119233 0.786995
0.0008590412 0.1661447 0.05607743 0.7769188
0.002560871 0.1584647 0.05748967 0.7814848
0.0003532366 0.1735959 0.04903785 0.777013
0.0002180192 0.1563058 0.05721174 0.7862644
0.002701421 0.1815887 0.04329094 0.7724189
0.0198262 0.1333792 0.05025556 0.7965391
0.03798106 0.1058998 0.05279353 0.8033256
0.003850671 0.1736746 0.0452824 0.7771923
0.001800622 0.1677927 0.05223088 0.7781758
0.0001248087 0.1564636 0.05379998 0.7896117
0.002739468 0.1758366 0.06176687 0.7596571
5.330493e-05 0.1785411 0.05933602 0.7620695
0.002872935 0.1592441 0.05927885 0.7786041
0.001316357 0.1690917 0.05600982 0.7735821
0.0001943058 0.1753629 0.04500775 0.779435
0.001655073 0.1896248 0.06255891 0.7461612
0.009543177 0.1527745 0.06655554 0.7711268
0.007401718 0.1643551 0.05692519 0.771318
0.003418236 0.155486 0.05236021 0.7887356
0.003541014 0.1386175 0.06108654 0.7967549
0.002364906 0.1722354 0.04909996 0.7762997
0.009388154 0.1779136 0.04548117 0.767217
0.000812584 0.1730333 0.04700286 0.7791513
0.008019568 0.1817217 0.0546319 0.7556268
0.0001760052 0.1850807 0.06380388 0.7509394
0.006227044 0.167012 0.04853407 0.7782269
0.001178934 0.1763982 0.0531554 0.7692675
0.0006772196 0.1551573 0.06039113 0.7837744
0.0007791697 0.1795219 0.04633069 0.7733682
0.002763848 0.1545102 0.0626234 0.7801025
0.003228383 0.1414128 0.0583023 0.7970565
0.0001464019 0.1424127 0.04396101 0.8134799
9.533018e-05 0.1639134 0.04943748 0.7865538
2.343695e-05 0.1821029 0.05874656 0.7591271
0.0006102638 0.161431 0.04569429 0.7922645
4.427642e-05 0.1792945 0.0597207 0.7609405
0.002028926 0.1680351 0.04509972 0.7848363
3.605108e-05 0.1586481 0.05722223 0.7840936
0.0009881769 0.1551981 0.05344766 0.7903661
0.0002609996 0.1651717 0.04959271 0.7849746
0.002681312 0.155168 0.05670373 0.7854469
0.000113315 0.1536696 0.05979422 0.7864229
0.001287875 0.1608028 0.05142389 0.7864854
0.0005394306 0.160589 0.04691541 0.7919561
0.006061205 0.1558219 0.04803034 0.7900865
0.003562069 0.1531545 0.06570149 0.7775819
0.0009535606 0.1646635 0.04086426 0.7935187
0.0004342457 0.1567967 0.04849442 0.7942746
0.001010506 0.1678109 0.05731201 0.7738666
0.001936697 0.1563785 0.0564601 0.7852247
0.0003542591 0.1763245 0.05093982 0.7723814
0.004932853 0.162514 0.0459436 0.7866096
0.001237677 0.1541626 0.05832356 0.7862762
0.004014245 0.1619814 0.04096921 0.7930351
6.9707e-05 0.1616704 0.05645547 0.7818044
0.001459452 0.1748463 0.04586692 0.7778273
0.001584966 0.167499 0.04002396 0.7908921
0.003611255 0.1529407 0.06153741 0.7819106
0.004814128 0.1603306 0.04415348 0.7907018
0.0003470174 0.1660403 0.05407428 0.7795384
0.0008881994 0.161235 0.05462906 0.7832477
0.00297377 0.1667404 0.05125496 0.7790309
0.00448388 0.1544625 0.04868886 0.7923648
0.0009137916 0.1863514 0.05697931 0.7557555
0.000618172 0.1683554 0.04957992 0.7814465
0.0002197045 0.1736482 0.04733183 0.7788002
0.01820481 0.1449086 0.06684665 0.7700399
0.000340957 0.1774541 0.05924298 0.762962
0.0004452339 0.1606259 0.05393311 0.7849957
0.0004381575 0.1531708 0.05327347 0.7931176
0.00282397 0.1704302 0.04871212 0.7780337
0.003730002 0.1403079 0.04960943 0.8063527
0.002260422 0.1739884 0.04898601 0.7747651
0.0007965964 0.1794992 0.04696069 0.7727435
0.01212218 0.1444104 0.04427975 0.7991877
0.0007338726 0.1438133 0.04336838 0.8120844
0.004602143 0.1731475 0.04407345 0.7781769
0.0003392583 0.149008 0.05405703 0.7965957
