p_1 p_2 p_3 
0.3371952 0.3434775 0.3193273 
0.3261695 0.3593386 0.3144918 
0.3306401 0.5141541 0.1552058 
0.3089676 0.4348958 0.2561366 
0.247187 0.5078262 0.2449868 
0.3609093 0.4134263 0.2256644 
0.2615415 0.3651036 0.3733549 
0.3002862 0.3956878 0.3040259 
0.4255446 0.3146612 0.2597942 
0.2506359 0.5200337 0.2293303 
0.4229154 0.3612693 0.2158153 
0.3099726 0.429143 0.2608843 
0.2880608 0.4172411 0.2946982 
0.2880848 0.467693 0.2442222 
0.3712874 0.4057191 0.2229935 
0.2155543 0.3823923 0.4020534 
0.3544782 0.3380572 0.3074646 
0.3331925 0.4430534 0.2237541 
0.310126 0.4145174 0.2753566 
0.2584829 0.47351 0.2680071 
0.3337211 0.4095481 0.2567308 
0.2805153 0.3666104 0.3528742 
0.3281753 0.4214273 0.2503974 
0.254134 0.4215009 0.3243651 
0.3995772 0.4197618 0.180661 
0.2673666 0.4298862 0.3027472 
0.3273394 0.4317166 0.240944 
0.2816323 0.4193968 0.2989709 
0.2939576 0.4231955 0.2828469 
0.3286353 0.4017475 0.2696172 
0.3279214 0.3629053 0.3091733 
0.3487192 0.3643087 0.2869721 
0.2618522 0.4063623 0.3317856 
0.3356715 0.3880993 0.2762292 
0.364845 0.3778681 0.2572869 
0.3565557 0.4310403 0.212404 
0.3252504 0.3851535 0.2895961 
0.2531687 0.5097223 0.237109 
0.3664362 0.3195798 0.313984 
0.2680432 0.412873 0.3190837 
0.3575357 0.3829044 0.2595599 
0.2446589 0.5197301 0.235611 
0.323942 0.4034862 0.2725718 
0.4204923 0.3178889 0.2616188 
0.333013 0.3838927 0.2830942 
0.3060692 0.3974456 0.2964852 
0.3263036 0.4055279 0.2681685 
0.342578 0.412967 0.2444549 
0.3706993 0.3187822 0.3105185 
0.2764994 0.4308594 0.2926412 
0.3358578 0.3871444 0.2769978 
0.3318642 0.3477168 0.320419 
0.324367 0.4394834 0.2361496 
0.3125029 0.4588742 0.2286229 
0.3744487 0.3819683 0.243583 
0.3740106 0.3327607 0.2932287 
0.3002639 0.4359095 0.2638265 
0.2989471 0.4056906 0.2953623 
0.3491553 0.3036618 0.3471829 
0.2870988 0.3074669 0.4054343 
0.3705569 0.4066996 0.2227435 
0.3058991 0.4276883 0.2664126 
0.3132367 0.4570836 0.2296797 
0.3456644 0.4443669 0.2099687 
0.3613307 0.4115848 0.2270845 
0.3524618 0.3106352 0.336903 
0.3043419 0.4011047 0.2945534 
0.3103876 0.4416276 0.2479847 
0.2909836 0.4060257 0.3029907 
0.2174972 0.4594161 0.3230867 
0.3421651 0.4136372 0.2441977 
0.3289641 0.385752 0.2852839 
0.3708413 0.3279411 0.3012176 
0.2858167 0.4144687 0.2997146 
0.284199 0.4155703 0.3002307 
0.2925613 0.4447093 0.2627294 
0.2874632 0.3940914 0.3184454 
0.3334892 0.4594254 0.2070854 
0.3911576 0.4037354 0.205107 
0.2856212 0.4258178 0.288561 
0.365 0.3881888 0.2468112 
0.3521701 0.4282295 0.2196004 
0.2706448 0.3690509 0.3603043 
0.2987615 0.395881 0.3053575 
0.4493872 0.3396647 0.2109481 
0.311881 0.481415 0.206704 
0.2289018 0.4553528 0.3157454 
0.2971133 0.3938996 0.308987 
0.3534906 0.3266302 0.3198792 
0.2700571 0.3830103 0.3469325 
0.346113 0.3861384 0.2677486 
0.2745551 0.3747115 0.3507335 
0.3424909 0.3866608 0.2708482 
0.2971439 0.3506592 0.3521969 
0.3470519 0.4184964 0.2344517 
0.3285077 0.4107214 0.2607708 
0.3372547 0.3524427 0.3103026 
0.3700779 0.3721786 0.2577435 
0.2395205 0.4026355 0.357844 
0.2655957 0.4993664 0.2350379 
0.2395827 0.4084545 0.3519627 
0.3304748 0.4210705 0.2484547 
0.3303072 0.409999 0.2596938 
0.265733 0.4578949 0.2763721 
0.3135449 0.4331848 0.2532703 
0.4087211 0.3211755 0.2701035 
0.305963 0.3347348 0.3593022 
0.2636777 0.4345187 0.3018036 
0.2972472 0.3966164 0.3061364 
0.2315794 0.4781071 0.2903135 
0.4022665 0.2916546 0.3060789 
0.3282904 0.3752763 0.2964333 
0.3170857 0.3630936 0.3198207 
0.3725132 0.3369795 0.2905074 
0.2694332 0.4347009 0.2958658 
0.3277907 0.3038384 0.3683709 
0.311133 0.3727112 0.3161557 
0.2476494 0.3896151 0.3627355 
0.2194057 0.4388509 0.3417434 
0.2951743 0.4387895 0.2660362 
0.2506927 0.4716542 0.277653 
0.270678 0.4733625 0.2559595 
0.3718683 0.3112868 0.316845 
0.3296268 0.3929593 0.2774139 
0.359049 0.4029721 0.2379788 
0.204512 0.4741249 0.321363 
0.3430403 0.3950498 0.26191 
0.2573496 0.4815887 0.2610617 
0.4074121 0.3739023 0.2186856 
0.4393768 0.3313811 0.2292421 
0.3337363 0.4409118 0.2253518 
0.2746158 0.4438142 0.28157 
0.2783379 0.4003749 0.3212871 
0.3696139 0.4013789 0.2290072 
0.2782268 0.4056448 0.3161284 
0.323342 0.3754693 0.3011886 
0.3029671 0.4350904 0.2619425 
0.2877447 0.4671487 0.2451066 
0.2674495 0.4177674 0.3147831 
0.3110362 0.3621057 0.3268581 
0.3320586 0.4287848 0.2391566 
0.2909069 0.4644242 0.2446689 
0.31647 0.4202596 0.2632705 
0.3471533 0.3196737 0.333173 
0.324866 0.3482933 0.3268407 
0.2814182 0.4162132 0.3023686 
0.2805121 0.4622682 0.2572197 
0.2957771 0.4417883 0.2624346 
0.3488646 0.4260346 0.2251008 
0.2999681 0.3955367 0.3044952 
0.3414471 0.372993 0.2855599 
0.3375787 0.3857528 0.2766685 
0.2811987 0.4031203 0.315681 
0.2405419 0.4526594 0.3067987 
0.2843678 0.4678319 0.2478004 
0.241559 0.4318075 0.3266335 
0.3769393 0.3402158 0.2828448 
0.2786078 0.3541319 0.3672603 
0.2696596 0.4182213 0.312119 
0.3056007 0.3894536 0.3049457 
0.3462609 0.3571162 0.2966229 
0.2685545 0.4479043 0.2835412 
0.2912228 0.3950632 0.313714 
0.3504785 0.3735117 0.2760099 
0.2951682 0.4420083 0.2628235 
0.2975578 0.4375329 0.2649093 
0.3314112 0.394756 0.2738328 
0.3026402 0.4413227 0.256037 
0.2833212 0.4417589 0.2749199 
0.2818514 0.4441048 0.2740438 
0.384598 0.3959001 0.2195019 
0.3002127 0.4518412 0.2479461 
0.4049955 0.280227 0.3147775 
0.3380298 0.4075712 0.254399 
0.376358 0.4089447 0.2146973 
0.3306996 0.4547491 0.2145512 
0.2549334 0.4999162 0.2451504 
0.390545 0.388314 0.2211409 
0.3527648 0.3718228 0.2754124 
0.341512 0.4290345 0.2294535 
0.359708 0.4090871 0.2312049 
0.2075383 0.5019787 0.290483 
0.2493831 0.4405834 0.3100335 
0.3159736 0.4068345 0.2771919 
0.3203165 0.3624038 0.3172797 
0.3621404 0.3642327 0.2736269 
0.2572064 0.3930509 0.3497427 
0.2917942 0.3340962 0.3741096 
0.3321932 0.476915 0.1908918 
0.3097379 0.4311698 0.2590924 
0.3370537 0.3370097 0.3259365 
0.3110476 0.3972428 0.2917096 
0.3428526 0.386988 0.2701594 
0.2951799 0.4290809 0.2757393 
