nu alpha 
5.937916 0.2693743 
2.079025 0.3466154 
4.05521 0.1208742 
3.007807 0.451406 
1.555086 0.4822146 
4.1363 0.3935591 
1.35948 0.4233457 
4.786508 0.2053058 
2.275178 0.4184491 
1.932757 0.2379372 
2.32424 0.1816847 
1.598428 0.2047852 
1.782185 0.3606334 
2.268778 0.2662878 
4.696168 0.4032555 
2.65185 0.3838163 
5.780163 0.2759699 
3.402894 0.2507242 
2.721259 0.3007649 
4.321824 0.1871412 
8.049337 0.09006446 
10.25863 0.2049873 
17.32707 0.09225111 
4.109982 0.1410286 
2.542608 0.4718107 
3.577111 0.08743706 
2.429302 0.4782306 
6.998193 0.1562552 
7.267186 0.0972199 
18.67162 0.09116417 
4.760336 0.4292389 
3.680838 0.1973654 
4.972788 0.3867813 
1.91834 0.2617012 
1.710018 0.3694332 
6.343432 0.3817031 
2.458217 0.4581928 
5.186228 0.2502679 
13.04536 0.2707968 
7.243684 0.2134079 
6.281658 0.1465774 
5.261882 0.4462457 
5.401969 0.1343333 
3.371743 0.1344014 
3.019928 0.4840959 
3.083511 0.1681527 
6.075517 0.07064683 
3.993609 0.2329115 
5.422621 0.3166174 
12.20782 0.05858953 
4.16436 0.472677 
2.36342 0.3998497 
2.976833 0.4312653 
5.509425 0.1736569 
2.90585 0.3417698 
4.085691 0.09755783 
4.026911 0.1269647 
14.77563 0.274591 
4.792816 0.3778789 
10.35878 0.1915335 
19.94462 0.1462184 
18.14428 0.02850662 
8.954868 0.1437686 
2.962089 0.479988 
3.043543 0.4422388 
2.225211 0.1014417 
2.343603 0.4193077 
1.972008 0.3715826 
1.734962 0.1487547 
1.352419 0.2425139 
1.100884 0.4325557 
1.872567 0.4112292 
1.100864 0.3072478 
1.56766 0.4942923 
1.553079 0.3165611 
2.44419 0.4773081 
4.277762 0.4222359 
4.332286 0.1974829 
5.127218 0.3140154 
14.4614 0.2708467 
19.11666 0.05895475 
4.78177 0.1347415 
9.105103 0.07693921 
4.316905 0.1915062 
3.598295 0.07152683 
2.542797 0.2612537 
1.443868 0.4127698 
3.351401 0.1118103 
2.756653 0.4254906 
2.347019 0.4136226 
2.246784 0.4050693 
3.274019 0.3191966 
1.728717 0.1027095 
2.905437 0.3261576 
2.685956 0.4266276 
3.055903 0.209262 
1.824149 0.2914966 
1.988611 0.285415 
2.669084 0.2821571 
2.961059 0.4377855 
3.174551 0.4049755 
3.385782 0.1364155 
2.438975 0.1726268 
2.671233 0.2832199 
2.889762 0.4920721 
2.677874 0.09031746 
2.537291 0.1280612 
2.15931 0.2668914 
2.432929 0.3782334 
8.944316 0.1737927 
3.62685 0.2332946 
3.532974 0.2956279 
3.0721 0.3318008 
3.7643 0.489429 
3.668026 0.4286515 
3.871324 0.4495447 
5.190765 0.4676054 
2.935966 0.1798472 
1.759337 0.3032444 
1.408272 0.1982466 
2.937309 0.205404 
2.198123 0.2146716 
2.002349 0.441538 
1.71435 0.3692931 
1.761162 0.3323977 
1.93631 0.3307943 
2.327561 0.2902374 
3.19086 0.3609779 
3.724766 0.1838893 
5.283102 0.1783961 
2.729723 0.3636931 
2.211187 0.3754301 
2.412435 0.1631363 
1.607821 0.3310341 
4.299085 0.4643646 
1.790705 0.3366832 
2.816389 0.1960105 
2.321518 0.3631105 
2.564994 0.2233564 
3.584092 0.3395413 
5.677461 0.4303089 
2.869024 0.2045919 
6.135188 0.3253587 
3.50546 0.3644455 
4.185833 0.1852915 
2.730834 0.4194648 
2.979824 0.2423749 
1.961986 0.09075331 
3.562983 0.2241843 
1.791831 0.4601216 
11.41985 0.1540126 
3.337966 0.2638929 
3.201193 0.314164 
4.974294 0.469294 
2.316036 0.3778695 
5.357235 0.4461792 
14.69695 0.2411691 
4.719831 0.316207 
2.569538 0.2528815 
3.443295 0.4936784 
3.35642 0.1563033 
12.49404 0.1911778 
5.270824 0.1752372 
5.802553 0.3553038 
2.888788 0.4958895 
8.368435 0.188068 
11.18125 0.195288 
4.565897 0.4312642 
4.153714 0.3212274 
14.14988 0.03279655 
3.097279 0.3452381 
2.630046 0.1134591 
2.985828 0.4299083 
2.611676 0.1599145 
2.247329 0.2290768 
1.763174 0.3472582 
1.75956 0.1339069 
1.919967 0.4289075 
2.485961 0.181615 
1.300443 0.1768902 
2.907584 0.4172639 
2.847232 0.1935628 
3.828849 0.3614147 
2.98083 0.1861115 
2.85733 0.4815332 
4.561288 0.2012713 
2.93332 0.488909 
4.750928 0.03714763 
2.6127 0.1740341 
3.554243 0.04878357 
2.417141 0.2699388 
2.151972 0.4844414 
4.204014 0.4160355 
2.768833 0.2101954 
4.717229 0.3019025 
9.632098 0.2268365 
3.253649 0.1635296 
3.582994 0.4689883 
6.605501 0.1658654 
3.421991 0.1682252 
4.743293 0.3069628 
4.811374 0.336385 
6.874179 0.2006445 
3.489903 0.147293 
7.271683 0.1870848 
7.879293 0.09071849 
3.259088 0.09253413 
3.431351 0.432359 
4.945634 0.2369906 
4.554753 0.09601185 
2.919004 0.4809318 
1.517721 0.4379986 
4.409994 0.2689183 
5.550948 0.2370046 
16.85751 0.1358033 
2.401077 0.3310321 
4.331351 0.3423453 
2.574536 0.4231867 
6.143364 0.3843324 
3.563852 0.2149083 
3.814702 0.4827448 
5.110154 0.2259133 
6.07763 0.1214358 
4.816765 0.2448007 
10.54508 0.06721352 
10.01075 0.1543926 
8.551534 0.1447796 
4.542045 0.4681649 
3.176075 0.2082513 
3.525193 0.3074253 
3.322466 0.3402969 
1.15492 0.4711397 
3.589678 0.4658136 
4.612854 0.1697458 
1.741582 0.480539 
2.510948 0.1201362 
4.718136 0.3772244 
3.402174 0.424498 
3.712681 0.2124928 
1.963661 0.4715961 
2.90839 0.3348396 
2.263937 0.3223917 
4.742235 0.1228675 
5.811897 0.07333345 
16.3552 0.06223481 
7.246176 0.1284926 
4.346087 0.4654168 
2.931349 0.3461644 
3.34009 0.4426167 
3.771354 0.1823884 
4.702362 0.2487863 
3.476337 0.1700871 
2.169281 0.3224213 
3.670656 0.3492149 
1.967799 0.3221409 
