Delta_1 Delta_2 Delta_3 Delta_4 
1.224081 1.297515 2.141248 -4.379366 
0.681172 1.258932 -2.81057 6.956043 
1.634975 1.130907 -0.8734459 -14.46017 
2.186708 0.8456883 1.257447 16.68064 
0.8144392 1.014433 -2.048093 -5.488285 
-1.619169 1.166572 -2.585327 2.160061 
-9.112295 0.9534638 -2.810916 -1.536815 
-8.08846 1.112405 -1.926659 -0.3118704 
9.079432 1.406274 -3.346259 -0.0196895 
3.037271 1.114243 -3.003786 0.9369325 
-3.17366 1.026047 -2.024577 0.8001799 
17.44973 0.8671494 0.1131421 1.118057 
11.80173 0.8513694 0.3600697 -1.302414 
-0.30609 0.6658307 -0.5124481 1.957611 
-6.753073 0.6420885 3.181382 -1.266586 
-12.62551 0.6810239 -1.501551 1.7787 
6.593909 0.8458481 2.418185 -0.1648814 
-4.805165 0.7314215 -1.824069 -1.453291 
1.942143 0.9132261 -1.480628 -0.5646592 
0.8091706 1.084647 -1.85018 6.43351 
-3.840231 0.8032938 -1.005934 4.013296 
-0.6068254 0.8666404 -16.87519 2.429336 
0.4055722 0.9114332 1.561459 -0.642723 
2.846169 0.8851608 -17.6864 4.096829 
3.986225 1.111351 1.388325 -2.158159 
3.986105 1.176049 2.899443 1.326205 
-0.5484181 1.003414 2.309424 -7.208022 
-2.421518 0.7775963 -9.170753 -1.818178 
-0.01628048 0.7207341 13.52433 -1.347834 
2.575367 0.6122471 4.183422 0.188493 
3.290767 0.7939455 16.97856 -0.8243656 
6.185418 0.7095035 -5.447779 1.841533 
6.350388 0.6201383 11.90355 6.827975 
5.759785 0.6032826 12.72303 8.810801 
4.826261 0.6888474 3.787102 9.502683 
3.052725 0.6912623 4.480323 1.108776 
0.7857372 0.8330108 2.266826 -0.6877719 
0.4849052 0.6119568 3.270578 1.364562 
2.666255 0.7094963 11.88143 1.727837 
2.307108 0.6575565 1.109855 1.446288 
2.429292 0.7899058 6.247483 1.468644 
0.04329234 1.039777 -8.832636 3.63753 
-1.809784 1.088034 -12.0789 0.4487669 
-1.527235 1.155919 -3.724841 2.668674 
-0.3350389 1.07994 5.415247 0.1276393 
2.440361 0.9847514 8.979223 2.086497 
3.022225 0.9639643 -31.80429 0.5607867 
-6.507029 1.205969 8.584329 -16.26533 
-4.656341 1.135769 -1.376471 17.68458 
-1.17688 0.8810391 -8.747252 4.823649 
1.917889 0.8960133 3.991794 -6.836987 
1.627579 0.8345296 0.469049 -1.458483 
0.03922272 0.7566867 0.4191063 2.814186 
1.062929 0.8476239 0.2323041 6.586623 
-1.175042 0.7822821 1.933981 1.162659 
-2.143128 0.8154197 3.261248 5.689758 
0.5842043 0.7760662 -1.771713 -10.49551 
-0.02200677 0.9103755 -2.154993 -0.9506657 
0.4771879 0.7142721 0.1106811 15.9599 
-0.5013936 0.7547236 -1.16487 17.94519 
-0.6008226 0.6909716 0.6397121 -20.55849 
0.8530539 0.8252929 0.3416117 -7.077379 
1.431064 0.9210538 0.5337213 -5.07798 
3.285474 0.687304 -0.5647032 3.99364 
3.829607 0.6393703 -1.78311 13.8428 
17.69896 0.5923959 0.6748749 1.262685 
16.99383 0.8002811 3.045173 0.9251005 
9.082068 0.7964861 0.904143 1.884063 
2.812189 0.7261497 -0.204745 2.657704 
16.43354 0.8026067 3.460064 2.087353 
-3.217569 0.8271674 -6.126437 1.268183 
7.546014 0.7921772 -2.316989 -0.5103277 
-7.489366 0.8625882 0.9317407 -2.538402 
-8.737885 0.8865627 -1.329617 -1.40382 
-6.566273 0.7641926 -1.358293 2.375443 
0.563646 0.5891979 3.391453 -0.9817388 
-2.491512 0.7451675 -0.1163201 -2.735981 
1.546727 0.7579362 0.6233376 -1.896435 
2.543504 0.6652459 1.689174 1.041248 
0.7645015 0.6460997 1.028723 4.542318 
2.106622 0.6868417 -4.011784 1.844866 
0.5569443 0.5389749 3.079902 0.7986113 
0.4271278 0.6799412 3.134865 -0.1426724 
-0.7246315 0.698399 5.330135 1.639823 
-1.183473 0.6607102 3.407934 -1.647849 
0.1812801 0.8329796 10.87641 1.095745 
-0.4414881 0.9557449 -9.874943 -2.824324 
-2.538876 1.065303 -0.9668721 -1.333614 
1.291133 1.101671 7.00497 1.723461 
-0.6000681 1.115537 -11.82229 4.470111 
0.9881361 1.223008 -10.4136 -1.969846 
0.5949228 1.312476 1.420925 -1.573616 
2.325122 1.20498 -8.198328 -2.47516 
0.07613247 1.187998 -2.627889 -1.768208 
1.245639 1.170478 1.377006 -1.525961 
-4.006446 1.024542 0.1533408 -0.3040636 
1.38782 0.9604522 -7.371084 -0.6407014 
9.153896 0.9413431 -2.462515 -2.890757 
19.50007 1.053985 -1.750709 -8.557829 
1.372071 1.122412 0.8236214 -0.5644684 
0.2774204 1.324578 2.668324 -3.906062 
0.5864419 1.170457 0.5493154 3.36148 
-0.8484297 1.286795 1.100652 -18.44835 
1.686036 1.028988 -2.869535 6.886605 
-7.578031 1.030439 -4.327871 -17.89105 
5.109003 0.8821318 -0.1740478 3.775465 
4.542146 1.091514 3.248883 0.1427502 
0.05715689 0.8058501 -6.674178 1.760652 
0.7637113 0.6900341 -8.19143 -0.7705338 
