"p_1" "p_2" "p_3"
0.3831135 0.3175009 0.2993856
0.3954862 0.3017496 0.3027642
0.3836464 0.3150431 0.3013104
0.3814205 0.3115552 0.3070243
0.4052111 0.3058677 0.2889212
0.4110823 0.2873382 0.3015795
0.3803532 0.3126696 0.3069772
0.3841344 0.3166851 0.2991805
0.4047377 0.2977275 0.2975348
0.3878442 0.3193684 0.2927874
0.373812 0.3079556 0.3182323
0.3893439 0.2900966 0.3205595
0.3863072 0.3146296 0.2990632
0.4151616 0.308952 0.2758864
0.4010221 0.2867542 0.3122237
0.3776577 0.3218734 0.3004689
0.4136357 0.2951176 0.2912467
0.4025168 0.3134134 0.2840699
0.3942155 0.286133 0.3196515
0.3898261 0.3428704 0.2673035
0.3728464 0.3407929 0.2863608
0.3677871 0.3213957 0.3108172
0.4013293 0.3086424 0.2900283
0.3787116 0.3199214 0.301367
0.3966931 0.2856276 0.3176793
0.3879297 0.3301903 0.28188
0.4001621 0.3123994 0.2874385
0.3822476 0.3115581 0.3061944
0.383952 0.3203909 0.2956571
0.3978544 0.318313 0.2838326
0.3809323 0.3080044 0.3110633
0.4205037 0.2874961 0.2920002
0.4119747 0.291539 0.2964862
0.388731 0.3192974 0.2919716
0.3894688 0.3256836 0.2848475
0.399775 0.3148345 0.2853905
0.3913272 0.3074842 0.3011887
0.3878073 0.2805874 0.3316053
0.3644766 0.3137152 0.3218081
0.3972257 0.3166152 0.286159
0.3714828 0.3049063 0.3236109
0.4314606 0.2893116 0.2792277
0.3680772 0.319748 0.3121748
0.4056109 0.3225117 0.2718774
0.4083855 0.3101449 0.2814696
0.3913051 0.3232536 0.2854413
0.386061 0.3385375 0.2754015
0.4001791 0.3266333 0.2731876
0.3840751 0.3074018 0.3085232
0.3955112 0.3098636 0.2946252
0.383951 0.3355347 0.2805143
0.3898568 0.3170786 0.2930647
0.3924485 0.3084612 0.2990904
0.3917864 0.304085 0.3041286
0.3835324 0.3369771 0.2794905
0.42032 0.2900641 0.289616
0.3717571 0.3315043 0.2967386
0.3860475 0.3226628 0.2912896
0.4163982 0.3037832 0.2798186
0.3766835 0.2903227 0.3329937
0.3891034 0.3216445 0.2892521
0.3980615 0.3150415 0.286897
0.3774562 0.3067543 0.3157895
0.3659278 0.312081 0.3219912
0.3888341 0.2990492 0.3121167
0.35448 0.3279086 0.3176114
0.3711057 0.3237215 0.3051728
0.4072249 0.3172423 0.2755328
0.3981088 0.3292352 0.272656
0.4002226 0.3091987 0.2905786
0.4197543 0.312616 0.2676298
0.3804003 0.3355893 0.2840104
0.3839421 0.2932611 0.3227968
0.3933482 0.309399 0.2972529
0.3828426 0.3199003 0.2972571
0.388685 0.3045455 0.3067695
0.4023182 0.3376249 0.2600569
0.3962787 0.316431 0.2872902
0.3947131 0.3042625 0.3010244
0.3894102 0.3262437 0.2843462
0.3783356 0.3108001 0.3108643
0.3794541 0.3304676 0.2900783
0.3678413 0.3202581 0.3119006
0.3623076 0.308811 0.3288814
0.3774011 0.3216103 0.3009886
0.3994122 0.3031849 0.2974029
0.3753204 0.3007371 0.3239425
0.3962083 0.2955078 0.3082839
0.4134759 0.2832785 0.3032456
0.3965326 0.2951216 0.3083458
0.3966186 0.2944186 0.3089628
0.4076402 0.3093345 0.2830253
0.384481 0.3184316 0.2970873
0.4033585 0.3210825 0.275559
0.3844148 0.3227747 0.2928105
0.377839 0.3312552 0.2909058
0.3677172 0.3320062 0.3002766
0.3940927 0.3136238 0.2922835
0.4236373 0.3145342 0.2618285
0.4042152 0.302552 0.2932329
0.4030147 0.3190301 0.2779552
0.3867759 0.2951777 0.3180464
0.3685604 0.3403809 0.2910587
0.3778989 0.3144628 0.3076383
0.3771355 0.3371139 0.2857507
0.4062039 0.3190691 0.274727
0.3792046 0.3296665 0.291129
0.4035425 0.3048406 0.2916169
0.3676826 0.3037929 0.3285245
0.4121152 0.3071505 0.2807343
0.4033432 0.3155786 0.2810782
0.4066055 0.2972784 0.2961161
0.4021747 0.3035542 0.2942712
0.4045117 0.3202907 0.2751976
0.3578012 0.319759 0.3224397
0.3834416 0.309102 0.3074564
0.4171458 0.2905923 0.2922619
0.3896056 0.3123718 0.2980226
0.4135092 0.3142005 0.2722903
0.372775 0.3380333 0.2891917
