"nu" "alpha"
3.750248 0.104419
3.47833 0.1854663
2.995854 0.3645135
2.528302 0.3537445
3.258469 0.2951251
3.204054 0.329178
2.994107 0.4196478
3.513607 0.1393617
3.394322 0.271142
3.343297 0.4782192
3.743006 0.2643487
3.312622 0.1710146
3.173293 0.4019047
3.471051 0.4151087
3.183513 0.4643123
3.045377 0.2333819
3.231864 0.4782586
3.734448 0.1026012
2.753898 0.128041
3.147449 0.421951
3.156059 0.3499661
3.144614 0.4642008
3.219477 0.186548
3.381382 0.2472948
3.321758 0.2676986
3.958677 0.3955494
3.459414 0.1079527
3.884969 0.4301937
3.202393 0.3130718
3.855109 0.4281503
3.645673 0.4250271
3.11177 0.2010759
3.407863 0.2656291
3.778916 0.2897575
3.297249 0.4456384
3.538156 0.3263176
3.028584 0.238203
3.193919 0.2041417
3.168705 0.08459119
2.928281 0.1753175
2.780599 0.4691718
3.103263 0.3414623
3.669494 0.1612949
3.796504 0.3433046
3.755971 0.2757137
3.610484 0.3361531
3.669404 0.1659607
3.521635 0.2876147
2.986846 0.4665525
3.41945 0.3830161
3.068264 0.2934752
2.99504 0.1393275
3.25469 0.1778039
3.004032 0.3073382
3.498031 0.2246362
3.85079 0.2202891
3.373197 0.2718649
3.114137 0.2207563
3.274111 0.3609134
3.193106 0.107589
3.356532 0.3720758
3.235451 0.4027062
3.6579 0.4304106
3.294731 0.2623544
2.943554 0.3715757
2.754522 0.1594218
3.630775 0.3835089
2.871647 0.4999945
3.013068 0.3843435
2.785161 0.07681998
2.455474 0.4243761
2.321117 0.4797995
3.036927 0.3457217
2.982688 0.2781696
3.155924 0.04134382
2.781896 0.3545721
2.506591 0.2496267
2.837308 0.3867085
3.241795 0.1304039
2.911443 0.4254496
3.028443 0.342185
3.049858 0.1707241
3.217761 0.1346193
3.087704 0.2757916
3.113881 0.3171367
2.604719 0.1927615
2.633519 0.07327725
2.865829 0.1692591
2.772839 0.07906641
2.767456 0.2603573
2.940619 0.4442258
2.901739 0.3625212
3.073936 0.3785867
2.763904 0.161146
2.675362 0.4405778
2.729786 0.2939391
2.938433 0.1333034
3.157692 0.3981728
2.878639 0.3935148
2.812832 0.4256692
2.789843 0.3961956
2.996943 0.3922402
2.986715 0.4229343
2.740391 0.4250679
