"beta1_1" "beta2_1" "beta1_2" "beta2_2" "beta1_3" "beta2_3"
-25.26275 -4.266279 0.04261987 3.989076 -10.43691 -5.012817
-24.8564 -3.998127 0.03072702 3.97544 -10.02769 -5.059545
-24.43016 -4.63574 0.05109917 3.985233 -9.913982 -5.02943
-25.3005 -3.530672 0.09223259 3.990621 -10.26198 -4.861763
-23.97644 -4.84914 -0.01994719 3.99328 -9.971711 -4.939484
-24.06973 -3.940571 0.009756528 3.971926 -10.1485 -5.003485
-25.56776 -5.045064 -0.01502047 3.980516 -10.4014 -4.924349
-24.48263 -4.702128 0.02244858 3.973974 -10.28972 -4.984856
-24.95237 -4.529901 -0.02079436 3.973887 -10.46762 -5.141871
-24.19756 -4.601841 0.007125436 3.959294 -10.1874 -4.999321
-24.66652 -4.552829 -0.01171274 3.965797 -10.37413 -5.017947
-24.56361 -4.810977 -0.03135024 3.981786 -10.32194 -4.96504
-24.18949 -5.149273 -0.001794388 3.958252 -10.27679 -5.066388
-24.19773 -4.190199 0.01603102 4.001107 -10.25106 -5.043451
-24.575 -5.317872 0.06669934 3.994764 -10.17336 -5.105878
-25.08566 -4.029966 0.02754573 3.966975 -10.02101 -5.039574
-25.59179 -4.806074 0.01233406 3.956375 -10.33715 -5.036595
-24.74575 -4.27891 -0.003089876 3.967153 -10.36566 -4.911041
-24.16032 -4.625855 0.06722548 3.974943 -10.52928 -5.055516
-25.79798 -4.218025 0.04010014 3.989904 -10.20278 -5.109364
-25.10253 -5.124221 0.095287 3.981274 -10.07158 -5.088674
-25.5041 -4.287599 -0.002491641 3.989161 -10.16548 -5.02391
-23.99585 -4.297079 0.0644488 4.000677 -10.27444 -4.914738
-24.41353 -5.46732 0.04015722 3.98767 -10.29475 -5.053066
-24.58449 -5.028874 0.02872868 4.015658 -10.39175 -4.743785
-24.46462 -4.337972 -0.02095489 3.977504 -10.10103 -5.12869
-23.39376 -3.636019 0.1644201 3.942272 -10.40211 -5.032531
-24.1856 -3.818495 -0.04046904 3.974612 -10.25066 -4.945492
-24.80389 -4.715004 -0.03035814 3.994211 -10.39626 -5.049258
-25.57336 -4.842661 -0.002541267 4.002548 -10.29594 -4.943456
-24.02518 -4.422245 -0.04046248 3.967041 -10.09321 -5.194062
-24.18712 -4.690627 -0.05760181 4.004216 -9.983135 -4.985678
-25.41386 -4.02841 0.02207727 3.968844 -10.41673 -5.011009
-24.45625 -5.466189 0.01089641 3.965222 -10.19373 -5.056146
-24.60379 -4.9772 0.05073672 3.984253 -10.60696 -5.190302
-24.89735 -5.068369 -0.02206445 3.97101 -10.46309 -4.938261
-24.4816 -5.000622 -0.021011 3.987849 -10.43368 -5.02186
-24.42817 -4.603274 0.04005822 3.990013 -10.0634 -5.046503
-23.97286 -3.844195 0.03178692 3.970338 -10.50848 -5.08672
-23.46938 -5.103907 0.07814066 3.973813 -10.26649 -5.022617
-24.92656 -4.918369 0.02087041 3.983643 -10.10746 -5.122245
