"p_1" "p_2"
0.8050712 0.1949288
0.7657482 0.2342518
0.7836716 0.2163284
0.785915 0.214085
0.759705 0.240295
0.7724882 0.2275118
0.7890553 0.2109447
0.763353 0.236647
0.7683984 0.2316016
0.7764277 0.2235723
0.7910148 0.2089852
0.7680713 0.2319287
0.7576943 0.2423057
0.7882538 0.2117462
0.78059 0.21941
0.8048808 0.1951192
0.7766865 0.2233135
0.7885678 0.2114322
0.7730034 0.2269966
0.7932603 0.2067397
0.7861768 0.2138232
0.7831423 0.2168577
0.7873236 0.2126764
0.7880154 0.2119846
0.7936566 0.2063434
0.7573837 0.2426163
0.795075 0.204925
0.7634945 0.2365055
0.774562 0.225438
0.7685339 0.2314661
0.7661553 0.2338447
0.7975214 0.2024786
0.8113709 0.1886291
0.7706181 0.2293819
0.7943263 0.2056737
0.7873913 0.2126087
0.7828891 0.2171109
0.7435573 0.2564427
0.7939264 0.2060736
0.7805103 0.2194897
0.7826302 0.2173698
0.7876222 0.2123778
0.7842246 0.2157754
0.7729361 0.2270639
0.7817702 0.2182298
0.8053528 0.1946472
0.7634115 0.2365885
0.7707508 0.2292492
0.7715088 0.2284912
0.7947546 0.2052454
0.7711305 0.2288695
0.7736864 0.2263136
0.77458 0.22542
0.7643248 0.2356752
0.7522064 0.2477936
0.7989401 0.2010599
0.7700303 0.2299697
0.7915916 0.2084084
0.7867605 0.2132395
0.7717859 0.2282141
0.7937098 0.2062902
0.7938133 0.2061867
0.7543994 0.2456006
0.8021164 0.1978836
0.7604313 0.2395687
0.8061949 0.1938051
0.7843826 0.2156174
0.7753699 0.2246301
0.79279 0.20721
0.7853303 0.2146697
0.7823394 0.2176606
0.7970306 0.2029694
0.7881443 0.2118557
0.7722165 0.2277835
0.7719142 0.2280858
0.7856525 0.2143475
0.759914 0.240086
0.790222 0.209778
0.7764649 0.2235351
0.7809611 0.2190389
0.8026092 0.1973908
0.7855336 0.2144664
0.7775062 0.2224938
0.7722759 0.2277241
0.8087611 0.1912389
0.7782722 0.2217278
0.7724006 0.2275994
0.821445 0.178555
0.7521567 0.2478433
0.7702071 0.2297929
0.7777131 0.2222869
0.7827714 0.2172286
0.7686707 0.2313293
0.7949581 0.2050419
0.7930138 0.2069862
0.7700142 0.2299858
0.7843903 0.2156097
0.7619575 0.2380425
